time, pos1, pos2, vel1, vel2, tau1, tau2
0.000000000000000000e+00,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,7.142857142857295116e-02,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.907377737087045944e-04,-7.820248722056888369e-03,-1.263736263736277010e-01,7.142857142857295116e-02,1.295816751003190659e-01,1.159677312103390978e-01
3.047943115234375000e-03,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-2.747252747252915128e-02,-1.622457250523033356e-01,1.159677312103390978e-01
5.743980407714843750e-03,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,7.142857142857295116e-02,4.774715613428155703e-02,-9.895803962029225964e-02
8.240222930908203125e-03,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,3.846153846154010125e-02,-1.187283800443000442e-01,1.159677312103390978e-01
1.063895225524902344e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-6.043956043956200119e-02,-2.747252747252915128e-02,1.295816751003190659e-01,1.066306897275729332e-01
1.263928413391113281e-02,1.907377737087045944e-04,-7.438773174639479180e-03,3.846153846154010125e-02,1.373626373626386510e-01,-1.420766917360000159e-01,-9.895803962029225964e-02
1.463961601257324219e-02,1.907377737087045944e-04,-7.438773174639479180e-03,-6.043956043956200119e-02,5.494505494507251342e-03,1.295816751003190659e-01,1.213480868345563901e-01
1.663994789123535156e-02,1.907377737087045944e-04,-7.438773174639479180e-03,5.494505494507251342e-03,-6.043956043956200119e-02,-1.420766917360000159e-01,4.069612287200601725e-02
1.864027976989746094e-02,5.722133211261137831e-04,-7.438773174639479180e-03,1.043956043956058011e-01,3.846153846154010125e-02,4.774715613428155703e-02,-1.139530065917587348e-01
2.064061164855957031e-02,1.907377737087045944e-04,-7.438773174639479180e-03,-1.263736263736277010e-01,5.494505494507251342e-03,1.566203175012036986e-01,1.066306897275729332e-01
2.264094352722167969e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-9.340659340659485110e-02,-1.622457250523033356e-01,4.069612287200601725e-02
2.464103698730468750e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,5.494505494507251342e-03,4.774715613428155703e-02,-1.185956425168011308e-01
2.664113044738769531e-02,1.907377737087045944e-04,-7.820248722056888369e-03,1.043956043956058011e-01,5.494505494507251342e-03,4.774715613428155703e-02,4.069612287200601725e-02
2.864146232604980469e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-9.340659340659485110e-02,-2.747252747252915128e-02,1.566203175012036986e-01,4.069612287200601725e-02
3.064179420471191406e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,3.846153846154010125e-02,-1.535389937077316358e-01,-9.895803962029225964e-02
3.264236450195312500e-02,1.907377737087045944e-04,-7.820248722056888369e-03,7.142857142857295116e-02,3.846153846154010125e-02,1.295816751003190659e-01,1.066306897275729332e-01
3.464269638061523438e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-1.263736263736277010e-01,-2.747252747252915128e-02,1.464338501198075848e-01,1.066306897275729332e-01
3.664302825927734375e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-9.340659340659485110e-02,-1.622457250523033356e-01,-9.895803962029225964e-02
3.864336013793945312e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,3.846153846154010125e-02,4.774715613428155703e-02,-1.185956425168011308e-01
4.064369201660156250e-02,5.722133211261137831e-04,-7.438773174639479180e-03,1.373626373626386510e-01,1.373626373626386510e-01,4.774715613428155703e-02,1.066306897275729332e-01
4.264402389526367188e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,-6.043956043956200119e-02,1.648750317298673940e-01,1.213480868345563901e-01
4.464435577392578125e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-6.043956043956200119e-02,-1.187283800443000442e-01,-1.139530065917587348e-01
4.664492607116699219e-02,5.722133211261137831e-04,-7.820248722056888369e-03,7.142857142857295116e-02,7.142857142857295116e-02,4.774715613428155703e-02,-1.139530065917587348e-01
4.864525794982910156e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,-6.043956043956200119e-02,1.464338501198075848e-01,1.159677312103390978e-01
5.064558982849121094e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,5.494505494507251342e-03,-1.187283800443000442e-01,-1.139530065917587348e-01
5.264592170715332031e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-2.747252747252915128e-02,4.774715613428155703e-02,4.069612287200601725e-02
5.464625358581542969e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,3.846153846154010125e-02,4.774715613428155703e-02,-9.895803962029225964e-02
5.664658546447753906e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,-2.747252747252915128e-02,4.774715613428155703e-02,1.066306897275729332e-01
5.864715576171875000e-02,1.907377737087045944e-04,-7.820248722056888369e-03,7.142857142857295116e-02,-2.747252747252915128e-02,-1.187283800443000442e-01,-9.895803962029225964e-02
6.064748764038085938e-02,5.722133211261137831e-04,-7.820248722056888369e-03,3.846153846154010125e-02,5.494505494507251342e-03,1.464338501198075848e-01,-9.895803962029225964e-02
6.264781951904296875e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-1.263736263736277010e-01,3.846153846154010125e-02,1.295816751003190659e-01,4.069612287200601725e-02
6.464815139770507812e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,-2.747252747252915128e-02,-1.622457250523033356e-01,1.066306897275729332e-01
6.664848327636718750e-02,1.907377737087045944e-04,-8.201724269474297557e-03,5.494505494507251342e-03,-1.263736263736277010e-01,1.295816751003190659e-01,-9.895803962029225964e-02
6.864881515502929688e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,1.703296703296715009e-01,4.774715613428155703e-02,-1.208382653149623343e-01
7.064914703369140625e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,3.846153846154010125e-02,4.774715613428155703e-02,1.224844711030562555e-01
7.264971733093261719e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,-2.747252747252915128e-02,-1.187283800443000442e-01,1.066306897275729332e-01
7.465004920959472656e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,-6.043956043956200119e-02,1.295816751003190659e-01,-9.895803962029225964e-02
7.665038108825683594e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-6.043956043956200119e-02,5.494505494507251342e-03,1.295816751003190659e-01,-1.139530065917587348e-01
7.865095138549804688e-02,5.722133211261137831e-04,-7.438773174639479180e-03,1.373626373626386510e-01,1.373626373626386510e-01,-1.420766917360000159e-01,4.069612287200601725e-02
8.065128326416015625e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-6.043956043956200119e-02,-2.747252747252915128e-02,1.648750317298673940e-01,1.213480868345563901e-01
8.265161514282226562e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,-2.747252747252915128e-02,-1.420766917360000159e-01,-9.895803962029225964e-02
8.465194702148437500e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,5.494505494507251342e-03,1.295816751003190659e-01,-9.895803962029225964e-02
8.665227890014648438e-02,5.722133211261137831e-04,-7.820248722056888369e-03,3.846153846154010125e-02,5.494505494507251342e-03,-1.187283800443000442e-01,4.069612287200601725e-02
8.865237236022949219e-02,1.907377737087045944e-04,-7.438773174639479180e-03,-2.747252747252915128e-02,7.142857142857295116e-02,1.295816751003190659e-01,4.069612287200601725e-02
9.065270423889160156e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,-9.340659340659485110e-02,-1.187283800443000442e-01,1.159677312103390978e-01
9.265327453613281250e-02,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,3.846153846154010125e-02,-1.187283800443000442e-01,-1.185956425168011308e-01
9.465360641479492188e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,5.494505494507251342e-03,1.295816751003190659e-01,1.066306897275729332e-01
9.665393829345703125e-02,1.907377737087045944e-04,-7.820248722056888369e-03,-2.747252747252915128e-02,1.043956043956058011e-01,-1.187283800443000442e-01,4.069612287200601725e-02
9.865450859069824219e-02,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,-6.043956043956200119e-02,-1.187283800443000442e-01,1.194991563631537940e-01
1.006548404693603516e-01,1.907377737087045944e-04,-7.438773174639479180e-03,5.494505494507251342e-03,7.142857142857295116e-02,4.774715613428155703e-02,-1.139530065917587348e-01
1.026551723480224609e-01,1.907377737087045944e-04,-7.438773174639479180e-03,-2.747252747252915128e-02,5.494505494507251342e-03,4.774715613428155703e-02,1.159677312103390978e-01
1.046552658081054688e-01,5.722133211261137831e-04,-7.438773174639479180e-03,1.703296703296715009e-01,5.494505494507251342e-03,-1.187283800443000442e-01,4.069612287200601725e-02
1.066555976867675781e-01,1.907377737087045944e-04,-7.438773174639479180e-03,-1.593406593406605509e-01,5.494505494507251342e-03,1.723116373551983049e-01,4.069612287200601725e-02
1.086556911468505859e-01,1.907377737087045944e-04,-7.438773174639479180e-03,3.846153846154010125e-02,3.846153846154010125e-02,-1.698925139482728719e-01,4.069612287200601725e-02
1.106560230255126953e-01,1.907377737087045944e-04,-7.438773174639479180e-03,5.494505494507251342e-03,-2.747252747252915128e-02,1.295816751003190659e-01,1.066306897275729332e-01
1.126561164855957031e-01,1.907377737087045944e-04,-7.820248722056888369e-03,3.846153846154010125e-02,-2.747252747252915128e-02,4.774715613428155703e-02,-9.895803962029225964e-02
1.146564483642578125e-01,1.907377737087045944e-04,-7.438773174639479180e-03,-6.043956043956200119e-02,3.846153846154010125e-02,1.295816751003190659e-01,-9.895803962029225964e-02
1.166567802429199219e-01,1.907377737087045944e-04,-7.438773174639479180e-03,7.142857142857295116e-02,5.494505494507251342e-03,-1.420766917360000159e-01,1.066306897275729332e-01
1.186571121215820312e-01,1.907377737087045944e-04,-7.820248722056888369e-03,-6.043956043956200119e-02,-9.340659340659485110e-02,1.464338501198075848e-01,4.069612287200601725e-02
1.206574440002441406e-01,1.907377737087045944e-04,-7.820248722056888369e-03,5.494505494507251342e-03,3.846153846154010125e-02,-1.420766917360000159e-01,-1.185956425168011308e-01
1.226577758789062500e-01,-1.907377737087045944e-04,-7.820248722056888369e-03,-6.043956043956200119e-02,5.494505494507251342e-03,4.774715613428155703e-02,1.066306897275729332e-01
