time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,7.142857142857295116e-02,-3.524038920161842725e-02,2.761087855462029950e-02
5.001544952392578125e-03,1.907377737087045944e-04,1.907377737087045944e-04,7.142857142857295116e-02,-6.043956043956200119e-02,-3.809223618103718678e-01,3.732928521394907051e-01
1.000308990478515625e-02,1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,-2.747252747252915128e-02,-4.123644734783304955e-01,4.047349637446551185e-01
1.500487327575683594e-02,-1.907377737087045944e-04,5.722133211261137831e-04,-9.340659340659485110e-02,1.703296703296715009e-01,-3.597681145939901626e-01,3.521386047856989165e-01
2.000522613525390625e-02,-5.722133211261137831e-04,9.536888685435229718e-04,5.494505494507251342e-03,1.373626373626386510e-01,-3.835567469024603326e-01,3.759272370082022974e-01
2.500557899475097656e-02,-9.536888685435229718e-04,2.479591058213159727e-03,-6.043956043956200119e-02,3.571428571428576504e-01,-4.073453792385528516e-01,1.479420079516913233e-01
3.000593185424804688e-02,-1.335164415960932160e-03,5.149919890135024048e-03,-2.747252747252915128e-02,6.098901098901094997e-01,-4.311340116082806873e-01,-1.029317539271712434e-01
3.500628471374511719e-02,-2.098115510795750538e-03,7.820248722056888369e-03,-6.043956043956200119e-02,7.417582417582408993e-01,-3.709980235855603325e-01,-1.249201873273353414e-01
4.000663757324218750e-02,-3.242542153047978104e-03,1.049057755397875269e-02,-2.142857142857153008e-01,4.890109890109890500e-01,-3.032325246593270407e-01,-1.469086206930381167e-01
4.500699043273925781e-02,-4.005493247882796481e-03,1.277943083848320782e-02,-1.593406593406605509e-01,3.901098901098905003e-01,-3.956867556994492219e-01,-8.497243358650763412e-02
5.000734329223632812e-02,-5.531395437552433236e-03,1.468680857557025377e-02,-2.802197802197810006e-01,5.219780219780218999e-01,-2.439966364486512163e-01,-1.540673548557691674e-02
5.500769615173339844e-02,-6.675822079804660802e-03,1.773861295490952728e-02,-2.142857142857153008e-01,3.901098901098905003e-01,-3.288213566591657866e-01,-2.739100081112599838e-01
6.000804901123046875e-02,-7.438773174639479180e-03,1.964599069199657322e-02,-2.802197802197810006e-01,4.560439560439562001e-01,-4.212755878859208991e-01,-5.175409093299165875e-02
6.500840187072753906e-02,-8.201724269474297557e-03,2.193484397650102835e-02,-6.043956043956200119e-02,4.230769230769233502e-01,-4.374347097028152831e-01,-1.424081225729612044e-01
7.000875473022460938e-02,-9.346150911726525123e-03,2.384222171358807429e-02,-1.813186813186824509e-01,3.901098901098905003e-01,-3.696692111675226045e-01,-7.284242422764819480e-02
7.500910758972167969e-02,-9.727626459143934312e-03,2.574959945067512024e-02,-1.813186813186824509e-01,3.241758241758248005e-01,-5.460480630644770628e-01,-7.957183528981559562e-02
8.000946044921875000e-02,-1.087205310139616188e-02,2.651255054550993862e-02,-2.802197802197810006e-01,2.912087912087919506e-01,-4.019874552218372088e-01,1.654726150253527095e-01
8.500981330871582031e-02,-1.163500419623098026e-02,2.727550164034475699e-02,-1.813186813186824509e-01,1.373626373626386510e-01,-4.944416868745715732e-01,1.816317369777564750e-01
9.001016616821289062e-02,-1.201647974364838944e-02,2.803845273517957537e-02,-6.043956043956200119e-02,1.703296703296715009e-01,-5.945254295781587928e-01,1.977908590238630637e-01
9.501051902770996094e-02,-1.316090638590061701e-02,2.956435492484921213e-02,-1.593406593406605509e-01,2.912087912087919506e-01,-4.504648220427576177e-01,4.610074030604316420e-02
1.000108718872070312e-01,-1.392385748073543539e-02,3.070878156710143969e-02,-2.142857142857153008e-01,3.241758241758248005e-01,-5.429190540201389581e-01,1.309254610925947304e-01
1.050112247467041016e-01,-1.468680857557025377e-02,3.261615930418848563e-02,-1.263736263736277010e-01,3.901098901098905003e-01,-5.590781766334806946e-01,-2.839416835648478354e-02
1.100115776062011719e-01,-1.583123521782248133e-02,3.490501258869294077e-02,-2.472527472527481507e-01,3.571428571428576504e-01,-4.913126789405453110e-01,-1.190481991530845107e-01
1.150119304656982422e-01,-1.735713740749211809e-02,3.681239032577998671e-02,-2.472527472527481507e-01,4.230769230769233502e-01,-4.159176704302769423e-01,-4.948249991090669653e-02
1.200122833251953125e-01,-1.850156404974434565e-02,3.871976806286703265e-02,-2.802197802197810006e-01,3.901098901098905003e-01,-5.007424263862692015e-01,-5.621189906588774932e-02
1.250126361846923828e-01,-2.002746623941398241e-02,4.062714579995407860e-02,-3.461538461538467004e-01,5.439560439560437999e-01,-4.253473625868231522e-01,-6.294132967997967398e-02
1.300129890441894531e-01,-2.155336842908361916e-02,4.291599908445853373e-02,-3.791208791208795503e-01,4.560439560439562001e-01,-4.262474640753843858e-01,-1.535953604956130647e-01
1.350133419036865234e-01,-2.269779507133584673e-02,4.482337682154557967e-02,-3.791208791208795503e-01,3.571428571428576504e-01,-5.120938411715414418e-01,-8.300800622786042027e-02
1.400284767150878906e-01,-2.346074616617066511e-02,4.711223010605003481e-02,-1.593406593406605509e-01,4.230769230769233502e-01,-6.036357749950038709e-01,-1.745743361536167271e-01
1.450290679931640625e-01,-2.536812390325771105e-02,4.901960784313708075e-02,-3.131868131868138505e-01,3.571428571428576504e-01,-3.680060568290688394e-01,-1.050236173523888539e-01
1.500294208526611328e-01,-2.689402609292734780e-02,5.016403448538930832e-02,-2.472527472527481507e-01,2.582417582417591007e-01,-4.452012677856664880e-01,5.609621308344969748e-02
1.550297737121582031e-01,-2.841992828259698456e-02,5.168993667505894507e-02,-3.791208791208795503e-01,3.901098901098905003e-01,-4.461013691943893633e-01,-1.929879591705763175e-02
1.600301265716552734e-01,-2.956435492484921213e-02,5.283436331731117264e-02,-3.791208791208795503e-01,2.912087912087919506e-01,-5.309425692552149911e-01,6.554240325947091605e-02
1.650307178497314453e-01,-3.070878156710143969e-02,5.397878995956340020e-02,-2.802197802197810006e-01,1.373626373626386510e-01,-5.394572011292098068e-01,7.405703430364951600e-02
1.700310707092285156e-01,-3.185320820935366726e-02,5.550469214923303696e-02,-2.142857142857153008e-01,3.241758241758248005e-01,-5.479868131468190739e-01,-1.337974871580271952e-03
1.750314235687255859e-01,-3.337911039902330401e-02,5.664911879148526452e-02,-1.813186813186824509e-01,2.252747252747262507e-01,-4.725918045710209014e-01,8.348674578913417577e-02
1.800317764282226562e-01,-3.490501258869294077e-02,5.741206988632008290e-02,-3.461538461538467004e-01,7.142857142857295116e-02,-4.735083836022724313e-01,1.759574556178300497e-01
1.850323677062988281e-01,-3.566796368352775914e-02,5.817502098115490128e-02,-1.813186813186824509e-01,1.703296703296715009e-01,-6.422427446961886943e-01,1.921015972722717180e-01
1.900327205657958984e-01,-3.795681696803221428e-02,6.008239871824194722e-02,-3.461538461538467004e-01,3.241758241758248005e-01,-3.227033851425176181e-01,-4.351314219854351961e-02
1.950330734252929688e-01,-3.948271915770185103e-02,6.160830090791158398e-02,-3.131868131868138505e-01,2.582417582417591007e-01,-4.761937041279562521e-01,3.368206709173371394e-02
2.000334262847900391e-01,-4.062714579995407860e-02,6.351567864499862992e-02,-4.450549450549452501e-01,4.560439560439562001e-01,-5.610184242950477795e-01,-4.934245366497336249e-02
2.050337791442871094e-01,-4.253452353704112454e-02,6.504158083466826668e-02,-4.780219780219781001e-01,2.912087912087919506e-01,-4.016987938077853926e-01,2.785275535117648360e-02
2.100341320037841797e-01,-4.406042572671076130e-02,6.618600747692049424e-02,-2.472527472527481507e-01,2.252747252747262507e-01,-4.788940023878396346e-01,1.126774751628989435e-01
2.150344848632812500e-01,-4.596780346379780724e-02,6.809338521400754018e-02,-4.450549450549452501e-01,3.241758241758248005e-01,-3.958694806966445157e-01,-4.664215553569661665e-02
2.200348377227783203e-01,-4.787518120088485318e-02,6.923781185625976775e-02,-3.461538461538467004e-01,2.582417582417591007e-01,-3.891400681089063340e-01,1.144776734224706161e-01
2.250351905822753906e-01,-4.978255893797189913e-02,7.076371404592940451e-02,-3.461538461538467004e-01,3.571428571428576504e-01,-3.824106551166828183e-01,3.908266279757377504e-02
2.300355434417724609e-01,-5.130846112764153588e-02,7.305256733043385964e-02,-2.472527472527481507e-01,4.230769230769233502e-01,-4.596223404367361098e-01,-1.278500010931526987e-01
2.350361347198486328e-01,-5.283436331731117264e-02,7.457846952010349639e-02,-2.472527472527481507e-01,3.571428571428576504e-01,-4.605074572304257430e-01,2.562533605124706071e-02
2.400364875793457031e-01,-5.512321660181562777e-02,7.686732280460795153e-02,-4.120879120879124002e-01,3.571428571428576504e-01,-2.935583129641727851e-01,-1.413238065696376111e-01
2.450368404388427734e-01,-5.664911879148526452e-02,7.801174944686017909e-02,-3.791208791208795503e-01,1.923076923076934008e-01,-4.470485895040976487e-01,9.609117961087321191e-02
2.500371932983398438e-01,-5.817502098115490128e-02,7.915617608911240666e-02,-3.131868131868138505e-01,2.912087912087919506e-01,-4.479487596719877729e-01,1.046207389910680519e-01
2.550375461578369141e-01,-6.046387426565935641e-02,8.068207827878204341e-02,-4.120879120879124002e-01,3.241758241758248005e-01,-2.809996161747285726e-01,2.922573065708533591e-02
2.600378990173339844e-01,-6.198977645532899317e-02,8.182650492103427098e-02,-3.131868131868138505e-01,2.252747252747262507e-01,-4.345064107858576108e-01,1.140669305656683008e-01
2.650384902954101562e-01,-6.351567864499862992e-02,8.258945601586908936e-02,-2.802197802197810006e-01,2.582417582417591007e-01,-4.353915278416220502e-01,2.065061828319159076e-01
2.700388431549072266e-01,-6.504158083466826668e-02,8.449683375295613530e-02,-3.131868131868138505e-01,5.219780219780218999e-01,-4.362916252177928556e-01,-2.910855541987444894e-02
2.750391960144042969e-01,-6.656748302433790343e-02,8.602273594262577205e-02,-2.802197802197810006e-01,1.923076923076934008e-01,-4.371917226679133961e-01,4.808665517163746017e-02
