time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,3.846153846154010125e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.886492333880341765e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
5.672693252563476562e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.451310770089203839e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
1.082539558410644531e-02,-5.722133211261137831e-04,1.907377737087045944e-04,-1.480681486613945053e-01,0.000000000000000000e+00,-5.722133211261137831e-04,1.907377737087045944e-04,-2.961362973227890313e-02,0.000000000000000000e+00,-7.068292972929719475e-01,0.000000000000000000e+00,-1.159287543306270485e-01,0.000000000000000000e+00,-3.663003663003667754e-01,2.930402930402919992e-03
1.625585556030273438e-02,-3.242542153047978104e-03,1.907377737087045944e-04,-4.917316108813804543e-01,0.000000000000000000e+00,-3.242542153047978104e-03,1.907377737087045944e-04,-1.220372259620992189e-01,0.000000000000000000e+00,-7.682359002050886954e-01,0.000000000000000000e+00,-1.395967340538665780e-01,0.000000000000000000e+00,-4.542124542124543751e-01,8.791208791208759976e-03
1.962089538574218750e-02,-5.531395437552433236e-03,1.907377737087045944e-04,-6.801860908750300139e-01,0.000000000000000000e+00,-5.531395437552433236e-03,1.907377737087045944e-04,-2.336669989446853724e-01,0.000000000000000000e+00,-7.870018410974554124e-01,0.000000000000000000e+00,-1.444532470323077467e-01,0.000000000000000000e+00,-6.710622710622704545e-01,8.791208791208759976e-03
2.212095260620117188e-02,-5.912870984969842425e-03,1.907377737087045944e-04,-1.525867265339528045e-01,0.000000000000000000e+00,-5.912870984969842425e-03,1.907377737087045944e-04,-2.174509444625388754e-01,0.000000000000000000e+00,-8.125936290545054952e-01,0.000000000000000000e+00,-1.439778888860676620e-01,0.000000000000000000e+00,-8.527472527472532704e-01,-8.791208791208759976e-03
2.462100982666015625e-02,-5.531395437552433236e-03,5.722133211261137831e-04,1.525867265339528045e-01,1.525867265339528045e-01,-5.531395437552433236e-03,5.722133211261137831e-04,-1.434434102632405339e-01,3.051734530679056298e-02,-8.347702980771989356e-01,9.680694957590696426e-02,-1.409626663157598214e-01,9.680694957590696426e-02,-8.761904761904766303e-01,-2.930402930402919992e-03
2.712106704711914062e-02,-5.531395437552433236e-03,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.531395437552433236e-03,5.722133211261137831e-04,-1.147547282105924327e-01,2.441387624543245316e-02,-8.622979153939256403e-01,9.122234397628677105e-02,-1.390366925738486525e-01,9.122234397628677105e-02,-8.000000000000007105e-01,2.930402930402919992e-03
2.962112426757812500e-02,-6.294346532387251614e-03,5.722133211261137831e-04,-3.051734530679056090e-01,0.000000000000000000e+00,-6.294346532387251614e-03,5.722133211261137831e-04,-1.528384731820550679e-01,1.953110099634596322e-02,-8.825504170303151152e-01,8.469144557734949175e-02,-1.414627959661941825e-01,8.469144557734949175e-02,-7.765567765567773506e-01,7.326007326007299980e-02
3.212118148803710938e-02,-7.057297627222069991e-03,9.536888685435229718e-04,-3.051734530679056090e-01,1.525867265339528045e-01,-7.057297627222069991e-03,9.536888685435229718e-04,-1.833054691592251872e-01,4.614222610386733286e-02,-8.923949017529817507e-01,1.048333343752497621e-01,-1.428063168536095884e-01,1.048333343752497621e-01,-8.351648351648357504e-01,7.326007326007299980e-02
3.462123870849609375e-02,-7.438773174639479180e-03,1.335164415960932160e-03,-1.525867265339528045e-01,1.525867265339528045e-01,-7.438773174639479180e-03,1.335164415960932160e-03,-1.771617206341707107e-01,6.743112618988443552e-02,-9.081005978403520196e-01,1.100293837363220395e-01,-1.425631522179556243e-01,1.100293837363220395e-01,-8.761904761904766303e-01,6.153846153846131983e-02
3.712129592895507812e-02,-8.201724269474297557e-03,1.716639963378341349e-03,-3.051734530679056090e-01,1.525867265339528045e-01,-8.201724269474297557e-03,1.716639963378341349e-03,-2.027640671209177126e-01,8.446224625869810931e-02,-9.209185256376706263e-01,1.123688747476209171e-01,-1.435066300863876709e-01,1.123688747476209171e-01,-8.586080586080591104e-01,4.981684981684963986e-02
3.962135314941406250e-02,-8.583199816891706746e-03,2.861066605630568915e-03,-1.525867265339528045e-01,4.577601796018583857e-01,-8.583199816891706746e-03,2.861066605630568915e-03,-1.927285990035247365e-01,1.591218329273301757e-01,-9.192109916926394231e-01,1.169432357778813908e-01,-1.431576450499870423e-01,1.169432357778813908e-01,-8.820512820512824703e-01,5.567765567765547985e-02
