time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,1.043956043956058011e-01,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,2.087912087912116230e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.349167458455645674e-01,-2.808154352724958613e+00,1.349167458455645674e-01,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,0.000000000000000000e+00,-2.806370000000000253e+00
2.000093460083007812e-03,1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,1.670329670329693053e-02,0.000000000000000000e+00,3.770040000000000110e-04,-7.347219999999999359e-04,3.769859999999999878e-01,-7.346890000000000365e-01,1.237780889486581604e-01,-3.421022769733153002e+00,1.237780889486581604e-01,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03,0.000000000000000000e+00,-2.108680000000000110e+00
4.000186920166015625e-03,1.907377737087045944e-04,-1.907377737087045944e-04,-2.747252747252915128e-02,-1.813186813186824509e-01,1.907377737087045944e-04,-1.907377737087045944e-04,1.336263736263754512e-02,-3.626373626373648879e-02,1.414069999999999910e-03,-2.755819999999999971e-03,6.600340000000000096e-01,-1.286320000000000130e+00,1.114152043420484767e-01,-3.892087508178911470e+00,1.114152043420484767e-01,-1.015708870752265319e-01,7.912087912087883979e-02,-1.380219780219780645e+00,0.000000000000000000e+00,-1.551739999999999897e+00
6.000280380249023438e-03,1.907377737087045944e-04,-1.716639963378341349e-03,3.846153846154010125e-02,-9.175824175824160989e-01,1.907377737087045944e-04,-1.716639963378341349e-03,1.069010989011003748e-02,-2.125274725274724219e-01,2.942070000000000188e-03,-5.733699999999999561e-03,8.678839999999999888e-01,-1.691420000000000146e+00,9.825953578617474538e-02,-3.877110935499406441e+00,9.825953578617474538e-02,-1.190672321119136540e-01,9.670329670329635974e-02,-2.001465201465201460e+00,0.000000000000000000e+00,-1.110889999999999933e+00
8.000373840332031250e-03,1.907377737087045944e-04,-6.294346532387251614e-03,-2.747252747252915128e-02,-2.170329670329671501e+00,1.907377737087045944e-04,-6.294346532387251614e-03,8.552087912088029986e-03,-6.040879120879122377e-01,4.826050000000000131e-03,-9.405419999999999406e-03,1.016000000000000014e+00,-1.980129999999999946e+00,8.490978496231679773e-02,-3.333652351948443560e+00,8.490978496231679773e-02,-1.218351165317531209e-01,1.025641025641021997e-01,-2.364835164835165315e+00,0.000000000000000000e+00,-7.652430000000000065e-01
1.000046730041503906e-02,5.722133211261137831e-04,-1.087205310139616188e-02,1.373626373626386510e-01,-2.203296703296704351e+00,5.722133211261137831e-04,-1.087205310139616188e-02,3.431419780219815974e-02,-9.239296703296706603e-01,6.959230000000000277e-03,-1.356300000000000040e-02,1.117079999999999851e+00,-2.177200000000000024e+00,1.545013570987541773e-01,-2.842896273439284194e+00,1.545013570987541773e-01,-1.226018560218523346e-01,9.670329670329635974e-02,-3.326007326007326625e+00,0.000000000000000000e+00,-4.973239999999999883e-01
1.200056076049804688e-02,9.536888685435229718e-04,-1.277943083848320782e-02,3.571428571428576504e-01,-8.846153846153832490e-01,9.536888685435229718e-04,-1.277943083848320782e-02,9.887992967033006064e-02,-9.160668131868131558e-01,9.257929999999999285e-03,-1.804329999999999823e-02,1.181499999999999995e+00,-2.302869999999999973e+00,1.764996308843042039e-01,-2.919104564579829475e+00,1.764996308843042039e-01,-1.225867478440028080e-01,-8.791208791208759976e-03,-3.753846153846154721e+00,0.000000000000000000e+00,-2.924769999999999870e-01
1.400065422058105469e-02,4.005493247882796481e-03,-1.583123521782248133e-02,1.379120879120879550e+00,-1.434065934065934300e+00,4.005493247882796481e-03,-1.583123521782248133e-02,3.549281195604399586e-01,-1.019666637362637518e+00,1.165729999999999891e-02,-2.271990000000000121e-02,1.217700000000000005e+00,-2.373580000000000023e+00,1.854704152608616929e-01,-2.743165153773572840e+00,1.854704152608616929e-01,-1.227768487604532915e-01,-9.670329670329635974e-02,-2.874725274725275170e+00,0.000000000000000000e+00,-1.386079999999999812e-01
1.600074768066406250e-02,7.057297627222069991e-03,-2.040894178683139160e-02,1.697802197802197099e+00,-2.489010989010989050e+00,7.057297627222069991e-03,-2.040894178683139160e-02,6.235029352087915200e-01,-1.313535507692307869e+00,1.410759999999999965e-02,-2.749640000000000070e-02,1.232520000000000060e+00,-2.402640000000000331e+00,1.871946171226846201e-01,-2.177742865286888652e+00,1.871946171226846201e-01,-1.232418432522286444e-01,2.930402930402919992e-03,-2.312087912087912756e+00,0.000000000000000000e+00,-2.549620000000000011e-02
1.800084114074707031e-02,9.727626459143934312e-03,-2.727550164034475699e-02,1.412087912087912400e+00,-3.313186813186813851e+00,9.727626459143934312e-03,-2.727550164034475699e-02,7.812199305846156960e-01,-1.713465768791209154e+00,1.657170000000000171e-02,-3.230000000000000232e-02,1.231430000000000025e+00,-2.400740000000000318e+00,1.877408039123403261e-01,-1.369620744021191383e+00,1.877408039123403261e-01,-1.237803666956383830e-01,8.498168498168467977e-02,-2.177289377289376660e+00,0.000000000000000000e+00,5.519209999999999394e-02
2.000093460083007812e-02,1.277943083848320782e-02,-3.299763485160589482e-02,1.445054945054945250e+00,-2.906593406593405149e+00,1.277943083848320782e-02,-3.299763485160589482e-02,9.139869334786816513e-01,-1.952091296351648353e+00,1.902200000000000071e-02,-3.707730000000000053e-02,1.218790000000000040e+00,-2.376370000000000093e+00,1.880966694800292605e-01,-8.407053953888824482e-01,1.880966694800292605e-01,-1.240746368057981108e-01,1.260073260073255597e-01,-2.265201465201466036e+00,0.000000000000000000e+00,1.103910000000000030e-01
2.200102806091308594e-02,1.583123521782248133e-02,-3.871976806286703265e-02,1.510989010989010950e+00,-2.961538461538459899e+00,1.583123521782248133e-02,-3.871976806286703265e-02,1.033387348980747689e+00,-2.153980729389010751e+00,2.143890000000000032e-02,-4.179019999999999957e-02,1.198039999999999994e+00,-2.336250000000000160e+00,1.883677531878228395e-01,-3.697208293500101606e-01,1.883677531878228395e-01,-1.243139765896746490e-01,1.435897435897430796e-01,-1.784615384615385381e+00,0.000000000000000000e+00,1.456900000000000139e-01
2.400112152099609375e-02,1.850156404974434565e-02,-4.558632791638039805e-02,1.412087912087912400e+00,-3.192307692307693401e+00,1.850156404974434565e-02,-4.558632791638039805e-02,1.109127461602180675e+00,-2.361646121972747370e+00,2.380900000000000030e-02,-4.641219999999999374e-02,1.171880000000000033e+00,-2.285600000000000076e+00,1.885227844365967020e-01,1.208039107579721161e-01,1.885227844365967020e-01,-1.245534834833457172e-01,-3.956043956043959753e-01,-1.081318681318681030e+00,0.000000000000000000e+00,1.658820000000000017e-01
2.600121498107910156e-02,2.155336842908361916e-02,-5.245288776989376345e-02,1.576923076923076650e+00,-3.510989010989010950e+00,2.155336842908361916e-02,-5.245288776989376345e-02,1.202686584666359915e+00,-2.591514699776000352e+00,2.612330000000000207e-02,-5.092649999999999955e-02,1.142360000000000042e+00,-2.228439999999999976e+00,1.887005026119026874e-01,6.558461799654019542e-01,1.887005026119026874e-01,-1.248126474047874940e-01,-3.721611721611726153e-01,-6.065934065934062147e-01,0.000000000000000000e+00,1.744680000000000120e-01
2.800130844116210938e-02,2.498664835584030186e-02,-5.970092317082453803e-02,1.697802197802197099e+00,-3.412087912087912400e+00,2.498664835584030186e-02,-5.970092317082453803e-02,1.301709707293527529e+00,-2.755629342238382851e+00,2.837679999999999716e-02,-5.532300000000000412e-02,1.111050000000000093e+00,-2.167829999999999924e+00,1.888754225328088121e-01,1.069334640010019433e+00,1.888754225328088121e-01,-1.249946871381790447e-01,-2.842490842490850156e-01,-3.076923076923083755e-01,0.000000000000000000e+00,1.746820000000000039e-01
3.344655036926269531e-02,2.956435492484921213e-02,-6.618600747692049424e-02,2.115384615384616751e+00,-3.093406593406594851e+00,2.956435492484921213e-02,-6.618600747692049424e-02,1.464444688911745507e+00,-2.823184792472025695e+00,3.056709999999999983e-02,-5.959700000000000414e-02,1.079110000000000014e+00,-2.106009999999999938e+00,1.891405934082282803e-01,1.412389121832989813e+00,1.891405934082282803e-01,-1.250690157167618499e-01,-3.018315018315025355e-01,-2.051282051282043994e-02,0.000000000000000000e+00,1.687649999999999983e-01
3.544664382934570312e-02,4.253452353704112454e-02,-8.258945601586908936e-02,2.247252747252748151e+00,-2.708791208791208049e+00,4.253452353704112454e-02,-8.258945601586908936e-02,1.621006300579945991e+00,-2.800306075735862432e+00,3.269369999999999915e-02,-6.374780000000000724e-02,1.047360000000000069e+00,-2.044620000000000104e+00,1.893762940085360613e-01,1.584205051350396687e+00,1.893762940085360613e-01,-1.250438797692554616e-01,-1.465201465201459996e-02,4.249084249084251752e-01,0.000000000000000000e+00,1.586329999999999962e-01
3.744673728942871094e-02,4.596780346379780724e-02,-8.640421149004318124e-02,1.983516483516481799e+00,-2.258241758241759101e+00,4.596780346379780724e-02,-8.640421149004318124e-02,1.693508337167253242e+00,-2.691893212237042032e+00,3.475749999999999673e-02,-6.777739999999998766e-02,1.016399999999999970e+00,-1.984779999999999989e+00,1.894804876023940543e-01,1.467043160879973662e+00,1.894804876023940543e-01,-1.249242491411141770e-01,7.326007326007299980e-02,8.234432234432240705e-01,0.000000000000000000e+00,1.457269999999999954e-01
3.944683074951171875e-02,4.978255893797189913e-02,-9.060044251163468232e-02,1.950549450549448949e+00,-2.071428571428572951e+00,4.978255893797189913e-02,-9.060044251163468232e-02,1.744916559843692427e+00,-2.567800284075348216e+00,3.676059999999999744e-02,-7.168960000000000610e-02,9.866149999999999087e-01,-1.927270000000000039e+00,1.895527713368432010e-01,1.325951540566744802e+00,1.895527713368432010e-01,-1.247861533680774543e-01,1.553113553113547596e-01,1.239560439560438709e+00,0.000000000000000000e+00,1.312039999999999873e-01
4.144692420959472656e-02,5.359731441214599101e-02,-9.555962462806100177e-02,1.829670329670328499e+00,-2.521978021978021900e+00,5.359731441214599101e-02,-9.555962462806100177e-02,1.761867313809019731e+00,-2.558635831655883042e+00,3.870559999999999973e-02,-7.548960000000000392e-02,9.582360000000000877e-01,-1.872530000000000028e+00,1.895763382855028545e-01,1.406584304890652337e+00,1.895763382855028545e-01,-1.247759009259348101e-01,2.315018315018306794e-01,1.503296703296703285e+00,0.000000000000000000e+00,1.159619999999999956e-01
4.344701766967773438e-02,5.626764324406785533e-02,-1.020447089341569580e-01,1.346153846153846700e+00,-3.159340659340660551e+00,5.626764324406785533e-02,-1.020447089341569580e-01,1.678724620277985302e+00,-2.678776797192838899e+00,4.059530000000000083e-02,-7.918300000000000338e-02,9.313759999999999817e-01,-1.820770000000000000e+00,1.894594639111056023e-01,1.735090570195450876e+00,1.894594639111056023e-01,-1.249097139646355159e-01,3.135531135531142155e-01,1.397802197802198165e+00,0.000000000000000000e+00,1.006100000000000050e-01
4.544734954833984375e-02,5.817502098115490128e-02,-1.070038910505832774e-01,1.126373626373627701e+00,-2.587912087912087600e+00,5.817502098115490128e-02,-1.070038910505832774e-01,1.568254421497113915e+00,-2.660603855336688639e+00,4.243279999999999968e-02,-8.277600000000000235e-02,9.060629999999999518e-01,-1.772059999999999746e+00,1.892986420422994309e-01,1.792779565988710910e+00,1.892986420422994309e-01,-1.248895521958052479e-01,4.014652014652018153e-01,1.274725274725275526e+00,0.000000000000000000e+00,8.566499999999999115e-02
4.940652847290039062e-02,6.046387426565935641e-02,-1.131074998092618245e-01,9.615384615384598987e-01,-9.505494505494489488e-01,6.046387426565935641e-02,-1.131074998092618245e-01,1.446911229505383201e+00,-2.318592974379241056e+00,4.422120000000000217e-02,-8.627450000000000396e-02,8.822540000000000937e-01,-1.726309999999999789e+00,1.891131307661385874e-01,1.272005789986086377e+00,1.891131307661385874e-01,-1.245042976283976255e-01,4.014652014652018153e-01,1.567765567765567525e+00,0.000000000000000000e+00,7.129830000000000889e-02
5.140662193298339844e-02,6.351567864499862992e-02,-1.153963530937662796e-01,7.417582417582408993e-01,-1.368131868131868600e+00,6.351567864499862992e-02,-1.153963530937662796e-01,1.305880631955954829e+00,-2.128500753129766387e+00,4.596340000000000148e-02,-8.968439999999999745e-02,8.598860000000000392e-01,-1.683390000000000164e+00,1.888825376785612520e-01,1.019662219415133020e+00,1.888825376785612520e-01,-1.242841618187819630e-01,3.369963369963375754e-01,1.796336996336997061e+00,0.000000000000000000e+00,5.787919999999999177e-02
5.340671539306640625e-02,6.542305638208567586e-02,-1.184481574731055531e-01,8.736263736263722990e-01,-1.653846153846153300e+00,6.542305638208567586e-02,-1.184481574731055531e-01,1.219429780290038456e+00,-2.033569833273043859e+00,4.766219999999999485e-02,-9.301099999999999646e-02,8.388409999999999478e-01,-1.643079999999999874e+00,1.887309445506057115e-01,9.160836542837709207e-01,1.887309445506057115e-01,-1.241721244701883553e-01,3.311355311355317355e-01,1.479853479853479925e+00,0.000000000000000000e+00,4.538140000000000229e-02
5.540680885314941406e-02,6.618600747692049424e-02,-1.214999618524448266e-01,4.890109890109890500e-01,-1.434065934065934300e+00,6.618600747692049424e-02,-1.214999618524448266e-01,1.073346022034228575e+00,-1.913669053431622080e+00,4.932009999999999866e-02,-9.625939999999999497e-02,8.190089999999999870e-01,-1.605150000000000077e+00,1.884509383776088731e-01,7.607960986192205954e-01,1.884509383776088731e-01,-1.240281922659909747e-01,3.252747252747258955e-01,1.040293040293040150e+00,0.000000000000000000e+00,3.389570000000000083e-02
5.740690231323242188e-02,6.733043411917272181e-02,-1.234073395895318725e-01,5.439560439560437999e-01,-1.049450549450551051e+00,6.733043411917272181e-02,-1.234073395895318725e-01,9.674680264185916423e-01,-1.740825352635408052e+00,5.093949999999999867e-02,-9.943400000000000849e-02,8.002630000000000576e-01,-1.569370000000000154e+00,1.882227203431047491e-01,4.999488955538206048e-01,1.882227203431047491e-01,-1.238148804435164896e-01,2.725274725274733356e-01,8.234432234432240705e-01,0.000000000000000000e+00,2.352140000000000133e-02
5.940699577331542969e-02,6.847486076142494937e-02,-1.245517662317841001e-01,5.219780219780218999e-01,-4.780219780219781001e-01,6.847486076142494937e-02,-1.245517662317841001e-01,8.783700255304777160e-01,-1.488264677712722195e+00,5.252230000000000787e-02,-1.025390000000000051e-01,7.824649999999999661e-01,-1.535460000000000047e+00,1.880078214225942845e-01,8.276683610308170624e-02,1.880078214225942845e-01,-1.234862857307389566e-01,2.901098901098908556e-01,6.827838827838821345e-01,0.000000000000000000e+00,1.417040000000000140e-02
