time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,7.142857142857295116e-02,-1.907377737087045944e-04,1.907377737087045944e-04,-2.747252747252915128e-02,7.142857142857295116e-02,-4.310956498470415671e-04,3.963874500883888263e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
3.555059432983398438e-03,1.907377737087045944e-04,1.907377737087045944e-04,1.073049704536938459e-01,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,1.073049704536938459e-01,0.000000000000000000e+00,1.034634988484767724e-02,3.972571717040370709e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
6.783485412597656250e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.011935880595381795e-02,3.974615815758726356e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.901098901098908556e-01
9.993553161621093750e-03,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,2.376744525304558819e-01,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,2.376744525304558819e-01,2.982132482636811258e-02,3.971243137792311861e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,3.369963369963375754e-01
1.313233375549316406e-02,-1.907377737087045944e-04,2.098115510795750538e-03,-1.215362259350572793e-01,3.646086778051718102e-01,-1.907377737087045944e-04,2.098115510795750538e-03,-1.215362259350572793e-01,3.646086778051718102e-01,3.929102810074511926e-02,3.962844301146404291e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.637362637362627993e-02,3.604395604395609354e-01
1.513242721557617188e-02,1.907377737087045944e-04,2.861066605630568915e-03,1.907288609411168234e-01,3.814577218822336468e-01,1.907377737087045944e-04,2.861066605630568915e-03,1.907288609411168234e-01,3.814577218822336468e-01,4.531579161320582055e-02,3.954911057740301272e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.637362637362627993e-02,3.721611721611726153e-01
1.713252067565917969e-02,1.907377737087045944e-04,3.242542153047978104e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,3.242542153047978104e-03,0.000000000000000000e+00,1.907288609411168234e-01,5.133257834353389948e-02,3.945001519628325570e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.809523809523795990e-02,3.604395604395609354e-01
1.913261413574218750e-02,-1.907377737087045944e-04,4.386968795300205670e-03,-1.907288609411168234e-01,5.721865828233504425e-01,-1.907377737087045944e-04,4.386968795300205670e-03,-1.907288609411168234e-01,5.721865828233504425e-01,5.734091227526859347e-02,3.933143475591117100e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.395604395604379988e-02,3.663003663003667754e-01
2.113294601440429688e-02,1.907377737087045944e-04,5.149919890135024048e-03,1.907061280613860654e-01,3.814122561227721309e-01,1.907377737087045944e-04,5.149919890135024048e-03,1.907061280613860654e-01,3.814122561227721309e-01,6.334103199219667801e-02,3.919362958542151332e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.567765567765547985e-02,3.780219780219784553e-01
2.313303947448730469e-02,1.907377737087045944e-04,6.294346532387251614e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,6.294346532387251614e-03,0.000000000000000000e+00,5.721865828233504425e-01,6.933103112789661127e-02,3.903691045008758631e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,4.014652014652018153e-01
2.513313293457031250e-02,-1.907377737087045944e-04,6.675822079804660802e-03,-1.907288609411168234e-01,1.907288609411168234e-01,-1.907377737087045944e-04,6.675822079804660802e-03,-1.907288609411168234e-01,1.907288609411168234e-01,7.531114935887800454e-02,3.886153995204580380e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.326007326007299980e-02,4.424908424908426952e-01
2.713322639465332031e-02,-1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,0.000000000000000000e+00,8.128091066868005365e-02,3.866779597910257604e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.084249084249051975e-02,4.307692307692310152e-01
2.913355827331542969e-02,-5.722133211261137831e-04,7.057297627222069991e-03,-1.907061280613860654e-01,1.907061280613860654e-01,-5.722133211261137831e-04,7.057297627222069991e-03,-1.907061280613860654e-01,1.907061280613860654e-01,8.724054870260830596e-02,3.845593009938540474e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.084249084249051975e-02,3.897435897435901353e-01
3.113365173339843750e-02,-5.722133211261137831e-04,7.820248722056888369e-03,0.000000000000000000e+00,3.814577218822336468e-01,-5.722133211261137831e-04,7.820248722056888369e-03,0.000000000000000000e+00,3.814577218822336468e-01,9.318816674422526758e-02,3.822627073268707321e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.912087912087883979e-02,3.663003663003667754e-01
3.586721420288085938e-02,-5.722133211261137831e-04,9.346150911726525123e-03,0.000000000000000000e+00,3.223580969950698427e-01,-5.722133211261137831e-04,9.346150911726525123e-03,0.000000000000000000e+00,3.223580969950698427e-01,1.072164054493907198e-01,3.761337026107951509e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.498168498168467977e-02,3.956043956043959753e-01
3.786730766296386719e-02,-1.716639963378341349e-03,9.727626459143934312e-03,-5.721865828233504425e-01,1.907288609411168234e-01,-1.716639963378341349e-03,9.727626459143934312e-03,-5.721865828233504425e-01,1.907288609411168234e-01,1.131224507834775322e-01,3.732576731486206834e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.142857142857138797e-01,3.780219780219784553e-01
3.986740112304687500e-02,-2.098115510795750538e-03,1.049057755397875269e-02,-1.907288609411168234e-01,3.814577218822336468e-01,-2.098115510795750538e-03,1.049057755397875269e-02,-1.907288609411168234e-01,3.814577218822336468e-01,1.190151084996172171e-01,3.702156014700671571e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,3.545787545787550954e-01
4.186749458312988281e-02,-2.098115510795750538e-03,1.125352864881357107e-02,0.000000000000000000e+00,3.814577218822336468e-01,-2.098115510795750538e-03,1.125352864881357107e-02,0.000000000000000000e+00,3.814577218822336468e-01,1.248939025813490394e-01,3.670102664531986192e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,3.428571428571434154e-01
4.386758804321289062e-02,-2.479591058213159727e-03,1.201647974364838944e-02,-1.907288609411168234e-01,3.814577218822336468e-01,-2.479591058213159727e-03,1.201647974364838944e-02,-1.907288609411168234e-01,3.814577218822336468e-01,1.307583570122122230e-01,3.636444469760790610e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.260073260073255597e-01,3.545787545787550954e-01
4.586768150329589844e-02,-2.861066605630568915e-03,1.277943083848320782e-02,-1.907288609411168234e-01,3.814577218822336468e-01,-2.861066605630568915e-03,1.277943083848320782e-02,-1.907288609411168234e-01,3.814577218822336468e-01,1.366079957757460606e-01,3.601209219167726405e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.318681318681313996e-01,3.604395604395609354e-01
5.085992813110351562e-02,-3.242542153047978104e-03,1.392385748073543539e-02,-7.641360210301489930e-02,2.292408063090446979e-01,-3.242542153047978104e-03,1.392385748073543539e-02,-7.641360210301489930e-02,2.292408063090446979e-01,1.511409794616865865e-01,3.506562763224248536e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.377289377289372396e-01,3.487179487179492554e-01
5.286002159118652344e-02,-4.386968795300205670e-03,1.659418631265729971e-02,-5.721865828233504425e-01,1.335102026587817736e+00,-4.386968795300205670e-03,1.659418631265729971e-02,-5.721865828233504425e-01,1.335102026587817736e+00,1.569350815234653862e-01,3.466032507941065322e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.377289377289372396e-01,3.311355311355317355e-01
5.486011505126953125e-02,-4.768444342717614859e-03,1.773861295490952728e-02,-1.907288609411168234e-01,5.721865828233504425e-01,-4.768444342717614859e-03,1.773861295490952728e-02,-1.907288609411168234e-01,5.721865828233504425e-01,1.627122277447296816e-01,3.424050135379273496e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.611721611721605996e-01,3.545787545787550954e-01
5.686044692993164062e-02,-5.149919890135024048e-03,1.926451514457916403e-02,-1.907061280613860654e-01,7.628245122455442617e-01,-5.149919890135024048e-03,1.926451514457916403e-02,-1.907061280613860654e-01,7.628245122455442617e-01,1.684726276303795955e-01,3.380638176280937324e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.670329670329664395e-01,3.545787545787550954e-01
5.886054039001464844e-02,-5.912870984969842425e-03,2.002746623941398241e-02,-3.814577218822336468e-01,3.814577218822336468e-01,-5.912870984969842425e-03,2.002746623941398241e-02,-3.814577218822336468e-01,3.814577218822336468e-01,1.742144319581726553e-01,3.335834770687581829e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.670329670329664395e-01,3.252747252747258955e-01
6.086063385009765625e-02,-6.294346532387251614e-03,2.117189288166620997e-02,-1.907288609411168234e-01,5.721865828233504425e-01,-6.294346532387251614e-03,2.117189288166620997e-02,-1.907288609411168234e-01,5.721865828233504425e-01,1.799378523393259932e-01,3.289662617470064943e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.670329670329664395e-01,3.194139194139200555e-01
6.286072731018066406e-02,-6.675822079804660802e-03,2.307927061875325592e-02,-1.907288609411168234e-01,9.536443047055841449e-01,-6.675822079804660802e-03,2.307927061875325592e-02,-1.907288609411168234e-01,9.536443047055841449e-01,1.856424127573789440e-01,3.242149505409027688e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.787545787545781195e-01,3.487179487179492554e-01
6.798481941223144531e-02,-7.438773174639479180e-03,2.689402609292734780e-02,-1.488948831597830813e-01,7.444744157989153788e-01,-7.438773174639479180e-03,2.689402609292734780e-02,-1.488948831597830813e-01,7.444744157989153788e-01,2.001677213082197204e-01,3.114498829274656155e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.963369963369956395e-01,3.311355311355317355e-01
6.998515129089355469e-02,-8.964675364309115935e-03,2.803845273517957537e-02,-7.628245122455442617e-01,5.721183841841581685e-01,-8.964675364309115935e-03,2.803845273517957537e-02,-7.628245122455442617e-01,5.721183841841581685e-01,2.058019067646596478e-01,3.062428814838896729e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.846153846153839595e-01,3.369963369963375754e-01
7.198524475097656250e-02,-9.346150911726525123e-03,2.880140383001439375e-02,-1.907288609411168234e-01,3.814577218822336468e-01,-9.346150911726525123e-03,2.880140383001439375e-02,-1.907288609411168234e-01,3.814577218822336468e-01,2.114143878788128095e-01,3.009150747969924211e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.021978021978014795e-01,3.252747252747258955e-01
7.398533821105957031e-02,-1.010910200656134350e-02,3.032730601968403050e-02,-3.814577218822336468e-01,7.629154437644672937e-01,-1.010910200656134350e-02,3.032730601968403050e-02,-3.814577218822336468e-01,7.629154437644672937e-01,2.170053614046349721e-01,2.954686284720737244e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.021978021978014795e-01,3.076923076923083755e-01
7.598543167114257812e-02,-1.049057755397875269e-02,3.223468375677107645e-02,-1.907288609411168234e-01,9.536443047055841449e-01,-1.049057755397875269e-02,3.223468375677107645e-02,-1.907288609411168234e-01,9.536443047055841449e-01,2.225743513256654704e-01,2.899063213871977407e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.080586080586073194e-01,3.076923076923083755e-01
7.798552513122558594e-02,-1.125352864881357107e-02,3.299763485160589482e-02,-3.814577218822336468e-01,3.814577218822336468e-01,-1.125352864881357107e-02,3.299763485160589482e-02,-3.814577218822336468e-01,3.814577218822336468e-01,2.281208816254435279e-01,2.842309324204284060e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.080586080586073194e-01,2.842490842490850156e-01
7.998561859130859375e-02,-1.163500419623098026e-02,3.490501258869294077e-02,-1.907288609411168234e-01,9.536443047055841449e-01,-1.163500419623098026e-02,3.490501258869294077e-02,-1.907288609411168234e-01,9.536443047055841449e-01,2.336444762875083958e-01,2.784452404498298783e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.197802197802189994e-01,2.842490842490850156e-01
8.198571205139160156e-02,-1.239795529106579863e-02,3.643091477836257752e-02,-3.814577218822336468e-01,7.629154437644672937e-01,-1.239795529106579863e-02,3.643091477836257752e-02,-3.814577218822336468e-01,7.629154437644672937e-01,2.391446592953992978e-01,2.725520243534660936e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.256410256410248394e-01,2.901098901098908556e-01
8.398580551147460938e-02,-1.277943083848320782e-02,3.757534142061480509e-02,-1.907288609411168234e-01,5.721865828233504425e-01,-1.277943083848320782e-02,3.757534142061480509e-02,-1.907288609411168234e-01,5.721865828233504425e-01,2.446209546326555129e-01,2.665540630094012098e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.315018315018306794e-01,2.783882783882791756e-01
8.598589897155761719e-02,-1.354238193331802620e-02,3.948271915770185103e-02,-3.814577218822336468e-01,9.536443047055841449e-01,-1.354238193331802620e-02,3.948271915770185103e-02,-3.814577218822336468e-01,9.536443047055841449e-01,2.500728862828163201e-01,2.604541352956991629e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.373626373626365194e-01,2.842490842490850156e-01
8.798599243164062500e-02,-1.392385748073543539e-02,4.062714579995407860e-02,-1.907288609411168234e-01,5.721865828233504425e-01,-1.392385748073543539e-02,4.062714579995407860e-02,-1.907288609411168234e-01,5.721865828233504425e-01,2.554999782294208877e-01,2.542550200904239999e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.490842490842481993e-01,2.842490842490850156e-01
8.998608589172363281e-02,-1.468680857557025377e-02,4.215304798962371535e-02,-3.814577218822336468e-01,7.629154437644672937e-01,-1.468680857557025377e-02,4.215304798962371535e-02,-3.814577218822336468e-01,7.629154437644672937e-01,2.609017544560085500e-01,2.479594962716398787e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.549450549450558157e-01,2.783882783882791756e-01
9.470510482788085938e-02,-1.544975967040507214e-02,4.406042572671076130e-02,-1.616757858268103865e-01,4.041894645670259800e-01,-1.544975967040507214e-02,4.406042572671076130e-02,-1.616757858268103865e-01,4.041894645670259800e-01,2.735436314383938305e-01,2.327397703327957479e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.608058608058616556e-01,2.901098901098908556e-01
