time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,-7.354565258720901881e-03,7.927749011923179712e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03
3.511905670166015625e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-1.086235176126971458e-01,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,-1.086235176126971458e-01,8.622925936094764238e-03,7.945013893123523685e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
6.692647933959960938e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.199328696825597007e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,1.199328696825597007e-01,2.288294495034132875e-02,7.949266772992591434e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.901098901098908556e-01
9.477138519287109375e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.370001211092584104e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.370001211092584104e-01,3.519893586039555405e-02,7.944289471902479249e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,4.131868131868134952e-01
1.210975646972656250e-02,5.722133211261137831e-04,9.536888685435229718e-04,1.449034970508086551e-01,1.449034970508086551e-01,5.722133211261137831e-04,9.536888685435229718e-04,1.449034970508086551e-01,1.449034970508086551e-01,4.669698000268250604e-02,7.932255613208279987e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.465201465201459996e-02,5.128205128205127750e-01
1.418399810791015625e-02,1.907377737087045944e-04,1.716639963378341349e-03,-1.839108522339113760e-01,3.678217044678227521e-01,1.907377737087045944e-04,1.716639963378341349e-03,-1.839108522339113760e-01,3.678217044678227521e-01,5.565480005243456096e-02,7.917842049809393767e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.051282051282043994e-02,5.538461538461536549e-01
1.618409156799316406e-02,1.907377737087045944e-04,2.098115510795750538e-03,0.000000000000000000e+00,1.907288609411168234e-01,1.907377737087045944e-04,2.098115510795750538e-03,0.000000000000000000e+00,1.907288609411168234e-01,6.420663534031649522e-02,7.899890332103493007e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.637362637362627993e-02,5.714285714285711748e-01
1.818418502807617188e-02,1.907377737087045944e-04,3.242542153047978104e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,3.242542153047978104e-03,0.000000000000000000e+00,5.721865828233504425e-01,7.267332832092136818e-02,7.878015248118368508e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.809523809523795990e-02,5.538461538461536549e-01
2.018427848815917969e-02,1.907377737087045944e-04,4.768444342717614859e-03,0.000000000000000000e+00,7.629154437644672937e-01,1.907377737087045944e-04,4.768444342717614859e-03,0.000000000000000000e+00,7.629154437644672937e-01,8.105395564698585076e-02,7.852272375414812711e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.809523809523795990e-02,5.597069597069594948e-01
2.218437194824218750e-02,1.907377737087045944e-04,5.912870984969842425e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,5.912870984969842425e-03,0.000000000000000000e+00,5.721865828233504425e-01,8.934759397124665548e-02,7.822717291553619168e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,7.179487179487171744e-01
2.418446540832519531e-02,1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,3.814577218822336468e-01,1.907377737087045944e-04,6.675822079804660802e-03,0.000000000000000000e+00,3.814577218822336468e-01,9.755331994644046711e-02,7.789405574095578100e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,8.234432234432240705e-01
2.618455886840820312e-02,1.907377737087045944e-04,7.820248722056888369e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.907377737087045944e-04,7.820248722056888369e-03,0.000000000000000000e+00,5.721865828233504425e-01,1.056702102253039982e-01,7.752392800601484169e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.153846153846131983e-02,6.945054945054938145e-01
2.818465232849121094e-02,1.907377737087045944e-04,9.346150911726525123e-03,0.000000000000000000e+00,7.629154437644672937e-01,1.907377737087045944e-04,9.346150911726525123e-03,0.000000000000000000e+00,7.629154437644672937e-01,1.136973414605739335e-01,7.711734548632129815e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.326007326007299980e-02,6.652014652014646146e-01
3.018474578857421875e-02,1.907377737087045944e-04,1.087205310139616188e-02,0.000000000000000000e+00,7.629154437644672937e-01,1.907377737087045944e-04,1.087205310139616188e-02,0.000000000000000000e+00,7.629154437644672937e-01,1.216337903049869856e-01,7.667486395748306371e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.912087912087883979e-02,6.593406593406587746e-01
3.218483924865722656e-02,1.907377737087045944e-04,1.239795529106579863e-02,0.000000000000000000e+00,7.629154437644672937e-01,1.907377737087045944e-04,1.239795529106579863e-02,0.000000000000000000e+00,7.629154437644672937e-01,1.294786334112797976e-01,7.619703919510806278e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.084249084249051975e-02,6.124542124542120547e-01
3.418493270874023438e-02,5.722133211261137831e-04,1.430533302815284458e-02,1.907288609411168234e-01,9.536443047055841449e-01,5.722133211261137831e-04,1.430533302815284458e-02,1.907288609411168234e-01,9.536443047055841449e-01,1.372309474321891376e-01,7.568442697480424197e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,6.710622710622704545e-01
3.618502616882324219e-02,1.907377737087045944e-04,1.621271076523989052e-02,-1.907288609411168234e-01,9.536443047055841449e-01,1.907377737087045944e-04,1.621271076523989052e-02,-1.907288609411168234e-01,9.536443047055841449e-01,1.448898090204516764e-01,7.513758307217950350e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.142857142857138797e-01,6.534798534798529346e-01
3.818535804748535156e-02,-1.907377737087045944e-04,1.812008850232693646e-02,-1.907061280613860654e-01,9.535306403069302439e-01,-1.907377737087045944e-04,1.812008850232693646e-02,-1.907061280613860654e-01,9.535306403069302439e-01,1.524551908813081003e-01,7.455699207742298995e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.728937728937722795e-01,6.827838827838821345e-01
4.018545150756835938e-02,-1.335164415960932160e-03,2.040894178683139160e-02,-5.721865828233504425e-01,1.144373165646700885e+00,-1.335164415960932160e-03,2.040894178683139160e-02,-5.721865828233504425e-01,1.144373165646700885e+00,1.599243661474369360e-01,7.394334822206660718e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.139194139194131594e-01,6.593406593406587746e-01
4.218554496765136719e-02,-2.098115510795750538e-03,2.231631952391843754e-02,-3.814577218822336468e-01,9.536443047055841449e-01,-2.098115510795750538e-03,2.231631952391843754e-02,-3.814577218822336468e-01,9.536443047055841449e-01,1.672973188290626245e-01,7.329714007746360727e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.963369963369956395e-01,6.710622710622704545e-01
4.418563842773437500e-02,-3.242542153047978104e-03,2.536812390325771105e-02,-5.721865828233504425e-01,1.525830887528934587e+00,-3.242542153047978104e-03,2.536812390325771105e-02,-5.721865828233504425e-01,1.525830887528934587e+00,1.745731255789218506e-01,7.261892341922192573e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.080586080586073194e-01,6.827838827838821345e-01
