time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.327390886793679670e-02,4.627181476226205348e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
3.629922866821289062e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.050919155622350720e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.050919155622350720e-01,1.892940000000000209e-05,-3.689040000000000174e-05,3.785830000000000445e-02,-7.377989999999999549e-02,-1.396610589840641126e-02,1.611945636361689083e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03,0.000000000000000000e+00,0.000000000000000000e+00
6.618261337280273438e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.276547322829925946e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.276547322829925946e-01,7.526219999999999915e-05,-1.466739999999999852e-04,7.480610000000000037e-02,-1.457859999999999989e-01,6.084401987770693410e-01,-1.436336846215260366e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.465201465201459996e-02,2.051282051282043994e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.595394134521484375e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.680979999999999887e-04,-3.275980000000000168e-04,1.108640000000000042e-01,-2.160580000000000001e-01,7.389735519889749638e-01,-1.461218571254176979e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.930402930402919992e-03,2.051282051282043994e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.217341423034667969e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.479722939457161768e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.479722939457161768e-01,2.965590000000000045e-04,-5.779490000000000191e-04,1.460529999999999884e-01,-2.846380000000000021e-01,7.527053188523779026e-01,-1.250777866004018080e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.080586080586073194e-01,-4.893772893772894150e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.458549499511718750e-02,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-3.163041246288482711e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-3.163041246288482711e-01,4.597830000000000124e-04,-8.960530000000000621e-04,1.803929999999999978e-01,-3.515630000000000144e-01,8.016889697981266494e-01,-1.101750210083745074e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.428571428571434154e-01,-7.589743589743598307e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.658558845520019531e-02,5.722133211261137831e-04,-1.335164415960932160e-03,1.907288609411168234e-01,-3.814577218822336468e-01,5.722133211261137831e-04,-1.335164415960932160e-03,1.907288609411168234e-01,-3.814577218822336468e-01,6.569330000000000612e-04,-1.280270000000000019e-03,2.139020000000000088e-01,-4.168709999999999916e-01,5.130730442990660833e-01,-9.846409472459072276e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.307692307692310152e-01,-7.706959706959715106e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.858568191528320312e-02,5.722133211261137831e-04,-3.242542153047978104e-03,0.000000000000000000e+00,-9.536443047055841449e-01,5.722133211261137831e-04,-3.242542153047978104e-03,0.000000000000000000e+00,-9.536443047055841449e-01,8.871870000000000017e-04,-1.729019999999999949e-03,2.466000000000000136e-01,-4.806010000000000004e-01,8.093471705524102333e-01,-3.910927084606719006e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.128205128205127750e-01,-7.120879120879113344e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.058577537536621094e-02,9.536888685435229718e-04,-5.149919890135024048e-03,1.907288609411168234e-01,-9.536443047055841449e-01,9.536888685435229718e-04,-5.149919890135024048e-03,1.907288609411168234e-01,-9.536443047055841449e-01,1.149740000000000007e-03,-2.240719999999999865e-03,2.785059999999999758e-01,-5.427880000000000482e-01,6.406700331728742981e-01,-4.851160786056229468e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.893772893772894150e-01,-7.824175824175831906e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.258586883544921875e-02,1.335164415960932160e-03,-6.675822079804660802e-03,1.907288609411168234e-01,-7.629154437644672937e-01,1.335164415960932160e-03,-6.675822079804660802e-03,1.907288609411168234e-01,-7.629154437644672937e-01,1.443819999999999956e-03,-2.813850000000000118e-03,3.096380000000000243e-01,-6.034680000000000044e-01,7.012940550461620459e-01,-8.165068754210391688e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.772893772893770148e-01,-7.648351648351656706e-01,0.000000000000000000e+00,0.000000000000000000e+00
