time, pos1, pos2, vel1, vel2, tau1, tau2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-9.340659340659485110e-02,5.494505494507251342e-03,-7.354565258720901881e-03,7.927749011923179712e-01
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,-9.340659340659485110e-02,5.494505494507251342e-03,8.177179557830070028e-03,7.944710091675638575e-01
3.413200378417968750e-03,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,1.373626373626386510e-01,2.221198791653400742e-02,7.949306005185977630e-01
6.541967391967773438e-03,1.907377737087045944e-04,1.716639963378341349e-03,3.846153846154010125e-02,4.890109890109890500e-01,3.493590906532589857e-02,7.944480733173819864e-01
9.417295455932617188e-03,1.907377737087045944e-04,3.242542153047978104e-03,-2.747252747252915128e-02,5.769230769230766498e-01,4.629228249796211309e-02,7.932801916913972962e-01
1.201653480529785156e-02,1.907377737087045944e-04,4.005493247882796481e-03,-9.340659340659485110e-02,3.901098901098905003e-01,5.493636769500446354e-02,7.919162760897184850e-01
1.401686668395996094e-02,1.907377737087045944e-04,4.768444342717614859e-03,3.846153846154010125e-02,4.560439560439562001e-01,6.349730622754280740e-02,7.901536731269312996e-01
1.601743698120117188e-02,5.722133211261137831e-04,5.531395437552433236e-03,7.142857142857295116e-02,3.901098901098905003e-01,7.197213382137558624e-02,7.879983632165979968e-01
1.801776885986328125e-02,1.907377737087045944e-04,6.294346532387251614e-03,-9.340659340659485110e-02,4.230769230769233502e-01,8.035995738807209798e-02,7.854560455949807229e-01
2.001786231994628906e-02,1.907377737087045944e-04,7.057297627222069991e-03,5.494505494507251342e-03,4.230769230769233502e-01,8.866185306140167421e-02,7.825316733462734931e-01
2.201819419860839844e-02,1.907377737087045944e-04,8.201724269474297557e-03,-2.747252747252915128e-02,5.439560439560437999e-01,9.687589216004816040e-02,7.792310862953887307e-01
2.401852607727050781e-02,1.907377737087045944e-04,9.727626459143934312e-03,3.846153846154010125e-02,7.747252747252737493e-01,1.050011510065096410e-01,7.755598441861579762e-01
2.601885795593261719e-02,5.722133211261137831e-04,1.125352864881357107e-02,3.846153846154010125e-02,7.417582417582408993e-01,1.130367059232841587e-01,7.715235067624129917e-01
2.801918983459472656e-02,5.722133211261137831e-04,1.277943083848320782e-02,5.494505494507251342e-03,7.417582417582408993e-01,1.209825747465953089e-01,7.671270886179706316e-01
