time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,3.846153846154010125e-02,3.846153846154010125e-02,5.243861649159442181e-03,2.243301582122859128e-01
3.280401229858398438e-03,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,3.846153846154010125e-02,1.024178007845906110e-02,2.174426270780298320e-01
6.403446197509765625e-03,1.907377737087045944e-04,5.722133211261137831e-04,-2.747252747252915128e-02,7.142857142857295116e-02,1.485347781683339467e-02,2.107473800703152933e-01
9.285449981689453125e-03,1.907377737087045944e-04,9.536888685435229718e-04,1.043956043956058011e-01,3.846153846154010125e-02,1.943710546904075381e-02,2.037854111832335668e-01
1.215028762817382812e-02,1.907377737087045944e-04,1.335164415960932160e-03,-2.747252747252915128e-02,1.703296703296715009e-01,2.443261947582140228e-02,1.958667040026339234e-01
1.527309417724609375e-02,1.907377737087045944e-04,1.335164415960932160e-03,-6.043956043956200119e-02,7.142857142857295116e-02,2.837206507569421318e-02,1.893910333640390076e-01
1.773619651794433594e-02,1.907377737087045944e-04,1.716639963378341349e-03,7.142857142857295116e-02,1.703296703296715009e-01,3.157080804333065038e-02,1.839903886884055317e-01
1.973652839660644531e-02,-1.907377737087045944e-04,2.098115510795750538e-03,-9.340659340659485110e-02,1.373626373626386510e-01,3.476900017033392881e-02,1.784685295424353613e-01
2.173686027526855469e-02,1.907377737087045944e-04,2.098115510795750538e-03,3.846153846154010125e-02,1.703296703296715009e-01,3.796659199846481869e-02,1.728307771967405038e-01
2.373719215393066406e-02,1.907377737087045944e-04,2.861066605630568915e-03,3.846153846154010125e-02,2.912087912087919506e-01,4.116353406948408677e-02,1.670824529219328836e-01
2.573752403259277344e-02,1.907377737087045944e-04,3.624017700465387293e-03,5.494505494507251342e-03,3.241758241758248005e-01,4.435977692515250675e-02,1.612288779886244527e-01
2.773785591125488281e-02,1.907377737087045944e-04,4.005493247882796481e-03,5.494505494507251342e-03,3.901098901098905003e-01,4.755527110723083845e-02,1.552753736674271634e-01
2.973818778991699219e-02,1.907377737087045944e-04,4.768444342717614859e-03,-2.747252747252915128e-02,3.571428571428576504e-01,5.074996715747986248e-02,1.492272612289530509e-01
3.173851966857910156e-02,1.907377737087045944e-04,5.149919890135024048e-03,-2.747252747252915128e-02,2.252747252747262507e-01,5.394381561766033173e-02,1.430898619438139840e-01
3.373885154724121094e-02,-1.907377737087045944e-04,5.531395437552433236e-03,-2.747252747252915128e-02,1.703296703296715009e-01,5.713676702953303377e-02,1.368684970826219705e-01
3.573918342590332031e-02,1.907377737087045944e-04,5.912870984969842425e-03,3.846153846154010125e-02,1.703296703296715009e-01,6.032877193485872147e-02,1.305684879159889622e-01
3.773951530456542969e-02,1.907377737087045944e-04,5.912870984969842425e-03,3.846153846154010125e-02,5.494505494507251342e-03,6.351978087539815465e-02,1.241951557145269530e-01
3.973984718322753906e-02,-1.907377737087045944e-04,5.912870984969842425e-03,-6.043956043956200119e-02,7.142857142857295116e-02,6.671012453883046200e-02,1.177530501678196867e-01
4.174041748046875000e-02,1.907377737087045944e-04,6.294346532387251614e-03,7.142857142857295116e-02,1.703296703296715009e-01,6.989899304163356419e-02,1.112490285548357050e-01
4.374074935913085938e-02,-1.907377737087045944e-04,6.675822079804660802e-03,-6.043956043956200119e-02,1.043956043956058011e-01,7.308671719903782338e-02,1.046876483530982116e-01
4.574108123779296875e-02,-1.907377737087045944e-04,6.675822079804660802e-03,-2.747252747252915128e-02,1.703296703296715009e-01,7.627362728068147468e-02,9.807343969314696874e-02
4.774165153503417969e-02,1.907377737087045944e-04,7.057297627222069991e-03,1.043956043956058011e-01,1.923076923076934008e-01,7.945891422143878946e-02,9.141330087483309774e-02
4.974198341369628906e-02,1.907377737087045944e-04,7.820248722056888369e-03,-2.747252747252915128e-02,2.252747252747262507e-01,8.264290843618467275e-02,8.471176791384130156e-02
5.174231529235839844e-02,1.907377737087045944e-04,8.201724269474297557e-03,7.142857142857295116e-02,3.571428571428576504e-01,8.582556046667988436e-02,7.797416208078347677e-02
5.374264717102050781e-02,-1.907377737087045944e-04,8.583199816891706746e-03,-1.263736263736277010e-01,2.252747252747262507e-01,8.900682085468522575e-02,7.120580464627160322e-02
5.574297904968261719e-02,1.907377737087045944e-04,9.346150911726525123e-03,1.043956043956058011e-01,3.571428571428576504e-01,9.218664014196140122e-02,6.441201688091766075e-02
5.774331092834472656e-02,1.907377737087045944e-04,9.727626459143934312e-03,7.142857142857295116e-02,1.703296703296715009e-01,9.536496887026922609e-02,5.759812005533357371e-02
5.974364280700683594e-02,-1.907377737087045944e-04,1.010910200656134350e-02,-1.263736263736277010e-01,1.043956043956058011e-01,9.854175758136946017e-02,5.076943544013134968e-02
6.174397468566894531e-02,1.907377737087045944e-04,1.010910200656134350e-02,7.142857142857295116e-02,7.142857142857295116e-02,1.017169568170228633e-01,4.393128430592291300e-02
6.374430656433105469e-02,1.907377737087045944e-04,1.049057755397875269e-02,5.494505494507251342e-03,1.373626373626386510e-01,1.048905171189902230e-01,3.708898792332024352e-02
6.574463844299316406e-02,1.907377737087045944e-04,1.049057755397875269e-02,-2.747252747252915128e-02,1.373626373626386510e-01,1.080623890290322853e-01,3.024786756293529333e-02
6.774497032165527344e-02,1.907377737087045944e-04,1.087205310139616188e-02,5.494505494507251342e-03,1.373626373626386510e-01,1.112325230889098376e-01,2.341324449538004226e-02
6.974530220031738281e-02,-1.907377737087045944e-04,1.087205310139616188e-02,-2.747252747252915128e-02,1.373626373626386510e-01,1.144008698403836261e-01,1.659043999126638691e-02
7.174563407897949219e-02,1.907377737087045944e-04,1.163500419623098026e-02,7.142857142857295116e-02,2.252747252747262507e-01,1.175677571285521222e-01,9.783965390377152849e-03
