time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,-9.340659340659485110e-02,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,-9.340659340659485110e-02,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
3.471851348876953125e-03,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,-6.043956043956200119e-02,1.907377737087045944e-04,1.907377737087045944e-04,3.846153846154010125e-02,-6.043956043956200119e-02,-7.354565258720901881e-03,-5.993087315773266699e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
6.832122802734375000e-03,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-9.340659340659485110e-02,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-9.340659340659485110e-02,8.442066623758338190e-03,-5.994086214677254443e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-3.838827838827842953e-01
9.925603866577148438e-03,1.907377737087045944e-04,-9.536888685435229718e-04,5.494505494507251342e-03,-2.802197802197810006e-01,1.907377737087045944e-04,-9.536888685435229718e-04,5.494505494507251342e-03,-2.802197802197810006e-01,2.350359636854828030e-02,-5.993096834729482181e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-4.717948717948718951e-01
1.293277740478515625e-02,-1.907377737087045944e-04,-2.479591058213159727e-03,-9.340659340659485110e-02,-4.450549450549452501e-01,-1.907377737087045944e-04,-2.479591058213159727e-03,-9.340659340659485110e-02,-4.450549450549452501e-01,3.716772557638041430e-02,-5.990499052933654367e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.051282051282043994e-02,-4.952380952380952550e-01
1.589155197143554688e-02,1.907377737087045944e-04,-4.768444342717614859e-03,7.142857142857295116e-02,-9.175824175824160989e-01,1.907377737087045944e-04,-4.768444342717614859e-03,7.142857142857295116e-02,-9.175824175824160989e-01,5.026205226186552383e-02,-5.986435998887456034e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.223443223443211991e-02,-4.542124542124543751e-01
1.833152770996093750e-02,1.907377737087045944e-04,-6.675822079804660802e-03,5.494505494507251342e-03,-6.648351648351642496e-01,1.907377737087045944e-04,-6.675822079804660802e-03,5.494505494507251342e-03,-6.648351648351642496e-01,6.296111240609500448e-02,-5.980970185546383711e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.981684981684963986e-02,-5.597069597069594948e-01
2.033162117004394531e-02,5.722133211261137831e-04,-7.438773174639479180e-03,7.142857142857295116e-02,-5.989010989010985497e-01,5.722133211261137831e-04,-7.438773174639479180e-03,7.142857142857295116e-02,-5.989010989010985497e-01,7.329365939949411546e-02,-5.975375066711431371e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.567765567765547985e-02,-6.183150183150178947e-01
2.233171463012695312e-02,5.722133211261137831e-04,-8.964675364309115935e-03,1.043956043956058011e-01,-6.318681318681313996e-01,5.722133211261137831e-04,-8.964675364309115935e-03,1.043956043956058011e-01,-6.318681318681313996e-01,8.166790993365069529e-02,-5.970060067015353633e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.739926739926715982e-02,-6.124542124542120547e-01
2.433180809020996094e-02,5.722133211261137831e-04,-1.010910200656134350e-02,3.846153846154010125e-02,-6.648351648351642496e-01,5.722133211261137831e-04,-1.010910200656134350e-02,3.846153846154010125e-02,-6.648351648351642496e-01,8.995510344495116772e-02,-5.964092357540875522e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.326007326007299980e-02,-5.362637362637361349e-01
2.633213996887207031e-02,9.536888685435229718e-04,-1.277943083848320782e-02,7.142857142857295116e-02,-1.181318681318682451e+00,9.536888685435229718e-04,-1.277943083848320782e-02,7.142857142857295116e-02,-1.181318681318682451e+00,9.815431658613223143e-02,-5.957475372672763614e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.912087912087883979e-02,-4.776556776556777351e-01
2.833223342895507812e-02,9.536888685435229718e-04,-1.468680857557025377e-02,3.846153846154010125e-02,-9.835164835164817987e-01,9.536888685435229718e-04,-1.468680857557025377e-02,3.846153846154010125e-02,-9.835164835164817987e-01,1.062655874528235234e-01,-5.950211642678504553e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.084249084249051975e-02,-5.069597069597069350e-01
3.033232688903808594e-02,1.335164415960932160e-03,-1.697566186007470890e-02,2.582417582417591007e-01,-1.236263736263737201e+00,1.335164415960932160e-03,-1.697566186007470890e-02,2.582417582417591007e-01,-1.236263736263737201e+00,1.142860590492159323e-01,-5.942306333804889817e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.670329670329635974e-02,-5.421245421245419749e-01
3.233242034912109375e-02,1.716639963378341349e-03,-1.888303959716175484e-02,1.703296703296715009e-01,-8.626373626373613490e-01,1.716639963378341349e-03,-1.888303959716175484e-02,1.703296703296715009e-01,-8.626373626373613490e-01,1.222157801236325864e-01,-5.933762053101333533e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.025641025641021997e-01,-5.362637362637361349e-01
3.433251380920410156e-02,2.098115510795750538e-03,-2.117189288166620997e-02,1.373626373626386510e-01,-1.236263736263737201e+00,2.098115510795750538e-03,-2.117189288166620997e-02,1.373626373626386510e-01,-1.236263736263737201e+00,1.300538273288101843e-01,-5.924582234952603388e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.084249084249080397e-01,-4.600732600732602151e-01
3.633260726928710938e-02,2.098115510795750538e-03,-2.422369726100548348e-02,1.703296703296715009e-01,-1.401098901098901450e+00,2.098115510795750538e-03,-2.422369726100548348e-02,1.703296703296715009e-01,-1.401098901098901450e+00,1.377992773174854524e-01,-5.914770313743467067e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.260073260073255597e-01,-4.366300366300368552e-01
3.833270072937011719e-02,2.479591058213159727e-03,-2.689402609292734780e-02,1.373626373626386510e-01,-1.302197802197802901e+00,2.479591058213159727e-03,-2.689402609292734780e-02,1.373626373626386510e-01,-1.302197802197802901e+00,1.454512067423950616e-01,-5.904329723858690038e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.318681318681313996e-01,-4.717948717948718951e-01
4.033279418945312500e-02,2.861066605630568915e-03,-2.994583047226662131e-02,2.912087912087919506e-01,-1.565934065934065700e+00,2.861066605630568915e-03,-2.994583047226662131e-02,2.912087912087919506e-01,-1.565934065934065700e+00,1.530086922562756968e-01,-5.893263899683041096e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.201465201465197197e-01,-4.952380952380952550e-01
4.233288764953613281e-02,3.624017700465387293e-03,-3.299763485160589482e-02,1.923076923076934008e-01,-1.500000000000000000e+00,3.624017700465387293e-03,-3.299763485160589482e-02,1.923076923076934008e-01,-1.500000000000000000e+00,1.604708105118640982e-01,-5.881576275601285708e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.260073260073255597e-01,-5.128205128205127750e-01
4.433298110961914062e-02,4.386968795300205670e-03,-3.604943923094516833e-02,4.230769230769233502e-01,-1.565934065934065700e+00,4.386968795300205670e-03,-3.604943923094516833e-02,4.230769230769233502e-01,-1.565934065934065700e+00,1.678366381618969227e-01,-5.869270285998192671e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.318681318681313996e-01,-5.069597069597069350e-01
4.633307456970214844e-02,5.149919890135024048e-03,-3.948271915770185103e-02,4.230769230769233502e-01,-1.752747252747251849e+00,5.149919890135024048e-03,-3.948271915770185103e-02,4.230769230769233502e-01,-1.752747252747251849e+00,1.751052518591108831e-01,-5.856349365258526340e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.377289377289372396e-01,-5.186813186813186149e-01
4.833316802978515625e-02,5.912870984969842425e-03,-4.329747463187594292e-02,4.230769230769233502e-01,-1.818681318681317549e+00,5.912870984969842425e-03,-4.329747463187594292e-02,4.230769230769233502e-01,-1.818681318681317549e+00,1.822757282562426639e-01,-5.842816947767056623e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.494505494505489196e-01,-5.069597069597069350e-01
5.033326148986816406e-02,7.057297627222069991e-03,-4.711223010605003481e-02,4.890109890109890500e-01,-1.884615384615383249e+00,7.057297627222069991e-03,-4.711223010605003481e-02,4.890109890109890500e-01,-1.884615384615383249e+00,1.893471440060289779e-01,-5.828676467908547876e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.611721611721605996e-01,-4.776556776556777351e-01
5.233335494995117188e-02,7.820248722056888369e-03,-5.092698558022412669e-02,4.560439560439562001e-01,-1.906593406593405149e+00,7.820248722056888369e-03,-5.092698558022412669e-02,4.560439560439562001e-01,-1.906593406593405149e+00,1.963185757612065097e-01,-5.813931360067768894e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.611721611721605996e-01,-4.483516483516485351e-01
5.433368682861328125e-02,8.964675364309115935e-03,-5.512321660181562777e-02,5.219780219780218999e-01,-2.071428571428572951e+00,8.964675364309115935e-03,-5.512321660181562777e-02,5.219780219780218999e-01,-2.071428571428572951e+00,2.031891001745119718e-01,-5.798585058629486255e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.611721611721605996e-01,-4.249084249084251752e-01
5.633378028869628906e-02,1.010910200656134350e-02,-5.893797207598971966e-02,6.428571428571423496e-01,-2.005494505494507251e+00,1.010910200656134350e-02,-5.893797207598971966e-02,6.428571428571423496e-01,-2.005494505494507251e+00,2.099585946454305130e-01,-5.782639061891818866e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.670329670329664395e-01,-4.600732600732602151e-01
5.833387374877929688e-02,1.125352864881357107e-02,-6.351567864499862992e-02,5.769230769230766498e-01,-2.236263736263737201e+00,1.125352864881357107e-02,-6.351567864499862992e-02,5.769230769230766498e-01,-2.236263736263737201e+00,2.166245220294988338e-01,-5.766100605771820042e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.787545787545781195e-01,-4.835164835164835750e-01
6.033396720886230469e-02,1.239795529106579863e-02,-6.809338521400754018e-02,5.769230769230766498e-01,-2.291208791208791951e+00,1.239795529106579863e-02,-6.809338521400754018e-02,5.769230769230766498e-01,-2.291208791208791951e+00,2.231867719198386557e-01,-5.748971259618008700e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.904761904761897995e-01,-5.010989010989010950e-01
6.233406066894531250e-02,1.392385748073543539e-02,-7.267109178301645045e-02,6.758241758241751995e-01,-2.291208791208791951e+00,1.392385748073543539e-02,-7.267109178301645045e-02,6.758241758241751995e-01,-2.291208791208791951e+00,2.296444209691868577e-01,-5.731254457815153636e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.904761904761897995e-01,-4.600732600732602151e-01
