time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0, -0.887374, 0, 0, 0, 0, 0.297182, -0.112971, -0.0114329, -0.0299799, 0, 0.00036839
0.005, 0.000354414, -0.000730187, 0.141686, -0.291915, 0, -0.812645, 0, 0, 0, 0, 0.310463, -0.106626, -0.017004, -0.032318, 0, 0.000341893
0.01, 0.00138591, -0.00285545, 0.270778, -0.557923, 0, -0.743575, 0, 0, 0, 0, 0.322632, -0.100488, -0.0227882, -0.0347491, 0, 0.000315093
0.015, 0.00303298, -0.00624934, 0.387869, -0.799264, 0, -0.679884, 0, 0, 0, 0, 0.333594, -0.0946253, -0.0287594, -0.0372626, 0, 0.000288076
0.02, 0.00523705, -0.0107915, 0.493529, -1.01713, 0, -0.621293, 0, 0, 0, 0, 0.343261, -0.089092, -0.0348891, -0.0398468, 0, 0.000260927
0.025, 0.00794233, -0.0163673, 0.588307, -1.21266, 0, -0.567533, 0, 0, 0, 0, 0.351551, -0.083932, -0.0411464, -0.042489, 0, 0.00023373
0.03, 0.0110957, -0.0228679, 0.672726, -1.38694, 0, -0.518341, 0, 0, 0, 0, 0.358391, -0.0791787, -0.0474983, -0.0451756, 0, 0.000206569
0.035, 0.0146466, -0.0301896, 0.747294, -1.54105, 0, -0.473462, 0, 0, 0, 0, 0.363721, -0.0748573, -0.0539103, -0.0478921, 0, 0.000179532
0.04, 0.0185471, -0.0382341, 0.812498, -1.67598, 0, -0.432652, 0, 0, 0, 0, 0.367489, -0.0709858, -0.0603461, -0.0506235, 0, 0.000152708
0.045, 0.0227514, -0.0469079, 0.868815, -1.79272, 0, -0.395672, 0, 0, 0, 0, 0.369659, -0.0675759, -0.0667686, -0.0533542, 0, 0.000126186
0.05, 0.0272162, -0.0561225, 0.916708, -1.89225, 0, -0.362292, 0, 0, 0, 0, 0.370206, -0.0646342, -0.0731403, -0.0560686, 0, 0.000100056
0.055, 0.0319007, -0.0657942, 0.956632, -1.97551, 0, -0.332289, 0, 0, 0, 0, 0.369123, -0.0621628, -0.0794237, -0.058751, 0, 7.44061e-05
0.06, 0.0367661, -0.0758438, 0.989035, -2.04341, 0, -0.305448, 0, 0, 0, 0, 0.366416, -0.0601598, -0.0855818, -0.061386, 0, 4.93218e-05
0.065, 0.0417757, -0.0861969, 1.01435, -2.09688, 0, -0.28156, 0, 0, 0, 0, 0.362104, -0.0586202, -0.091579, -0.0639587, 0, 2.48857e-05
0.07, 0.0468954, -0.0967835, 1.03303, -2.1368, 0, -0.260422, 0, 0, 0, 0, 0.356224, -0.0575358, -0.0973813, -0.0664547, 0, 1.17607e-06
0.075, 0.0520928, -0.107538, 1.04547, -2.16405, 0, -0.241839, 0, 0, 0, 0, 0.348825, -0.0568962, -0.102957, -0.0688609, 0, -2.17344e-05
0.08, 0.057338, -0.118399, 1.05211, -2.17949, 0, -0.225625, 0, 0, 0, 0, 0.339968, -0.0566886, -0.108276, -0.0711649, 0, -4.37787e-05
0.085, 0.0626028, -0.12931, 1.05336, -2.18397, 0, -0.211597, 0, 0, 0, 0, 0.329728, -0.0568983, -0.113312, -0.0733558, 0, -6.48963e-05
0.09, 0.0678614, -0.140218, 1.0496, -2.1783, 0, -0.199584, 0, 0, 0, 0, 0.318187, -0.0575088, -0.118042, -0.0754236, 0, -8.50332e-05
0.095, 0.0730896, -0.151074, 1.04123, -2.16328, 0, -0.18942, 0, 0, 0, 0, 0.305439, -0.0585023, -0.122445, -0.0773601, 0, -0.000104142
0.1, 0.0782653, -0.161834, 1.02862, -2.13967, 0, -0.180948, 0, 0, 0, 0, 0.291583, -0.0598594, -0.126504, -0.0791581, 0, -0.000122182
0.105, 0.0833683, -0.172456, 1.01214, -2.10821, 0, -0.174018, 0, 0, 0, 0, 0.276724, -0.0615596, -0.130206, -0.080812, 0, -0.000139118
0.11, 0.0883799, -0.182902, 0.992115, -2.06962, 0, -0.168491, 0, 0, 0, 0, 0.26097, -0.0635815, -0.133541, -0.0823173, 0, -0.000154923
0.115, 0.0932833, -0.19314, 0.968887, -2.02455, 0, -0.164233, 0, 0, 0, 0, 0.244433, -0.0659026, -0.1365, -0.0836709, 0, -0.000169572
0.12, 0.0980634, -0.203137, 0.942764, -1.97365, 0, -0.16112, 0, 0, 0, 0, 0.227225, -0.0684998, -0.13908, -0.0848709, 0, -0.000183047
0.125, 0.102706, -0.212867, 0.914042, -1.91752, 0, -0.159037, 0, 0, 0, 0, 0.209458, -0.0713494, -0.141278, -0.0859163, 0, -0.000195334
0.13, 0.1072, -0.222304, 0.882997, -1.85673, 0, -0.157875, 0, 0, 0, 0, 0.191242, -0.0744271, -0.143096, -0.0868071, 0, -0.000206424
0.135, 0.111533, -0.231427, 0.849889, -1.79179, 0, -0.157534, 0, 0, 0, 0, 0.172686, -0.0777085, -0.144537, -0.0875442, 0, -0.000216308
0.14, 0.115695, -0.240216, 0.814961, -1.72322, 0, -0.15792, 0, 0, 0, 0, 0.153894, -0.0811689, -0.145604, -0.0881293, 0, -0.000224983
0.145, 0.11968, -0.248654, 0.778438, -1.65145, 0, -0.158947, 0, 0, 0, 0, 0.134967, -0.0847836, -0.146305, -0.0885644, 0, -0.000232447
0.15, 0.123478, -0.256726, 0.74053, -1.57693, 0, -0.160537, 0, 0, 0, 0, 0.116004, -0.0885278, -0.146647, -0.0888523, 0, -0.000238698
0.155, 0.127083, -0.26442, 0.701432, -1.50003, 0, -0.162614, 0, 0, 0, 0, 0.0970965, -0.0923771, -0.146639, -0.0889961, 0, -0.000243737
0.16, 0.130491, -0.271724, 0.661321, -1.42113, 0, -0.165114, 0, 0, 0, 0, 0.0783332, -0.0963071, -0.146291, -0.0889992, 0, -0.000247567
0.165, 0.133695, -0.278629, 0.620363, -1.34055, 0, -0.167973, 0, 0, 0, 0, 0.0597976, -0.100294, -0.145614, -0.0888652, 0, -0.000250189
0.17, 0.136693, -0.285127, 0.57871, -1.2586, 0, -0.171134, 0, 0, 0, 0, 0.0415685, -0.104313, -0.144618, -0.088598, 0, -0.000251606
0.175, 0.139482, -0.291214, 0.5365, -1.17556, 0, -0.174547, 0, 0, 0, 0, 0.0237202, -0.108343, -0.143316, -0.0882013, 0, -0.000251819
0.18, 0.142058, -0.296882, 0.493863, -1.09168, 0, -0.178162, 0, 0, 0, 0, 0.00632253, -0.112359, -0.14172, -0.0876793, 0, -0.000250832
0.185, 0.14442, -0.30213, 0.450914, -1.0072, 0, -0.181937, 0, 0, 0, 0, -0.0105591, -0.11634, -0.13984, -0.0870357, 0, -0.000248647
0.19, 0.146567, -0.306955, 0.407762, -0.922325, 0, -0.18583, 0, 0, 0, 0, -0.0268631, -0.120263, -0.137689, -0.0862747, 0, -0.000245265
0.195, 0.148498, -0.311354, 0.364505, -0.837258, 0, -0.189805, 0, 0, 0, 0, -0.0425319, -0.124107, -0.135278, -0.0854, 0, -0.000240688
0.2, 0.150213, -0.315328, 0.321233, -0.752174, 0, -0.193827, 0, 0, 0, 0, -0.0575114, -0.127851, -0.132621, -0.0844157, 0, -0.000234916
0.205, 0.151711, -0.318877, 0.27803, -0.667235, 0, -0.197866, 0, 0, 0, 0, -0.0717508, -0.131474, -0.129728, -0.0833254, 0, -0.000227951
0.21, 0.152994, -0.322002, 0.23497, -0.58259, 0, -0.201892, 0, 0, 0, 0, -0.0852026, -0.134956, -0.126612, -0.0821329, 0, -0.000219793
0.215, 0.154062, -0.324705, 0.192125, -0.498375, 0, -0.205878, 0, 0, 0, 0, -0.0978219, -0.138276, -0.123283, -0.0808421, 0, -0.000210442
0.22, 0.154916, -0.326988, 0.149557, -0.414714, 0, -0.209799, 0, 0, 0, 0, -0.109567, -0.141415, -0.119753, -0.0794565, 0, -0.000199898
0.225, 0.155558, -0.328854, 0.107328, -0.331723, 0, -0.213632, 0, 0, 0, 0, -0.120397, -0.144354, -0.116034, -0.0779798, 0, -0.000188161
0.23, 0.15599, -0.330307, 0.0654912, -0.249505, 0, -0.217355, 0, 0, 0, 0, -0.130276, -0.147074, -0.112137, -0.0764157, 0, -0.000175231
0.235, 0.156214, -0.331351, 0.0240979, -0.168159, 0, -0.220948, 0, 0, 0, 0, -0.139169, -0.149555, -0.108072, -0.0747679, 0, -0.00016111
