time, pos1, pos2, vel1, vel2, tau1, tau2, K11, K12, K13, K14, K21, K22, K23, K24, k1, k2
0, 0, 0, 0, 0, 0, 0.327061, 0, 0, 0, 0, -0.00756119, -0.00264974, 0.00684022, -0.00246175, 0, -3.17422e-07
0.005, -0.000126471, 0.000445879, -0.0505314, 0.178213, 0, 0.288128, 0, 0, 0, 0, -0.00536145, -0.00397135, 0.00689645, -0.00247172, 0, -3.33518e-07
0.01, -0.000489594, 0.00172734, -0.0946486, 0.334186, 0, 0.253463, 0, 0, 0, 0, -0.00314236, -0.00529452, 0.00692193, -0.00247105, 0, -3.48761e-07
0.015, -0.00105877, 0.00373834, -0.132944, 0.469982, 0, 0.222643, 0, 0, 0, 0, -0.00091819, -0.00660653, 0.00691561, -0.00245976, 0, -3.63138e-07
0.02, -0.00180624, 0.00638261, -0.165954, 0.587465, 0, 0.195286, 0, 0, 0, 0, 0.00129631, -0.00789375, 0.00687659, -0.00243798, 0, -3.76632e-07
0.025, -0.00270678, 0.00957283, -0.194165, 0.688328, 0, 0.171044, 0, 0, 0, 0, 0.00348601, -0.00914198, 0.00680418, -0.00240601, 0, -3.89228e-07
0.03, -0.0037375, 0.0132297, -0.218018, 0.774101, 0, 0.149603, 0, 0, 0, 0, 0.00563552, -0.0103367, 0.00669785, -0.00236424, 0, -4.00906e-07
0.035, -0.0048776, 0.0172812, -0.237912, 0.846172, 0, 0.130677, 0, 0, 0, 0, 0.00772932, -0.0114634, 0.00655735, -0.00231323, 0, -4.11647e-07
0.04, -0.00610818, 0.0216621, -0.254209, 0.9058, 0, 0.114007, 0, 0, 0, 0, 0.0097519, -0.0125079, 0.00638262, -0.00225367, 0, -4.21432e-07
0.045, -0.00741209, 0.0263128, -0.267239, 0.954126, 0, 0.0993581, 0, 0, 0, 0, 0.0116879, -0.0134565, 0.00617388, -0.00218635, 0, -4.30244e-07
0.05, -0.00877373, 0.0311796, -0.2773, 0.992185, 0, 0.086518, 0, 0, 0, 0, 0.0135223, -0.0142962, 0.00593161, -0.00211221, 0, -4.38065e-07
