# time, pos1, pos2, vel1, vel2, tau1, tau2, meas_pos1, meas_pos2, meas_vel1, meas_vel2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.644394222492893576e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.851939926522678754e-04,-7.936010965256138977e-04,1.539906445613634933e-01,-3.172667963623315712e-01,0.000000000000000000e+00,-7.501869230491982066e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.639094658731514165e-01,2.699482943038945537e-01
1.000000000000000021e-02,1.453135596359218448e-03,-2.993970751780643258e-03,2.730523853789832422e-01,-5.626137767545720259e-01,0.000000000000000000e+00,-7.368914807001984979e-01,3.851939926522678754e-04,-7.936010965256138977e-04,-4.056831064537144704e-02,-4.082684358325528451e-01
1.499999999999999944e-02,3.108811984189314634e-03,-6.405605219112119053e-03,3.890336915977672949e-01,-8.016707164968969179e-01,0.000000000000000000e+00,-6.692564626738615186e-01,1.453135596359218448e-03,-2.993970751780643258e-03,2.744709171456473085e-01,-5.777546992605544496e-01
2.000000000000000042e-02,5.314357132572732761e-03,-1.095081442824268753e-02,4.929541696247532467e-01,-1.015951895646432401e+00,0.000000000000000000e+00,-6.874505549410849792e-01,3.108811984189314634e-03,-6.405605219112119053e-03,4.146654322981359608e-01,-8.378595791802739834e-01
2.500000000000000139e-02,8.043075106613442257e-03,-1.657499628022715554e-02,5.982525585143571023e-01,-1.233158856974038597e+00,0.000000000000000000e+00,-4.943215548849901886e-01,5.314357132572732761e-03,-1.095081442824268753e-02,8.842483117875004073e-01,-9.699655089854507528e-01
3.000000000000000236e-02,1.121673107956919387e-02,-2.311744037512767497e-02,6.708997089889102705e-01,-1.383197109645181166e+00,0.000000000000000000e+00,-6.423027388355763145e-01,8.043075106613442257e-03,-1.657499628022715554e-02,8.068027007435553122e-01,-1.494055351413906330e+00
3.500000000000000333e-02,1.480783660601373702e-02,-3.052203903715385719e-02,7.651788987950779442e-01,-1.577913186282528635e+00,0.000000000000000000e+00,-5.069417074716663363e-01,1.121673107956919387e-02,-2.311744037512767497e-02,7.164700028645392127e-01,-1.065374307753255367e+00
4.000000000000000083e-02,1.881066403520050695e-02,-3.877758390802680394e-02,8.355574977946735871e-01,-1.723513273841430049e+00,0.000000000000000000e+00,-2.961773166980421479e-01,1.480783660601373702e-02,-3.052203903715385719e-02,8.240617747258093262e-01,-1.481731002971222066e+00
4.499999999999999833e-02,2.307531221285664264e-02,-4.757588464757429858e-02,8.699012079821912824e-01,-1.795003542569099997e+00,0.000000000000000000e+00,-4.786130759680942703e-01,1.881066403520050695e-02,-3.877758390802680394e-02,7.541682561588615163e-01,-2.013312073083584508e+00
