time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0, -1.17917, 0, 0, 0, 0, 0.0116908, 0.0157271, -0.000182223, -0.00999291, 0, 0.0002226
0.001, 1.82763e-05, -6.43897e-05, 0.0365522, -0.128778, 0, -1.15169, 0, 0, 0, 0, 0.0116269, 0.0161637, -0.000228269, -0.00998946, 0, 0.000222643
0.002, 7.26774e-05, -0.000256052, 0.0722493, -0.254544, 0, -1.12489, 0, 0, 0, 0, 0.0115587, 0.0166006, -0.000274355, -0.00998683, 0, 0.000222615
0.003, 0.000162357, -0.000572008, 0.107109, -0.377361, 0, -1.09876, 0, 0, 0, 0, 0.0114863, 0.0170372, -0.000320469, -0.00998502, 0, 0.000222519
0.004, 0.000286487, -0.00100934, 0.141149, -0.497291, 0, -1.07329, 0, 0, 0, 0, 0.0114097, 0.017473, -0.000366598, -0.00998404, 0, 0.000222355
0.005, 0.000444255, -0.00156518, 0.174385, -0.614395, 0, -1.04845, 0, 0, 0, 0, 0.0113289, 0.0179076, -0.000412731, -0.0099839, 0, 0.000222125
0.006, 0.000634868, -0.00223675, 0.206836, -0.728732, 0, -1.02425, 0, 0, 0, 0, 0.0112441, 0.0183405, -0.000458855, -0.00998459, 0, 0.00022183
0.007, 0.000857546, -0.0030213, 0.238517, -0.84036, 0, -1.00065, 0, 0, 0, 0, 0.0111552, 0.0187712, -0.00050496, -0.00998611, 0, 0.000221472
0.008, 0.00111153, -0.00391616, 0.269444, -0.949336, 0, -0.977661, 0, 0, 0, 0, 0.0110623, 0.0191995, -0.000551033, -0.00998847, 0, 0.000221053
0.009, 0.00139607, -0.00491869, 0.299632, -1.05572, 0, -0.955257, 0, 0, 0, 0, 0.0109654, 0.0196248, -0.000597063, -0.00999168, 0, 0.000220572
0.01, 0.00171044, -0.00602633, 0.329098, -1.15955, 0, -0.933428, 0, 0, 0, 0, 0.0108647, 0.020047, -0.000643039, -0.00999572, 0, 0.000220032
0.011, 0.00205392, -0.00723657, 0.357855, -1.2609, 0, -0.912163, 0, 0, 0, 0, 0.01076, 0.0204657, -0.000688948, -0.0100006, 0, 0.000219434
0.012, 0.00242581, -0.00854694, 0.385918, -1.35981, 0, -0.89145, 0, 0, 0, 0, 0.0106516, 0.0208805, -0.00073478, -0.0100063, 0, 0.000218779
0.013, 0.00282542, -0.00995502, 0.413302, -1.45634, 0, -0.871276, 0, 0, 0, 0, 0.0105394, 0.0212912, -0.000780522, -0.0100129, 0, 0.000218068
0.014, 0.00325208, -0.0114585, 0.44002, -1.55052, 0, -0.851631, 0, 0, 0, 0, 0.0104234, 0.0216976, -0.000826165, -0.0100203, 0, 0.000217302
0.015, 0.00370514, -0.0130549, 0.466086, -1.64242, 0, -0.832503, 0, 0, 0, 0, 0.0103038, 0.0220994, -0.000871696, -0.0100285, 0, 0.000216483
0.016, 0.00418394, -0.0147422, 0.491512, -1.73207, 0, -0.813881, 0, 0, 0, 0, 0.0101806, 0.0224963, -0.000917104, -0.0100376, 0, 0.000215612
0.017, 0.00468786, -0.016518, 0.516312, -1.81953, 0, -0.795755, 0, 0, 0, 0, 0.0100538, 0.0228882, -0.000962379, -0.0100475, 0, 0.000214688
0.018, 0.00521627, -0.0183802, 0.540498, -1.90484, 0, -0.778114, 0, 0, 0, 0, 0.00992356, 0.0232748, -0.00100751, -0.0100583, 0, 0.000213715
0.019, 0.00576856, -0.0203267, 0.564083, -1.98804, 0, -0.760947, 0, 0, 0, 0, 0.00978982, 0.023656, -0.00105248, -0.0100699, 0, 0.000212692
0.02, 0.00634415, -0.0223553, 0.587078, -2.06918, 0, -0.744244, 0, 0, 0, 0, 0.00965268, 0.0240316, -0.00109729, -0.0100823, 0, 0.000211621
0.021, 0.00694244, -0.0244641, 0.609494, -2.14829, 0, -0.727996, 0, 0, 0, 0, 0.0095122, 0.0244014, -0.00114192, -0.0100955, 0, 0.000210502
0.022, 0.00756286, -0.0266509, 0.631345, -2.22542, 0, -0.712193, 0, 0, 0, 0, 0.00936843, 0.0247653, -0.00118636, -0.0101096, 0, 0.000209337
0.023, 0.00820486, -0.028914, 0.652639, -2.30061, 0, -0.696825, 0, 0, 0, 0, 0.00922143, 0.025123, -0.0012306, -0.0101245, 0, 0.000208127
0.024, 0.00886788, -0.0312512, 0.673389, -2.3739, 0, -0.681883, 0, 0, 0, 0, 0.00907126, 0.0254746, -0.00127463, -0.0101402, 0, 0.000206872
0.025, 0.00955139, -0.0336609, 0.693605, -2.44533, 0, -0.667358, 0, 0, 0, 0, 0.00891797, 0.0258198, -0.00131844, -0.0101567, 0, 0.000205573
0.026, 0.0102548, -0.036141, 0.713297, -2.51493, 0, -0.653241, 0, 0, 0, 0, 0.00876163, 0.0261586, -0.00136202, -0.0101741, 0, 0.000204231
0.027, 0.0109777, -0.0386899, 0.732475, -2.58273, 0, -0.639523, 0, 0, 0, 0, 0.00860229, 0.0264908, -0.00140536, -0.0101922, 0, 0.000202848
0.028, 0.0117196, -0.0413057, 0.75115, -2.64879, 0, -0.626195, 0, 0, 0, 0, 0.00844002, 0.0268163, -0.00144844, -0.0102112, 0, 0.000201423
0.029, 0.0124798, -0.0439866, 0.76933, -2.71312, 0, -0.613249, 0, 0, 0, 0, 0.00827487, 0.0271351, -0.00149127, -0.010231, 0, 0.000199958
