time,pos1,pos2,vel1,vel2,tau1,tau2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.184765174741926330e+00
1.000263227165043437e-03,-1.657610467714401966e-06,2.867307763702643849e-06,3.811498489998425832e-02,-6.622648809626102695e-02,0.000000000000000000e+00,5.188842421827976281e+00
2.000526454330086874e-03,-6.608025197970105048e-06,1.142926700264704290e-05,7.501429884380231283e-02,-1.303429977391793448e-01,0.000000000000000000e+00,5.192919668914026232e+00
3.000789681495130527e-03,-1.481761918143585714e-05,2.562593163858789967e-05,1.107105642484812191e-01,-1.923714530267978118e-01,0.000000000000000000e+00,5.196996916000076183e+00
4.001052908660173747e-03,-2.625276740878039767e-05,4.539735559327991160e-05,1.452164035310479773e-01,-2.523337780571593414e-01,0.000000000000000000e+00,5.201074163086126134e+00
5.001316135825216967e-03,-4.087984487067247285e-05,7.068359278847776979e-05,1.785444391085297400e-01,-3.102518969283068473e-01,0.000000000000000000e+00,5.205151410172175197e+00
6.001579362990261055e-03,-5.866522655778085851e-05,1.014246971459362178e-04,2.107072933979534934e-01,-3.661477337382832431e-01,0.000000000000000000e+00,5.209228657258225148e+00
7.001842590155304275e-03,-7.957528746077424241e-05,1.375607225874098875e-04,2.417175888163462516e-01,-4.200432125851313314e-01,0.000000000000000000e+00,5.213305904344275099e+00
8.002105817320347494e-03,-1.035764025703214241e-04,1.790317230346535394e-04,2.715879477807351949e-01,-4.719602575668941924e-01,0.000000000000000000e+00,5.217383151430325050e+00
9.002369044485390714e-03,-1.306349468770911083e-04,2.257777524094218527e-04,3.003309927081472264e-01,-5.219207927816144066e-01,0.000000000000000000e+00,5.221460398516375001e+00
1.000263227165043393e-02,-1.607172953717520675e-04,2.777388646334695067e-04,3.279593460156094986e-01,-5.699467423273352207e-01,0.000000000000000000e+00,5.225537645602424952e+00
1.100289549881547715e-02,-1.937898230449730335e-04,3.348551136285512347e-04,3.544856301201491089e-01,-6.160600303020992152e-01,0.000000000000000000e+00,5.229614892688474903e+00
1.200315872598052211e-02,-2.298189048874228193e-04,3.970665533164218245e-04,3.799224674387930989e-01,-6.602825808039497479e-01,0.000000000000000000e+00,5.233692139774524854e+00
1.300342195314556533e-02,-2.687709158897700484e-04,4.643132376188357385e-04,4.042824803885682883e-01,-7.026363179309290663e-01,0.000000000000000000e+00,5.237769386860574805e+00
1.400368518031060855e-02,-3.106122310426835610e-04,5.365352204575479268e-04,4.275782913865020518e-01,-7.431431657810806390e-01,0.000000000000000000e+00,5.241846633946623868e+00
1.500394840747565177e-02,-3.553092253368320347e-04,6.136725557543129062e-04,4.498225228496212091e-01,-7.818250484524470467e-01,0.000000000000000000e+00,5.245923881032673819e+00
1.600421163464069499e-02,-4.028282737628842555e-04,6.956652974308855184e-04,4.710277971949529685e-01,-8.187038900430714250e-01,0.000000000000000000e+00,5.250001128118723770e+00
1.700447486180573994e-02,-4.531357513115090094e-04,7.824534994090204428e-04,4.912067368395244271e-01,-8.538016146509964654e-01,0.000000000000000000e+00,5.254078375204773721e+00
1.800473808897078143e-02,-5.061980329733749197e-04,8.739772156104721416e-04,5.103719642003622381e-01,-8.871401463742649707e-01,0.000000000000000000e+00,5.258155622290823672e+00
1.900500131613582638e-02,-5.619814937391510437e-04,9.701764999569958362e-04,5.285361016944940538e-01,-9.187414093109200763e-01,0.000000000000000000e+00,5.262232869376873623e+00
2.000526454330086787e-02,-6.204525085995054624e-04,1.070991406370345447e-03,5.457117717389465827e-01,-9.486273275590045850e-01,0.000000000000000000e+00,5.266310116462923574e+00
2.100552777046591282e-02,-6.815774525451077752e-04,1.176361988772276412e-03,5.619115967507468667e-01,-9.768198252165614104e-01,0.000000000000000000e+00,5.270387363548973525e+00
2.200579099763095431e-02,-7.453227005666260632e-04,1.286228301084543085e-03,5.771481991469218364e-01,-1.003340826381633244e+00,0.000000000000000000e+00,5.274464610635023476e+00
2.300605422479599926e-02,-8.116546276547294920e-04,1.400530397228900471e-03,5.914342013444990886e-01,-1.028212255152263443e+00,0.000000000000000000e+00,5.278541857721073427e+00
2.400631745196104422e-02,-8.805396088000865765e-04,1.519208331127102924e-03,6.047822257605052210e-01,-1.051456035626494590e+00,0.000000000000000000e+00,5.282619104807122490e+00
2.500658067912608570e-02,-9.519440189933659402e-04,1.642202156700905014e-03,6.172048948119671641e-01,-1.073094091902369263e+00,0.000000000000000000e+00,5.286696351893172441e+00
2.600684390629113066e-02,-1.025834233225236640e-03,1.769451927872061747e-03,6.287148309159124038e-01,-1.093148348077931375e+00,0.000000000000000000e+00,5.290773598979222392e+00
2.700710713345617214e-02,-1.102176626486367408e-03,1.900897698562327908e-03,6.393246564893676487e-01,-1.111640728251222621e+00,0.000000000000000000e+00,5.294850846065272343e+00
2.800737036062121710e-02,-1.180937573767426758e-03,2.036479522693458288e-03,6.490469939493601625e-01,-1.128593156520286689e+00,0.000000000000000000e+00,5.298928093151322294e+00
2.900763358778625858e-02,-1.262083450059083315e-03,2.176137454187206804e-03,6.578944657129168760e-01,-1.144027556983166161e+00,0.000000000000000000e+00,5.303005340237372245e+00
3.000789681495130354e-02,-1.345580630352006353e-03,2.319811546965329114e-03,6.658796941970649419e-01,-1.157965853737904283e+00,0.000000000000000000e+00,5.307082587323422196e+00
3.100816004211634502e-02,-1.431395489636864060e-03,2.467441854949578919e-03,6.730153018188314018e-01,-1.170429970882543413e+00,0.000000000000000000e+00,5.311159834409472147e+00
3.200842326928138998e-02,-1.519494402904325928e-03,2.618968432061712526e-03,6.793139109952430754e-01,-1.181441832515126578e+00,0.000000000000000000e+00,5.315237081495522098e+00
3.300868649644643493e-02,-1.609843745145059929e-03,2.774331332223482771e-03,6.847881441433276706e-01,-1.191023362733697244e+00,0.000000000000000000e+00,5.319314328581571161e+00
3.400894972361147989e-02,-1.702409891349735121e-03,2.933470609356645959e-03,6.894506236801113408e-01,-1.199196485636297549e+00,0.000000000000000000e+00,5.323391575667621112e+00
3.500921295077651790e-02,-1.797159216509020127e-03,3.096326317382954926e-03,6.933139720226215719e-01,-1.205983125320970517e+00,0.000000000000000000e+00,5.327468822753671063e+00
3.600947617794156286e-02,-1.894058095613583787e-03,3.262838510224166412e-03,6.963908115878855165e-01,-1.211405205885759395e+00,0.000000000000000000e+00,5.331546069839721014e+00
3.700973940510660781e-02,-1.993072903654094941e-03,3.432947241802033686e-03,6.986937647929304385e-01,-1.215484651428706986e+00,0.000000000000000000e+00,5.335623316925770965e+00
3.801000263227165277e-02,-2.094170015621222864e-03,3.606592566038313054e-03,7.002354540547827133e-01,-1.218243386047855870e+00,0.000000000000000000e+00,5.339700564011820916e+00
3.901026585943669078e-02,-2.197315806505634010e-03,3.783714536854755617e-03,7.010285017904699378e-01,-1.219703333841249293e+00,0.000000000000000000e+00,5.343777811097870867e+00
4.001052908660173574e-02,-2.302476651297999822e-03,3.964253208173120283e-03,7.010855304170189317e-01,-1.219886418906930503e+00,0.000000000000000000e+00,5.347855058183920818e+00
4.101079231376678069e-02,-2.409618924988988272e-03,4.148148633915160755e-03,7.004191623514569587e-01,-1.218814565342941414e+00,0.000000000000000000e+00,5.351932305269970769e+00
4.201105554093182565e-02,-2.518709002569268201e-03,4.335340868002629869e-03,6.990420200108108384e-01,-1.216509697247325494e+00,0.000000000000000000e+00,5.356009552356019832e+00
4.301131876809687060e-02,-2.629713259029507148e-03,4.525769964357283931e-03,6.969667258121077236e-01,-1.212993738718125769e+00,0.000000000000000000e+00,5.360086799442069783e+00
4.401158199526190862e-02,-2.742598069360374820e-03,4.719375976900876644e-03,6.942059021723745449e-01,-1.208288613853384819e+00,0.000000000000000000e+00,5.364164046528119734e+00
4.501184522242695357e-02,-2.857329808552540058e-03,4.916098959555163447e-03,6.907721715086387881e-01,-1.202416246751146112e+00,0.000000000000000000e+00,5.368241293614169685e+00
4.601210844959199853e-02,-2.973874851596672135e-03,5.115878966241900645e-03,6.866781562379268289e-01,-1.195398561509451341e+00,0.000000000000000000e+00,5.372318540700219636e+00
4.701237167675704348e-02,-3.092199573483438158e-03,5.318656050882839340e-03,6.819364787772663750e-01,-1.187257482226344862e+00,0.000000000000000000e+00,5.376395787786269587e+00
4.801263490392208844e-02,-3.212270349203508266e-03,5.524370267399736703e-03,6.765597615436841350e-01,-1.178014932999868369e+00,0.000000000000000000e+00,5.380473034872319538e+00
4.901289813108712645e-02,-3.334053553747549567e-03,5.732961669714344705e-03,6.705606269542072617e-01,-1.167692837928065552e+00,0.000000000000000000e+00,5.384550281958369489e+00
5.001316135825217141e-02,-3.457515562106233068e-03,5.944370311748423119e-03,6.639516974258624638e-01,-1.156313121108978992e+00,0.000000000000000000e+00,5.388627529044419440e+00
