time,shoulder_pos,shoulder_vel,shoulder_acc,shoulder_jerk,shoulder_torque,elbow_pos,elbow_vel,elbow_acc,elbow_jerk,elbow_torque
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.048557172829809758e+00,1.776787062052919097e+01,6.054006790975223302e-17,0.000000000000000000e+00,0.000000000000000000e+00,-1.438270950110536006e+01,-6.975371361734832476e+01,-3.130192038648440533e-01
1.000150858272665609e-03,2.425972434058200374e-06,4.058015603192331039e-03,4.066210909736755141e+00,1.753427757226336681e+01,-2.946717070338877474e-04,-8.432248193774070523e-06,-1.441964659880268229e-02,-1.445211369133915369e+01,-6.903372961628365090e+01,-3.146368729458077218e-01
2.000301716545331218e-03,9.699910829486416589e-06,8.133570774737627906e-03,4.083631018355990960e+00,1.730068452399754619e+01,-5.893434140678361017e-04,-3.372672632950219425e-05,-2.890834775741114165e-02,-1.452079778895633844e+01,-6.831374561521897704e+01,-3.162545420267713903e-01
3.000452574817996827e-03,2.181584682616506535e-05,1.222643185110341979e-02,4.100817498687516327e+00,1.706709147573172203e+01,-8.840151211017843475e-04,-7.588003473879323434e-05,-4.346538327457685064e-02,-1.458876179395691608e+01,-6.759376161415431739e+01,-3.178722111077351142e-01
4.000603433090662436e-03,3.876781206397458032e-05,1.633636516875724282e-02,4.117770350731333018e+00,1.683349842746590141e+01,-1.178686828135732702e-03,-1.348887737532560743e-04,-5.809003294905126097e-02,-1.465600570634088839e+01,-6.687377761308964352e+01,-3.194898801886987827e-01
5.000754291363328045e-03,6.054983818279537311e-05,2.046313706416661576e-02,4.134489574487440144e+00,1.659990537920008080e+01,-1.473358535169680839e-03,-2.107495437044995383e-04,-7.278157657958585214e-02,-1.472252952610825183e+01,-6.615379361202496966e+01,-3.211075492696624512e-01
6.000905149635993654e-03,8.715595682250786382e-05,2.460651387379908517e-02,4.150975169955836819e+00,1.636631233093425664e+01,-1.768030242203629194e-03,-3.034589449241325318e-04,-8.753929396493208281e-02,-1.478833325325900638e+01,-6.543380961096029580e+01,-3.227252183506261196e-01
7.001056007908659264e-03,1.185801996229924861e-04,2.876626193412217328e-02,4.167227137136523929e+00,1.613271928266843247e+01,-2.062701949237577114e-03,-4.130135777437639604e-04,-1.023624649038413909e-01,-1.485341688779315561e+01,-6.471382560989563615e+01,-3.243428874315897881e-01
8.001206866181324873e-03,1.548165982241296872e-04,3.294214758160340928e-02,4.183245476029502363e+00,1.589912623440261186e+01,-2.357373656271525685e-03,-5.394100424950026753e-04,-1.172503691950652904e-01,-1.491778042971069596e+01,-6.399384160883096229e+01,-3.259605565125535120e-01
9.001357724453991349e-03,1.958591842657998261e-04,3.713393715271032930e-02,4.199030186634771233e+00,1.566553318613678947e+01,-2.652045363305474256e-03,-6.826449395094574737e-04,-1.322022866373552263e-01,-1.498142387901162920e+01,-6.327385760776628842e+01,-3.275782255935171805e-01
1.000150858272665609e-02,2.417019893878833434e-04,4.134139698391044171e-02,4.214581268952330539e+00,1.543194013787096708e+01,-2.946717070339421960e-03,-8.427148691187372068e-04,-1.472174970294626295e-01,-1.504434723569595533e+01,-6.255387360670162167e+01,-3.291958946744808490e-01
1.100165944099932083e-02,2.923390452302605845e-04,4.556429341167129998e-02,4.229898722982178505e+00,1.519834708960514469e+01,-3.241388777373370098e-03,-1.019616431654450563e-03,-1.622952801701389725e-01,-1.510655049976367437e+01,-6.183388960563694781e+01,-3.308135637554445174e-01
1.200181029927198731e-02,3.477643834328122204e-04,4.980239277246044372e-02,4.244982548724318683e+00,1.496475404133932230e+01,-3.536060484407318669e-03,-1.213346227448207316e-03,-1.774349158581357833e-01,-1.516803367121478452e+01,-6.111390560457228105e+01,-3.324312328364081859e-01
1.300196115754465379e-02,4.079720356354185422e-04,5.405546140274537781e-02,4.259832746178748408e+00,1.473116099307349991e+01,-3.830732191441267240e-03,-1.423900856831615287e-03,-1.926356838922045067e-01,-1.522879675004928934e+01,-6.039392160350760719e+01,-3.340489019173719099e-01
1.400211201581731853e-02,4.729560334779597873e-04,5.832326563899364880e-02,4.274449315345469458e+00,1.449756794480767752e+01,-4.125403898475214944e-03,-1.651276920136283705e-03,-2.078968640710964766e-01,-1.528883973626718706e+01,-5.967393760244293333e+01,-3.356665709983355783e-01
