time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0.69327, 0, 0.00380008, 0.00335012, -0.0134534, -0.00451194, 0, 0, 0, 0, -3.87667e-07, 0
0.001, 3.69044e-06, -7.05845e-06, 0.00622385, -0.0102323, 0.695876, 0, 0.00375411, 0.00323999, -0.0134734, -0.00452074, 0, 0, 0, 0, -3.9331e-07, 0
0.002, 1.18879e-05, -1.86303e-05, 0.0100113, -0.0124142, 0.698487, 0, 0.00370809, 0.00312934, -0.0134937, -0.00452944, 0, 0, 0, 0, -3.98868e-07, 0
0.003, 2.35733e-05, -3.14683e-05, 0.0132995, -0.0130894, 0.701115, 0, 0.00366198, 0.00301816, -0.0135141, -0.00453805, 0, 0, 0, 0, -4.04383e-07, 0
0.004, 3.84337e-05, -4.46637e-05, 0.0163932, -0.0132296, 0.703743, 0, 0.00361575, 0.00290647, -0.0135348, -0.00454657, 0, 0, 0, 0, -4.09793e-07, 0
0.005, 5.6341e-05, -5.78857e-05, 0.0194062, -0.0131816, 0.706357, 0, 0.00356937, 0.00279429, -0.0135556, -0.004555, 0, 0, 0, 0, -4.15058e-07, 0
0.006, 7.72424e-05, -7.10268e-05, 0.022387, -0.0130831, 0.708976, 0, 0.0035228, 0.00268162, -0.0135767, -0.00456334, 0, 0, 0, 0, -4.20239e-07, 0
0.007, 0.000101118, -8.40683e-05, 0.0253569, -0.0129878, 0.711601, 0, 0.00347603, 0.00256849, -0.013598, -0.00457158, 0, 0, 0, 0, -4.25337e-07, 0
0.008, 0.000127962, -9.70242e-05, 0.0283255, -0.0129136, 0.714222, 0, 0.003429, 0.0024549, -0.0136194, -0.00457973, 0, 0, 0, 0, -4.30323e-07, 0
0.009, 0.000157776, -0.000109918, 0.0312969, -0.0128633, 0.716849, 0, 0.00338169, 0.00234086, -0.0136411, -0.00458779, 0, 0, 0, 0, -4.35229e-07, 0
0.01, 0.000190564, -0.000122773, 0.034273, -0.0128352, 0.719467, 0, 0.00333408, 0.00222639, -0.0136631, -0.00459575, 0, 0, 0, 0, -4.40006e-07, 0
0.011, 0.00022633, -0.000135609, 0.0372546, -0.0128254, 0.722077, 0, 0.00328612, 0.00211151, -0.0136852, -0.00460361, 0, 0, 0, 0, -4.44654e-07, 0
0.012, 0.000265081, -0.000148443, 0.0402421, -0.0128306, 0.724696, 0, 0.00323778, 0.00199622, -0.0137075, -0.00461138, 0, 0, 0, 0, -4.49236e-07, 0
0.013, 0.000306823, -0.000161289, 0.0432361, -0.0128481, 0.727331, 0, 0.00318903, 0.00188055, -0.0137301, -0.00461905, 0, 0, 0, 0, -4.5377e-07, 0
0.014, 0.000351562, -0.000174158, 0.0462371, -0.012876, 0.729952, 0, 0.00313985, 0.0017645, -0.0137529, -0.00462662, 0, 0, 0, 0, -4.5816e-07, 0
0.015, 0.000399306, -0.000187058, 0.0492449, -0.0129121, 0.732552, 0, 0.00309019, 0.00164808, -0.0137758, -0.00463409, 0, 0, 0, 0, -4.62383e-07, 0
0.016, 0.000450061, -0.000199998, 0.0522598, -0.0129544, 0.735187, 0, 0.00304002, 0.00153132, -0.013799, -0.00464146, 0, 0, 0, 0, -4.66625e-07, 0
0.017, 0.000503835, -0.000212984, 0.0552823, -0.013003, 0.737793, 0, 0.00298931, 0.00141423, -0.0138225, -0.00464873, 0, 0, 0, 0, -4.70671e-07, 0
0.018, 0.000560634, -0.000226021, 0.0583123, -0.0130561, 0.74042, 0, 0.00293803, 0.00129681, -0.0138461, -0.0046559, 0, 0, 0, 0, -4.74694e-07, 0
0.019, 0.000620468, -0.000239113, 0.0613503, -0.0131138, 0.743031, 0, 0.00288614, 0.0011791, -0.0138699, -0.00466297, 0, 0, 0, 0, -4.78564e-07, 0
0.02, 0.000683344, -0.000252264, 0.064396, -0.0131749, 0.74565, 0, 0.00283362, 0.00106109, -0.013894, -0.00466993, 0, 0, 0, 0, -4.82364e-07, 0
0.021, 0.000749269, -0.000265478, 0.0674499, -0.0132393, 0.748274, 0, 0.00278042, 0.000942799, -0.0139183, -0.0046768, 0, 0, 0, 0, -4.86086e-07, 0
0.022, 0.000818253, -0.000278758, 0.070512, -0.0133068, 0.750892, 0, 0.00272652, 0.000824251, -0.0139428, -0.00468355, 0, 0, 0, 0, -4.89696e-07, 0
0.023, 0.000890303, -0.000292107, 0.0735824, -0.0133769, 0.753491, 0, 0.00267188, 0.000705455, -0.0139675, -0.00469021, 0, 0, 0, 0, -4.93142e-07, 0
0.024, 0.000965427, -0.000305527, 0.0766609, -0.0134489, 0.756088, 0, 0.00261647, 0.000586427, -0.0139924, -0.00469676, 0, 0, 0, 0, -4.9649e-07, 0
