time,pos1,pos2,vel1,vel2,tau1,tau2,meas_pos1,meas_pos2,meas_vel1,meas_vel2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.530541034570633396e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,3.407070655731813682e-04,-7.019463073989984587e-04,1.362059277651302136e-01,-2.806249589400572342e-01,0.000000000000000000e+00,-9.437813982935757684e-01,1.529409076622233318e-04,2.170487623641136505e-06,2.352586308082136868e-01,-1.728222579817305926e-01
1.000000000000000021e-02,1.397234674500401732e-03,-2.878785271235413494e-03,2.862615359448410501e-01,-5.898234790629377500e-01,0.000000000000000000e+00,-7.489862521431840392e-01,3.581498924191114171e-04,-7.888649056552847223e-04,-4.863015733373610150e-03,1.246774485678204814e-01
1.499999999999999944e-02,3.123760514890322817e-03,-6.436367385804118817e-03,4.041574120377010026e-01,-8.328262280728351286e-01,0.000000000000000000e+00,-6.803541283258138783e-01,1.413852801692098938e-03,-2.870909374361088617e-03,6.523980000712721328e-01,-6.671991930370210211e-01
2.000000000000000042e-02,5.409220932820383611e-03,-1.114621478634893539e-02,5.097886868177250452e-01,-1.050635880908584063e+00,0.000000000000000000e+00,-5.965116380691543041e-01,3.115364324384179047e-03,-6.441751959572918421e-03,1.728727115179184981e-01,-7.268654514074439632e-01
2.500000000000000139e-02,8.185543271693322340e-03,-1.686849136904277832e-02,6.004614034045421267e-01,-1.237715970378047370e+00,0.000000000000000000e+00,-5.041628204190375939e-01,5.407458776667987271e-03,-1.130100352295243353e-02,5.370444836530392507e-01,-1.101599610902833426e+00
3.000000000000000236e-02,1.137396511800547669e-02,-2.344140015265853277e-02,6.745950298867771089e-01,-1.390821486018055886e+00,0.000000000000000000e+00,-4.706085567644892054e-01,8.165921786046944145e-03,-1.697359405109069228e-02,3.984285434764998080e-01,-1.319295939652665561e+00
3.500000000000000333e-02,1.491479934944697425e-02,-3.074249447278611450e-02,7.413939358975851768e-01,-1.528924989981030436e+00,0.000000000000000000e+00,-5.461113042341758650e-01,1.134208052338802654e-02,-2.333481055482146752e-02,3.954278678562537785e-01,-1.411126140411982366e+00
4.000000000000000083e-02,1.881439440228663273e-02,-3.878542490313542646e-02,8.180558856275992330e-01,-1.687468476379309745e+00,0.000000000000000000e+00,-4.939080791641876633e-01,1.490208883582878896e-02,-3.062020923647272921e-02,8.011579184267692000e-01,-1.366759082274984438e+00
4.499999999999999833e-02,2.307047613112790316e-02,-4.756613554520661841e-02,8.839560531874516291e-01,-1.823971568659632503e+00,0.000000000000000000e+00,-3.145739842138152165e-01,1.868383527187404691e-02,-3.888244487213490114e-02,5.995714727537047040e-01,-1.420759954120540236e+00
4.999999999999999584e-02,2.757820461591611871e-02,-5.686930678936480410e-02,9.187085081212019722e-01,-1.896440597187480259e+00,0.000000000000000000e+00,-4.882168967913488866e-01,2.334375913443471895e-02,-4.764028759068985458e-02,1.043617278402575232e+00,-2.084038485586937384e+00
