time,pos1,pos2,vel1,vel2,tau1,tau2,K11,K12,K13,K14,K21,K22,K23,K24,k1,k2
0, 0, 0, 0, 0, 0, -1.10765, 0, 0, 0, 0, 0.0229541, 0.0105429, 0.0102669, 0.00469468, 0, 2.67782e-08
0.001, 3.20665e-05, -6.21552e-05, 0.0641324, -0.124309, 0, -1.0781, 0, 0, 0, 0, 0.0234771, 0.0112692, 0.0101678, 0.00464645, 0, 2.65737e-08
0.002, 0.000127407, -0.000246955, 0.126546, -0.245288, 0, -1.0491, 0, 0, 0, 0, 0.0239926, 0.0119925, 0.0100663, 0.00459612, 0, 2.63408e-08
0.003, 0.000284315, -0.000551095, 0.187267, -0.362986, 0, -1.02083, 0, 0, 0, 0, 0.0245002, 0.0127127, 0.00996257, 0.0045437, 0, 2.61002e-08
0.004, 0.000501115, -0.000971327, 0.246329, -0.47747, 0, -0.993279, 0, 0, 0, 0, 0.0250001, 0.0134294, 0.00985659, 0.0044892, 0, 2.58548e-08
0.005, 0.000776166, -0.00150447, 0.303768, -0.58881, 0, -0.966442, 0, 0, 0, 0, 0.0254919, 0.0141424, 0.00974838, 0.00443263, 0, 2.56041e-08
0.006, 0.00110786, -0.00214742, 0.359618, -0.697074, 0, -0.940309, 0, 0, 0, 0, 0.0259758, 0.0148515, 0.00963798, 0.00437402, 0, 2.53495e-08
0.007, 0.00149463, -0.00289713, 0.413914, -0.802327, 0, -0.914854, 0, 0, 0, 0, 0.0264516, 0.0155564, 0.00952542, 0.00431337, 0, 2.50895e-08
0.008, 0.00193494, -0.00375062, 0.466688, -0.904635, 0, -0.890063, 0, 0, 0, 0, 0.0269191, 0.0162568, 0.00941071, 0.00425069, 0, 2.48247e-08
0.009, 0.00242727, -0.00470497, 0.517972, -1.00406, 0, -0.865908, 0, 0, 0, 0, 0.0273784, 0.0169524, 0.0092939, 0.004186, 0, 2.45531e-08
0.01, 0.00297016, -0.00575734, 0.567798, -1.10066, 0, -0.842382, 0, 0, 0, 0, 0.0278293, 0.0176431, 0.009175, 0.00411932, 0, 2.42761e-08
0.011, 0.00356216, -0.00690493, 0.616195, -1.1945, 0, -0.819553, 0, 0, 0, 0, 0.0282717, 0.0183286, 0.00905404, 0.00405066, 0, 2.40029e-08
0.012, 0.00420187, -0.00814501, 0.663198, -1.28564, 0, -0.799427, 0, 0, 0, 0, 0.0287056, 0.0190086, 0.00893106, 0.00398004, 0, 2.39667e-08
0.013, 0.00488795, -0.00947502, 0.708957, -1.37437, 0, -0.774498, 0, 0, 0, 0, 0.0291309, 0.0196829, 0.00880607, 0.00390747, 0, 2.3303e-08
0.014, 0.00561903, -0.0108923, 0.753189, -1.46015, 0, -0.754007, 0, 0, 0, 0, 0.0295475, 0.0203512, 0.00867912, 0.00383297, 0, 2.30795e-08
0.015, 0.00639371, -0.0123941, 0.796145, -1.54346, 0, -0.737234, 0, 0, 0, 0, 0.0299553, 0.0210133, 0.00855023, 0.00375656, 0, 2.32149e-08
0.016, 0.0072108, -0.0139782, 0.838034, -1.62471, 0, -0.715266, 0, 0, 0, 0, 0.0303542, 0.0216689, 0.00841942, 0.00367826, 0, 2.26821e-08
0.017, 0.0080691, -0.0156422, 0.878551, -1.70331, 0, -0.695561, 0, 0, 0, 0, 0.0307442, 0.0223178, 0.00828674, 0.00359808, 0, 2.2343e-08
0.018, 0.0089673, -0.0173837, 0.917821, -1.7795, 0, -0.676577, 0, 0, 0, 0, 0.0311252, 0.0229597, 0.00815221, 0.00351605, 0, 2.20213e-08
0.019, 0.00990416, -0.0192001, 0.95588, -1.85335, 0, -0.658177, 0, 0, 0, 0, 0.0314972, 0.0235944, 0.00801585, 0.00343218, 0, 2.17027e-08
0.02, 0.0108785, -0.0210893, 0.992758, -1.92492, 0, -0.640318, 0, 0, 0, 0, 0.03186, 0.0242216, 0.00787772, 0.0033465, 0, 2.13836e-08
0.021, 0.0118891, -0.0230489, 1.02848, -1.99426, 0, -0.622976, 0, 0, 0, 0, 0.0322135, 0.0248412, 0.00773782, 0.00325903, 0, 2.10624e-08
0.022, 0.0129349, -0.0250767, 1.06307, -2.06141, 0, -0.606134, 0, 0, 0, 0, 0.0325578, 0.0254528, 0.00759621, 0.00316979, 0, 2.07386e-08
0.023, 0.0140147, -0.0271707, 1.09656, -2.12643, 0, -0.589778, 0, 0, 0, 0, 0.0328928, 0.0260562, 0.00745291, 0.00307879, 0, 2.0412e-08
0.024, 0.0151275, -0.0293286, 1.12896, -2.18936, 0, -0.573895, 0, 0, 0, 0, 0.0332184, 0.0266513, 0.00730796, 0.00298608, 0, 2.00823e-08
0.025, 0.0162721, -0.0315484, 1.1603, -2.25024, 0, -0.558474, 0, 0, 0, 0, 0.0335345, 0.0272376, 0.00716139, 0.00289166, 0, 1.97494e-08
0.026, 0.0174476, -0.0338281, 1.19061, -2.30913, 0, -0.543505, 0, 0, 0, 0, 0.0338411, 0.0278151, 0.00701323, 0.00279556, 0, 1.94136e-08
0.027, 0.0186529, -0.0361657, 1.2199, -2.36605, 0, -0.528965, 0, 0, 0, 0, 0.0341382, 0.0283835, 0.00686353, 0.00269782, 0, 1.90734e-08
0.028, 0.0198869, -0.0385593, 1.24819, -2.42105, 0, -0.514868, 0, 0, 0, 0, 0.0344256, 0.0289425, 0.00671231, 0.00259845, 0, 1.87314e-08
