time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.768428935649077299e-03,-1.091478402004788961e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,0.000000000000000000e+00,-1.088840000000000030e+00,2.806963592284569494e-309,1.127006864830523458e-53
6.088018417358398438e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,6.266005147581864276e-02,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,2.410279999999999901e-05,-4.996250000000000148e-05,4.820519999999999666e-02,-9.992429999999999368e-02,8.970912848728194999e-02,-1.126729057568766290e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,0.000000000000000000e+00,-1.064030000000000031e+00,6.077225197366692192e-309,1.547174593125765592e-53
8.088111877441406250e-03,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,-1.907288609411168234e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,6.266005147581864276e-02,9.585969999999999973e-05,-1.987070000000000069e-04,9.530750000000000333e-02,-1.975629999999999886e-01,3.100247985832157993e-01,-1.282530533944829187e+00,2.103442828704852330e-01,-1.577677485959109727e-01,8.791208791208759976e-03,-2.842490842490850156e-01,0.000000000000000000e+00,-1.039730000000000043e+00,1.315198514864010092e-308,2.123110088175068909e-53
1.008820533752441406e-02,1.907377737087045944e-04,-5.722133211261137831e-04,-1.907288609411168234e-01,-1.907288609411168234e-01,5.722133211261137831e-04,-1.907377737087045944e-04,1.907288609411168234e-01,-1.907288609411168234e-01,2.141769999999999926e-04,-4.439679999999999885e-04,1.413260000000000072e-01,-2.929550000000000209e-01,4.119892803416597138e-02,-1.296909118559884222e+00,-1.042821699716358630e-01,-1.712094230073397949e-01,6.153846153846131983e-02,-4.483516483516485351e-01,0.000000000000000000e+00,-1.015949999999999909e+00,2.845081551184671987e-308,2.912233062315132206e-53
1.208829879760742188e-02,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-1.907288609411168234e-01,1.907377737087045944e-04,-5.722133211261137831e-04,-1.907288609411168234e-01,-1.907288609411168234e-01,3.779799999999999827e-04,-7.835160000000000518e-04,1.862779999999999991e-01,-3.861379999999999812e-01,8.129793207679052169e-02,-1.303093860007243476e+00,-8.768325556893642736e-02,-1.757451684780561296e-01,2.021978021978014795e-01,-6.710622710622704545e-01,0.000000000000000000e+00,-9.926599999999999868e-01,6.151989123193879756e-308,3.993007882043200746e-53
1.408839225769042969e-02,5.722133211261137831e-04,-2.098115510795750538e-03,1.907288609411168234e-01,-5.721865828233504425e-01,1.907377737087045944e-04,-9.536888685435229718e-04,0.000000000000000000e+00,-1.907288609411168234e-01,5.862120000000000178e-04,-1.215160000000000068e-03,2.301819999999999977e-01,-4.771509999999999918e-01,3.837802877810060354e-01,-1.288172887555248725e+00,2.046346409720698478e-01,-1.823377422151435667e-01,1.025641025641021997e-01,-8.293040293040299105e-01,0.000000000000000000e+00,-9.698649999999999771e-01,1.329700488112361876e-307,5.472611669128156770e-53
1.608872413635253906e-02,5.722133211261137831e-04,-3.624017700465387293e-03,0.000000000000000000e+00,-7.628245122455442617e-01,5.722133211261137831e-04,-2.098115510795750538e-03,1.907288609411168234e-01,-5.721865828233504425e-01,8.378329999999999588e-04,-1.736759999999999953e-03,2.730569999999999942e-01,-5.660300000000000331e-01,4.039103708900371736e-01,-1.263316305745135315e+00,1.938396976072087885e-01,-1.848491833394000083e-01,9.084249084249051975e-02,-8.937728937728941503e-01,0.000000000000000000e+00,-9.475540000000000074e-01,2.872827352891503089e-307,7.497379978203203773e-53
1.808881759643554688e-02,5.722133211261137831e-04,-5.531395437552433236e-03,0.000000000000000000e+00,-9.536443047055841449e-01,5.722133211261137831e-04,-3.624017700465387293e-03,0.000000000000000000e+00,-7.628245122455442617e-01,1.131819999999999962e-03,-2.346179999999999793e-03,3.149190000000000045e-01,-6.528119999999999479e-01,4.215894944156203250e-01,-1.231983849251296004e+00,1.810850939229744772e-01,-1.861626784872477680e-01,2.490842490842481993e-01,-1.028571428571428470e+00,0.000000000000000000e+00,-9.257170000000000121e-01,6.204155236227988519e-307,1.026703014809461295e-52
2.073812484741210938e-02,9.536888685435229718e-04,-6.675822079804660802e-03,1.439906780449090318e-01,-4.319720341347270676e-01,5.722133211261137831e-04,-5.531395437552433236e-03,0.000000000000000000e+00,-9.536443047055841449e-01,1.467180000000000003e-03,-3.041359999999999897e-03,3.557850000000000179e-01,-7.375329999999999941e-01,4.716303097039359349e-01,-1.240949324654434305e+00,2.169995169315827033e-01,-1.861601635890561546e-01,3.018315018315025355e-01,-1.274725274725275526e+00,0.000000000000000000e+00,-9.043470000000000120e-01,1.339285646504423228e-306,1.405402034022874669e-52
2.327823638916015625e-02,2.098115510795750538e-03,-8.964675364309115935e-03,4.505418850483468018e-01,-9.010837700966936037e-01,9.536888685435229718e-04,-6.675822079804660802e-03,1.439906780449090318e-01,-4.319720341347270676e-01,1.842909999999999904e-03,-3.820249999999999861e-03,3.956729999999999969e-01,-8.202279999999999571e-01,4.858552532010050884e-01,-1.219477500039736650e+00,2.388591267042775856e-01,-1.867451783661478459e-01,3.369963369963375754e-01,-1.057875457875457670e+00,0.000000000000000000e+00,-8.834359999999999991e-01,2.889889271129617975e-306,1.922988749887398335e-52
