time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.768428935649077299e-03,-1.091478402004788961e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-1.465201465201459996e-02,-3.983251245196889481e-148,0.000000000000000000e+00
6.904602050781250000e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,5.524946182441398818e-02,1.907377737087045944e-04,-1.907377737087045944e-04,5.494505494507251342e-03,-5.494505494507251342e-03,9.985881362716809984e-02,-1.131033933230470190e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-8.215736378621890352e-148,0.000000000000000000e+00
1.305055618286132812e-02,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.241387550962083225e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,5.524946182441398818e-02,1.726227113820795744e-01,-1.295216953928550296e+00,0.000000000000000000e+00,-1.425728169834142856e-01,8.791208791208759976e-03,-6.593406593406587746e-01,-1.693242315037057565e-147,0.000000000000000000e+00
1.907420158386230469e-02,5.722133211261137831e-04,-2.479591058213159727e-03,6.332968194874447065e-02,-3.166484097437223255e-01,1.907377737087045944e-04,-5.722133211261137831e-04,0.000000000000000000e+00,-1.241387550962083225e-01,2.375607002228717901e-01,-1.332334972273389928e+00,0.000000000000000000e+00,-1.742231439085684119e-01,9.084249084249051975e-02,-9.465201465201467101e-01,-3.487028956607434827e-147,0.000000000000000000e+00
2.509689331054687500e-02,1.335164415960932160e-03,-6.294346532387251614e-03,1.266794200098989853e-01,-6.333971000494948989e-01,5.722133211261137831e-04,-2.479591058213159727e-03,6.332968194874447065e-02,-3.166484097437223255e-01,4.777787509615231132e-01,-1.324961742193164538e+00,1.912044968143921386e-01,-1.824842054049106987e-01,1.553113553113547596e-01,-1.139926739926739430e+00,-7.175560282059157991e-147,0.000000000000000000e+00
3.246831893920898438e-02,2.479591058213159727e-03,-1.392385748073543539e-02,1.552517382529622625e-01,-1.035011588353081713e+00,1.335164415960932160e-03,-6.294346532387251614e-03,1.266794200098989853e-01,-6.333971000494948989e-01,5.615544942000572082e-01,-1.292360709181258116e+00,2.205870801578578289e-01,-1.855393054147563836e-01,2.080586080586073194e-01,-1.204395604395603669e+00,-1.475434395901369070e-146,0.000000000000000000e+00
3.484416007995605469e-02,4.768444342717614859e-03,-1.735713740749211809e-02,9.633865014159733731e-01,-1.445079752123960004e+00,2.479591058213159727e-03,-1.392385748073543539e-02,1.552517382529622625e-01,-1.035011588353081713e+00,5.334872368595346970e-01,-1.228925363153304140e+00,2.447198860410438881e-01,-1.869989582526943306e-01,2.139194139194131594e-01,-1.186813186813186149e+00,-3.031431875683247904e-146,0.000000000000000000e+00
3.684425354003906250e-02,6.675822079804660802e-03,-2.002746623941398241e-02,9.536443047055841449e-01,-1.335102026587817736e+00,4.768444342717614859e-03,-1.735713740749211809e-02,9.633865014159733731e-01,-1.445079752123960004e+00,4.937621846622740618e-01,-1.184165378614955300e+00,2.474701172697352514e-01,-1.875806877382759363e-01,-9.670329670329635974e-02,-1.169230769230768630e+00,-6.223569518347248320e-146,0.000000000000000000e+00
3.884434700012207031e-02,7.820248722056888369e-03,-2.307927061875325592e-02,5.721865828233504425e-01,-1.525830887528934587e+00,6.675822079804660802e-03,-2.002746623941398241e-02,9.536443047055841449e-01,-1.335102026587817736e+00,4.985495546437095915e-01,-1.137438559205311561e+00,2.479042294745877340e-01,-1.880344980372945229e-01,3.223443223443211991e-02,-1.151648351648351110e+00,-1.276718348846443891e-145,0.000000000000000000e+00
4.156804084777832031e-02,9.346150911726525123e-03,-2.651255054550993862e-02,5.602326381075031225e-01,-1.260523435741882192e+00,7.820248722056888369e-03,-2.307927061875325592e-02,5.721865828233504425e-01,-1.525830887528934587e+00,5.053118744283605634e-01,-1.116991687003143996e+00,2.481805402035281161e-01,-1.882129879178883469e-01,1.318681318681313996e-01,-1.104761904761904390e+00,-2.617064810749131296e-145,0.000000000000000000e+00
4.392647743225097656e-02,1.201647974364838944e-02,-3.261615930418848563e-02,1.132245339774080373e+00,-2.587989348055041106e+00,9.346150911726525123e-03,-2.651255054550993862e-02,5.602326381075031225e-01,-1.260523435741882192e+00,4.772335555225083459e-01,-1.017200108712983830e+00,2.491646359774374042e-01,-1.888521916662548594e-01,2.315018315018306794e-01,-1.057875457875457670e+00,-5.360405926581402482e-145,0.000000000000000000e+00
4.592657089233398438e-02,1.392385748073543539e-02,-3.604943923094516833e-02,9.536443047055841449e-01,-1.716559748470051439e+00,1.201647974364838944e-02,-3.261615930418848563e-02,1.132245339774080373e+00,-2.587989348055041106e+00,4.589614102449347532e-01,-9.910160609788354336e-01,2.495488262266954416e-01,-1.889959618177431688e-01,2.490842490842481993e-01,-1.052014652014651830e+00,-1.097096178562402470e-144,0.000000000000000000e+00
4.792666435241699219e-02,1.583123521782248133e-02,-3.986419470511926022e-02,9.536443047055841449e-01,-1.907288609411168290e+00,1.392385748073543539e-02,-3.604943923094516833e-02,9.536443047055841449e-01,-1.716559748470051439e+00,4.479209526360679039e-01,-9.580759997192310751e-01,2.498099518297174082e-01,-1.891655891324268979e-01,2.666666666666674956e-01,-1.005128205128205110e+00,-2.243652268315529187e-144,0.000000000000000000e+00
4.992675781250000000e-02,1.850156404974434565e-02,-4.406042572671076130e-02,1.335102026587817736e+00,-2.098017470352285141e+00,1.583123521782248133e-02,-3.986419470511926022e-02,9.536443047055841449e-01,-1.907288609411168290e+00,4.085790252050512938e-01,-9.189275150483774413e-01,2.502628078556527469e-01,-1.893514857265490015e-01,2.842490842490850156e-01,-9.406593406593408702e-01,-4.584903698849345415e-144,0.000000000000000000e+00
