time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,8.808656946357023773e-03,-1.091609195213835592e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,1.465201465201459996e-02
6.582498550415039062e-03,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,5.795300135589948748e-02,1.907377737087045944e-04,9.536888685435229718e-04,0.000000000000000000e+00,0.000000000000000000e+00,9.590752822928319543e-02,-1.129467331870436908e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.791208791208759976e-03,1.465201465201459996e-02
1.264309883117675781e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,-6.294352535149602690e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.666708601891522257e-01,-1.158682380680416069e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-6.241758241758237347e-01
1.862359046936035156e-02,5.722133211261137831e-04,-1.335164415960932160e-03,6.378665342190356635e-02,-3.189332671095178040e-01,5.722133211261137831e-04,-1.335164415960932160e-03,0.000000000000000000e+00,-6.378665342190356635e-02,2.320596474794573982e-01,-1.332533292679038084e+00,0.000000000000000000e+00,-1.698985233748254720e-01,3.809523809523795990e-02,-8.703296703296707904e-01
2.487754821777343750e-02,2.479591058213159727e-03,-5.149919890135024048e-03,3.049873078485434985e-01,-6.099746156970869970e-01,2.479591058213159727e-03,-5.149919890135024048e-03,6.099746156970869970e-02,-1.730242458769402636e-01,4.928465221526617812e-01,-1.329335323746044573e+00,2.253890892923040568e-01,-1.817408460014081628e-01,5.567765567765547985e-02,-9.992673992673992700e-01
2.937722206115722656e-02,4.005493247882796481e-03,-8.964675364309115935e-03,3.391139542065446100e-01,-8.477848855163614417e-01,4.005493247882796481e-03,-8.964675364309115935e-03,1.166207600970758790e-01,-3.079763738048245103e-01,5.000000000000000000e-01,-1.301202437158579972e+00,2.377578269589246396e-01,-1.849085012695471653e-01,9.670329670329635974e-02,-1.081318681318681030e+00
3.331136703491210938e-02,6.294346532387251614e-03,-1.430533302815284458e-02,5.817917996854841123e-01,-1.357514199266129706e+00,6.294346532387251614e-03,-1.430533302815284458e-02,2.096549680147575256e-01,-5.178839388970855051e-01,5.000000000000000000e-01,-1.244565491359921339e+00,2.439112603771609322e-01,-1.866966095881031074e-01,2.080586080586073194e-01,-1.110622710622710230e+00
3.681039810180664062e-02,9.346150911726525123e-03,-1.964599069199657322e-02,8.721855625156876846e-01,-1.526324734402453531e+00,9.346150911726525123e-03,-1.964599069199657322e-02,3.421610869149435685e-01,-7.195720979981591325e-01,5.000000000000000000e-01,-1.186745982057384019e+00,2.469947440525238624e-01,-1.875475808900176067e-01,2.842490842490850156e-01,-1.010989010989010950e+00
3.966426849365234375e-02,1.201647974364838944e-02,-2.536812390325771105e-02,9.356867920672684580e-01,-2.005043125858432251e+00,1.201647974364838944e-02,-2.536812390325771105e-02,4.608662279454085464e-01,-9.766663035702137785e-01,4.887379041781836353e-01,-1.109840560854211011e+00,2.483170999548283686e-01,-1.882435990534738479e-01,3.369963369963375754e-01,-1.046153846153845990e+00
4.232406616210937500e-02,1.430533302815284458e-02,-3.070878156710143969e-02,8.605366158668137366e-01,-2.007918770355898719e+00,1.430533302815284458e-02,-3.070878156710143969e-02,5.408003055296896067e-01,-1.182916796927350855e+00,4.806101658450513403e-01,-1.047820952759852986e+00,2.489099715136630919e-01,-1.886640585837512651e-01,3.604395604395609354e-01,-1.016849816849816790e+00
4.432415962219238281e-02,1.659418631265729971e-02,-3.452353704127553158e-02,1.144373165646700885e+00,-1.907288609411168290e+00,1.659418631265729971e-02,-3.452353704127553158e-02,6.615148775530919067e-01,-1.327791159424114298e+00,4.460972332051101885e-01,-1.003287003810596989e+00,2.495704204997620523e-01,-1.889196108793089190e-01,3.545787545787550954e-01,-1.016849816849816790e+00
4.632425308227539062e-02,1.888303959716175484e-02,-3.948271915770185103e-02,1.144373165646700885e+00,-2.479475192234518843e+00,1.888303959716175484e-02,-3.948271915770185103e-02,7.580865351718137912e-01,-1.558127965986195296e+00,4.270035064480788844e-01,-9.321580154206272617e-01,2.499750442335430256e-01,-1.892835427833986228e-01,3.663003663003667754e-01,-9.758241758241759101e-01
4.832434654235839844e-02,2.117189288166620997e-02,-4.406042572671076130e-02,1.144373165646700885e+00,-2.288746331293401770e+00,2.117189288166620997e-02,-4.406042572671076130e-02,8.353438612667912766e-01,-1.704251639047636768e+00,4.103270751796416205e-01,-8.866976661416924310e-01,2.502474687440648937e-01,-1.894956975645124830e-01,3.487179487179492554e-01,-9.172161172161175102e-01
5.032444000244140625e-02,2.422369726100548348e-02,-4.940108339055448994e-02,1.525830887528934587e+00,-2.670204053175635472e+00,2.422369726100548348e-02,-4.940108339055448994e-02,9.734412665192200276e-01,-1.897442121873236687e+00,3.688687938951044076e-01,-8.257004637579785644e-01,2.506572580176028020e-01,-1.897605768347553901e-01,3.428571428571434154e-01,-8.644688644688649504e-01
5.232453346252441406e-02,2.689402609292734780e-02,-5.436026550698080939e-02,1.335102026587817736e+00,-2.479475192234518843e+00,2.689402609292734780e-02,-5.436026550698080939e-02,1.045773418532939480e+00,-2.013848735945493296e+00,3.510820847210436302e-01,-7.885512373962514365e-01,2.508432642068494922e-01,-1.899135388993088425e-01,3.487179487179492554e-01,-7.648351648351656706e-01
5.432462692260742188e-02,3.032730601968403050e-02,-6.046387426565935641e-02,1.716559748470051439e+00,-3.051661775057869175e+00,3.032730601968403050e-02,-6.046387426565935641e-02,1.179930684520361872e+00,-2.221411343767968560e+00,3.109507793318507241e-01,-7.222779828265930568e-01,2.511513635781928988e-01,-1.901767770927133838e-01,3.369963369963375754e-01,-7.062271062271054944e-01
5.632472038269042969e-02,3.299763485160589482e-02,-6.580453192950308505e-02,1.335102026587817736e+00,-2.670204053175635472e+00,3.299763485160589482e-02,-6.580453192950308505e-02,1.210964952933853089e+00,-2.311169885649501765e+00,3.086343688709285438e-01,-6.928634976678351709e-01,2.512171469037163263e-01,-1.902875147762872476e-01,3.135531135531142155e-01,-6.945054945054938145e-01
5.832481384277343750e-02,3.681239032577998671e-02,-7.152666514076422288e-02,1.907288609411168290e+00,-2.860932914116752546e+00,3.681239032577998671e-02,-7.152666514076422288e-02,1.350229684229316218e+00,-2.421122491342952099e+00,2.585924249188052415e-01,-6.558797282665469464e-01,2.514926800602847456e-01,-1.904210466529248080e-01,3.018315018315025355e-01,-6.241758241758237347e-01
6.032490730285644531e-02,3.986419470511926022e-02,-7.724879835202536071e-02,1.525830887528934587e+00,-2.860932914116752546e+00,3.986419470511926022e-02,-7.724879835202536071e-02,1.385349924889240025e+00,-2.509084575897712277e+00,2.531530597567571705e-01,-6.261940306905734444e-01,2.515578394140950969e-01,-1.905263842468090107e-01,2.783882783882791756e-01,-6.065934065934062147e-01
6.232500076293945312e-02,4.291599908445853373e-02,-8.373388265812131692e-02,1.525830887528934587e+00,-3.242390635998985804e+00,4.291599908445853373e-02,-8.373388265812131692e-02,1.413446117417179071e+00,-2.655745787917967338e+00,2.541694332538135259e-01,-5.780624928156682385e-01,2.516088921517285470e-01,-1.906994566621915410e-01,2.608058608058616556e-01,-6.300366300366295746e-01
6.432509422302246094e-02,4.634927901121521643e-02,-8.983749141679986394e-02,1.716559748470051439e+00,-3.051661775057869175e+00,4.634927901121521643e-02,-8.983749141679986394e-02,1.474068843627753589e+00,-2.734928985345947972e+00,2.356579720001261424e-01,-5.501409193947303100e-01,2.517160667944419727e-01,-1.907917219078015536e-01,2.432234432234423593e-01,-6.183150183150178947e-01
6.632518768310546875e-02,4.978255893797189913e-02,-9.632257572289582015e-02,1.716559748470051439e+00,-3.242390635998985804e+00,4.978255893797189913e-02,-9.632257572289582015e-02,1.522567024596213070e+00,-2.836421315476555627e+00,2.235218163709034311e-01,-5.150676830052588473e-01,2.517991375632747664e-01,-1.909089139639779942e-01,2.080586080586073194e-01,-5.948717948717945347e-01
6.832528114318847656e-02,5.321583886472858183e-02,-1.028076600289917764e-01,1.716559748470051439e+00,-3.242390635998985804e+00,5.321583886472858183e-02,-1.028076600289917764e-01,1.561365569370980699e+00,-2.917615179581041662e+00,2.139013317489980581e-01,-4.859999782904846355e-01,2.518640478670913785e-01,-1.910018811889806489e-01,1.904761904761897995e-01,-5.245421245421244549e-01
7.032537460327148438e-02,5.703059433890267371e-02,-1.092927443350877326e-01,1.907288609411168290e+00,-3.242390635998985804e+00,5.703059433890267371e-02,-1.092927443350877326e-01,1.630550177379018306e+00,-2.982570270864630668e+00,1.890914187302600302e-01,-4.613708605935887830e-01,2.519767108829341629e-01,-1.910757934490393273e-01,1.846153846153839595e-01,-4.835164835164835750e-01
7.232546806335449219e-02,6.008239871824194722e-02,-1.157778286411836888e-01,1.525830887528934587e+00,-3.242390635998985804e+00,6.008239871824194722e-02,-1.157778286411836888e-01,1.609606319409001784e+00,-3.034534343891501784e+00,2.033997166818506397e-01,-4.411609062652970259e-01,2.519429995127432376e-01,-1.911346471677813907e-01,2.021978021978014795e-01,-4.249084249084251752e-01
7.432556152343750000e-02,6.389715419241603911e-02,-1.222629129472796450e-01,1.907288609411168290e+00,-3.242390635998985804e+00,6.389715419241603911e-02,-1.222629129472796450e-01,1.669142777409435174e+00,-3.076105602312998677e+00,1.804673096371001151e-01,-4.232309944307423022e-01,2.520379906571680317e-01,-1.911815625494694137e-01,2.080586080586073194e-01,-3.897435897435901353e-01
7.632565498352050781e-02,6.771190966659013100e-02,-1.291294728007930104e-01,1.907288609411168290e+00,-3.433119496940102877e+00,6.771190966659013100e-02,-1.291294728007930104e-01,1.716771943809781931e+00,-3.147508381238419695e+00,1.643908304127209563e-01,-3.958493456084473117e-01,2.521122130914859594e-01,-1.912618149303740855e-01,2.139194139194131594e-01,-4.014652014652018153e-01
7.832598686218261719e-02,7.114518959334681369e-02,-1.356145571068889666e-01,1.716355152552474506e+00,-3.242004177043563029e+00,7.114518959334681369e-02,-1.356145571068889666e-01,1.716688585558320490e+00,-3.166407540399448273e+00,1.658593785433196688e-01,-3.847930200501425979e-01,2.521120844799906724e-01,-1.912829896357730319e-01,2.315018315018306794e-01,-4.600732600732602151e-01
8.032608032226562500e-02,7.457846952010349639e-02,-1.424811169604023320e-01,1.716559748470051439e+00,-3.433119496940102877e+00,7.457846952010349639e-02,-1.424811169604023320e-01,1.716662818140666680e+00,-3.219749931707579282e+00,1.691730419286948672e-01,-3.628029673821062673e-01,2.521120447231557371e-01,-1.913426105937914290e-01,2.373626373626365194e-01,-4.542124542124543751e-01
8.232617378234863281e-02,7.801174944686017909e-02,-1.493476768139156974e-01,1.716559748470051439e+00,-3.433119496940102877e+00,7.801174944686017909e-02,-1.493476768139156974e-01,1.716642204206543676e+00,-3.262423844754084090e+00,1.714034842380449952e-01,-3.438441672437928531e-01,2.521120129173854973e-01,-1.913901595341591655e-01,2.490842490842481993e-01,-4.131868131868134952e-01
8.434128761291503906e-02,8.106355382619945260e-02,-1.562142366674290628e-01,1.514457562172294436e+00,-3.407529514887662536e+00,8.106355382619945260e-02,-1.562142366674290628e-01,1.676205275799693917e+00,-3.291444978780799779e+00,1.905141379354309550e-01,-3.291219456528035048e-01,2.520490918605514108e-01,-1.914224237999818945e-01,2.490842490842481993e-01,-3.545787545787550954e-01
8.634138107299804688e-02,8.487830930037354449e-02,-1.638437476157772466e-01,1.907288609411168290e+00,-3.814577218822336580e+00,8.487830930037354449e-02,-1.638437476157772466e-01,1.722421942521988880e+00,-3.396071426789107228e+00,1.753440759575583541e-01,-2.900981327462622272e-01,2.521209201327791471e-01,-1.915382822048221634e-01,2.256410256410248394e-01,-3.018315018315025355e-01
8.834171295166015625e-02,8.793011367971281800e-02,-1.707103074692906119e-01,1.525649024491088523e+00,-3.432710305104949011e+00,8.793011367971281800e-02,-1.707103074692906119e-01,1.683067358915808942e+00,-3.403399202452275674e+00,1.918558654690376009e-01,-2.816007042635587654e-01,2.520598455765299950e-01,-1.915463707619886047e-01,2.080586080586073194e-01,-2.549450549450558157e-01
9.034180641174316406e-02,9.174486915388690988e-02,-1.768139162279691590e-01,1.907288609411168290e+00,-3.051661775057869175e+00,9.174486915388690988e-02,-1.768139162279691590e-01,1.727911609014880945e+00,-3.333051716973394640e+00,1.651636767494761293e-01,-2.963475987076527596e-01,2.521293609424461457e-01,-1.914685815954922654e-01,1.904761904761897995e-01,-2.608058608058616556e-01
