time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
3.187155723571777344e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.196915307890565432e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.196915307890565432e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
6.217479705810546875e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
9.355068206787109375e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
1.238539218902587891e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.258860602540522178e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.258860602540522178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
1.556389331817626953e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.200174333489625357e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.200174333489625357e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,2.930402930402919992e-03
1.875343322753906250e-01,-1.907377737087045944e-04,1.907377737087045944e-04,-1.196020611930892832e-02,0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,-1.196020611930892832e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
2.178375720977783203e-01,1.907377737087045944e-04,5.722133211261137831e-04,1.258860602540522178e-02,1.258860602540522178e-02,1.907377737087045944e-04,5.722133211261137831e-04,1.258860602540522178e-02,1.258860602540522178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
2.481408119201660156e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.258860602540522178e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.258860602540522178e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
2.784440517425537109e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
3.087472915649414062e-01,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.258860602540522178e-02,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,1.258860602540522178e-02,-4.999987977051230104e-01,-4.998687708569326205e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
3.390505313873291016e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.258860602540522178e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.258860602540522178e-02,-4.999987090489212971e-01,-4.998688875939278020e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
3.693540096282958984e-01,5.359731441214599101e-02,-1.272220950637059644e-01,1.762390977489764587e+00,-4.204561332011295782e+00,5.359731441214599101e-02,-1.272220950637059644e-01,1.762390977489764587e+00,-4.204561332011295782e+00,-4.999880564038317599e-01,-4.836763123854572299e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.234432234432240705e-01,-4.193406593406592719e+00
3.996572494506835938e-01,2.237354085603104892e-01,-4.938200961318379711e-01,5.614518287330728441e+00,-1.209765039041447565e+01,2.237354085603104892e-01,-4.938200961318379711e-01,5.614518287330728441e+00,-1.209765039041447565e+01,-4.999999988236210613e-01,-3.949373657666089277e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.589743589743598307e-01,-4.351648351648350399e+00
4.299604892730712891e-01,4.621576256961930085e-01,-1.010337987335011789e+00,7.867878765878321801e+00,-1.704497255839872949e+01,4.621576256961930085e-01,-1.010337987335011789e+00,7.867878765878321801e+00,-1.704497255839872949e+01,-4.876139401360455317e-01,-2.264743301179449400e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.776556776556777351e-01,-4.656410256410257631e+00
4.602637290954589844e-01,6.811245899137858828e-01,-1.511215381094071830e+00,7.225859858582596829e+00,-1.652883971135711505e+01,6.811245899137858828e-01,-1.511215381094071830e+00,7.225859858582596829e+00,-1.652883971135711505e+01,-4.886063935286708571e-01,-9.279786957896211941e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.901098901098908556e-01,-6.886446886446879745e-01
4.905669689178466797e-01,8.352407110704209714e-01,-1.908712901503013981e+00,5.085796834263767607e+00,-1.311732747847229952e+01,8.352407110704209714e-01,-1.908712901503013981e+00,5.085796834263767607e+00,-1.311732747847229952e+01,-4.999119915543216996e-01,1.688456728683118913e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.369963369963375754e-01,-2.021978021978014795e-01
5.208702087402343750e-01,9.317540245670254961e-01,-2.230678263523307336e+00,3.184917324427520846e+00,-1.062478348544200735e+01,9.317540245670254961e-01,-2.230678263523307336e+00,3.184917324427520846e+00,-1.062478348544200735e+01,-4.999979261638630712e-01,4.938491353416849527e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.194139194139200555e-01,-2.373626373626365194e-01
5.511734485626220703e-01,9.660868238345923231e-01,-2.472915236133363948e+00,1.132974542286469877e+00,-7.993764826132373713e+00,9.660868238345923231e-01,-2.472915236133363948e+00,1.132974542286469877e+00,-7.993764826132373713e+00,-4.974138060410031592e-01,4.998809815437045501e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.901098901098908556e-01,1.468131868131868245e+00
5.814766883850097656e-01,9.252689402609295399e-01,-2.595750362401769706e+00,-1.346980844718358661e+00,-4.053531140180480996e+00,9.252689402609295399e-01,-2.595750362401769706e+00,-1.346980844718358661e+00,-4.053531140180480996e+00,4.999999999999931166e-01,4.524766431456137994e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.080586080586073194e-01,4.527472527472527375e+00
6.117799282073974609e-01,8.051041428244456455e-01,-2.574387731746394792e+00,-3.965410898002644569e+00,7.049619374226924196e-01,8.051041428244456455e-01,-2.574387731746394792e+00,-3.965410898002644569e+00,7.049619374226924196e-01,4.999999999999967804e-01,-5.000159581778442774e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.369963369963375754e-01,4.644688644688645063e+00
6.420831680297851562e-01,6.445029373617146007e-01,-2.424086366063935571e+00,-5.299803136695656391e+00,4.959910774009657075e+00,6.445029373617146007e-01,-2.424086366063935571e+00,-5.299803136695656391e+00,4.959910774009657075e+00,4.999999998309775373e-01,-1.893253962708429050e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.421245421245419749e-01,4.128937728937729368e+00
6.723864078521728516e-01,4.736018921187152841e-01,-2.202830548561836466e+00,-5.639695499381539356e+00,7.301391494735087306e+00,4.736018921187152841e-01,-2.202830548561836466e+00,-5.639695499381539356e+00,7.301391494735087306e+00,4.999999830537995016e-01,-2.101552637303952142e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.776556776556777351e-01,-5.772893772893770148e-01
7.026896476745605469e-01,3.267338063630127465e-01,-1.970511940184634270e+00,-4.846613319781010176e+00,7.666461069471779410e+00,3.267338063630127465e-01,-1.970511940184634270e+00,-4.846613319781010176e+00,7.666461069471779410e+00,4.999999993587627145e-01,-1.860119407450896434e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.249084249084251752e-01,-1.819780219780220420e+00
7.329928874969482422e-01,2.168688487067971238e-01,-1.765659571221485535e+00,-3.625518535316762492e+00,6.760081435642604220e+00,2.168688487067971238e-01,-1.765659571221485535e+00,-3.625518535316762492e+00,6.760081435642604220e+00,4.999999999976407206e-01,-1.953204202682045754e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.073260073260076553e-01,-1.895970695970696340e+00
7.632961273193359375e-01,1.432440680552371504e-01,-1.597428854810406307e+00,-2.429600962903207595e+00,5.551575257203761105e+00,1.432440680552371504e-01,-1.597428854810406307e+00,-2.429600962903207595e+00,5.551575257203761105e+00,4.999999999998046007e-01,-3.517336291342727073e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.717948717948718951e-01,-1.749450549450548564e+00
7.935993671417236328e-01,1.066224155031658682e-01,-1.472304875257496093e+00,-1.208506178438901291e+00,4.129062776332912854e+00,1.066224155031658682e-01,-1.472304875257496093e+00,-1.208506178438901291e+00,4.129062776332912854e+00,4.999999999996009858e-01,-4.744194283749716412e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.014652014652018153e-01,-1.790476190476191221e+00
8.239026069641113281e-01,1.146334019989314612e-01,-1.420805676356145852e+00,2.643607265335096712e-01,1.699461813429704815e+00,1.146334019989314612e-01,-1.420805676356145852e+00,2.643607265335096712e-01,1.699461813429704815e+00,4.999999999997968847e-01,-4.959101127336965398e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.428571428571434154e-01,-3.214652014652013889e+00
8.542058467864990234e-01,1.905470359349958898e-01,-1.476882581826505003e+00,2.505132599055639009e+00,-1.850525085734567421e+00,1.905470359349958898e-01,-1.476882581826505003e+00,2.505132599055639009e+00,-1.850525085734567421e+00,4.999999999991051047e-01,-4.947711696464884845e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.901098901098908556e-01,-4.468864468864467199e+00
8.845090866088867188e-01,3.351262684061957486e-01,-1.641298542763408363e+00,4.771081683628637826e+00,-5.425689196949650572e+00,3.351262684061957486e-01,-1.641298542763408363e+00,4.771081683628637826e+00,-5.425689196949650572e+00,4.999999999920454741e-01,-4.203348261443174749e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.018315018315025355e-01,-4.715018315018316031e+00
9.148123264312744141e-01,5.430304417486837565e-01,-1.893453879606317614e+00,6.860790283845845217e+00,-8.321068582792909396e+00,5.430304417486837565e-01,-1.893453879606317614e+00,6.860790283845845217e+00,-8.321068582792909396e+00,4.999999994050961516e-01,-1.269640052831066956e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.369963369963375754e-01,-4.761904761904762751e+00
9.451155662536621094e-01,8.016708628976889628e-01,-2.197871366445410146e+00,8.535074885224798180e+00,-1.004570760827336606e+01,8.016708628976889628e-01,-2.197871366445410146e+00,8.535074885224798180e+00,-1.004570760827336606e+01,4.999927378959479474e-01,-1.901773035794147582e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.545787545787550954e-01,-4.228571428571427759e+00
9.754188060760498047e-01,1.102273594262607403e+00,-2.502670328831921864e+00,9.919821548019314150e+00,-1.005829621429882970e+01,1.102273594262607403e+00,-2.502670328831921864e+00,9.919821548019314150e+00,-1.005829621429882970e+01,4.950144032893844526e-01,4.938041894579640184e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.604395604395609354e-01,-1.257142857142858006e+00
1.005722045898437500e+00,1.418135347524223988e+00,-2.765506981002518572e+00,1.042336578903558220e+01,-8.673549551504256883e+00,1.418135347524223988e+00,-2.765506981002518572e+00,1.042336578903558220e+01,-8.673549551504256883e+00,4.826040199857452029e-01,3.428105689801559386e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.542124542124543751e-01,-3.135531135531142155e-01
1.036025285720825195e+00,1.739719233997099934e+00,-2.980659189745937354e+00,1.061219487941660233e+01,-7.099973798328544916e+00,1.739719233997099934e+00,-2.980659189745937354e+00,1.061219487941660233e+01,-7.099973798328544916e+00,4.635856532551983489e-01,1.068934349620401347e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.362637362637361349e-01,-1.494505494505489196e-01
1.066328525543212891e+00,2.049477378500037972e+00,-3.142786297398336259e+00,1.022194809262909843e+01,-5.350157560797218714e+00,2.049477378500037972e+00,-3.142786297398336259e+00,1.022194809262909843e+01,-5.350157560797218714e+00,4.817957282986088940e-01,2.442061863548840250e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.948717948717945347e-01,1.787545787545781195e-01
1.096632242202758789e+00,2.339398794537270732e+00,-3.263714045929656749e+00,9.567190034622546690e+00,-3.990525317072859401e+00,2.339398794537270732e+00,-3.263714045929656749e+00,9.567190034622546690e+00,-3.990525317072859401e+00,4.896501573837389598e-01,3.810089891891598413e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.010989010989010950e-01,9.230769230769233502e-01
1.126935482025146484e+00,2.605287251087204936e+00,-3.325131609063859628e+00,8.774258399707438372e+00,-2.026765570090240498e+00,2.605287251087204936e+00,-3.325131609063859628e+00,8.774258399707438372e+00,-2.026765570090240498e+00,4.880489333745126612e-01,4.445342378325920940e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.304029304029302949e-01,2.206593406593405859e+00
