time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2,tau_pert1,tau_pert2
0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.208262288217298419e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-8.791208791208759976e-03,-3.217380000000000240e-01,0.000000000000000000e+00,2.788155478012164834e-234,0.000000000000000000e+00
5.753993988037109375e-03,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,3.846153846154010125e-02,-5.494505494507251342e-03,-4.372380000000000140e-06,7.122040000000000000e-06,-8.744699999999999349e-03,1.424399999999999972e-02,-3.960671295634584088e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,-2.930402930402919992e-03,-3.223719999999999919e-01,0.000000000000000000e+00,8.185556112624668725e-234,0.000000000000000000e+00
1.142549514770507812e-02,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.749780000000000042e-05,2.850160000000000169e-05,-1.750590000000000132e-02,2.851470000000000046e-02,-4.709299379667378216e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.666666666666674956e-01,-8.791208791208759976e-03,-3.229929999999999746e-01,0.000000000000000000e+00,2.400541889304714575e-233,0.000000000000000000e+00
1.660442352294921875e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-7.365916648720324811e-02,0.000000000000000000e+00,1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.939229999999999891e-05,6.416440000000000522e-05,-2.628269999999999912e-02,4.281039999999999845e-02,-5.408556402538055030e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.604395604395609354e-01,-8.791208791208759976e-03,-3.236020000000000008e-01,0.000000000000000000e+00,7.032346874641240956e-233,0.000000000000000000e+00
2.175450325012207031e-02,-5.722133211261137831e-04,-1.907377737087045944e-04,-7.407177512314379320e-02,0.000000000000000000e+00,-1.907377737087045944e-04,-1.907377737087045944e-04,-7.365916648720324811e-02,0.000000000000000000e+00,-7.007080000000000003e-05,1.141350000000000041e-04,-3.507400000000000101e-02,5.712919999999999804e-02,-6.104623724773705629e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.424908424908426952e-01,-2.930402930402919992e-03,-3.241990000000000149e-01,0.000000000000000000e+00,2.057885356829909285e-232,0.000000000000000000e+00
2.920889854431152344e-02,-9.536888685435229718e-04,1.907377737087045944e-04,-5.117457987702389577e-02,5.117457987702389577e-02,-5.722133211261137831e-04,-1.907377737087045944e-04,-7.407177512314379320e-02,0.000000000000000000e+00,-1.095470000000000000e-04,1.784339999999999928e-04,-4.387869999999999965e-02,7.146929999999999950e-02,-7.089889601079959469e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.128205128205127750e-01,-2.930402930402919992e-03,-3.247829999999999884e-01,0.000000000000000000e+00,6.015503256014124250e-232,0.000000000000000000e+00
3.330302238464355469e-02,-2.098115510795750538e-03,-1.907377737087045944e-04,-2.795290731018569286e-01,-9.317635770061898082e-02,-9.536888685435229718e-04,1.907377737087045944e-04,-5.117457987702389577e-02,5.117457987702389577e-02,-1.578349999999999957e-04,2.570839999999999801e-04,-5.269589999999999691e-02,8.582879999999999676e-02,-9.315497601630780000e-01,0.000000000000000000e+00,-2.230632563142563030e-01,0.000000000000000000e+00,-5.948717948717945347e-01,-8.791208791208759976e-03,-3.253550000000000053e-01,0.000000000000000000e+00,1.756518193050937302e-231,0.000000000000000000e+00
3.530311584472656250e-02,-2.479591058213159727e-03,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-2.098115510795750538e-03,-1.907377737087045944e-04,-2.795290731018569286e-01,-9.317635770061898082e-02,-2.149460000000000118e-04,3.501019999999999762e-04,-6.152450000000000280e-02,1.002060000000000034e-01,-9.393470334414298906e-01,0.000000000000000000e+00,-2.321959353223573552e-01,0.000000000000000000e+00,-6.534798534798529346e-01,-2.051282051282043994e-02,-3.259139999999999815e-01,0.000000000000000000e+00,5.123458647790084670e-231,0.000000000000000000e+00
3.730344772338867188e-02,-2.861066605630568915e-03,5.722133211261137831e-04,-1.907061280613860654e-01,3.814122561227721309e-01,-2.479591058213159727e-03,-1.907377737087045944e-04,-1.907288609411168234e-01,0.000000000000000000e+00,-2.808900000000000025e-04,4.575049999999999777e-04,-7.036349999999999549e-02,1.145990000000000064e-01,-9.290819480093341909e-01,1.729300265210687026e-01,-2.361582555917493831e-01,1.729300265210687026e-01,-8.000000000000007105e-01,-5.567765567765547985e-02,-3.264599999999999724e-01,0.000000000000000000e+00,1.492807179482282027e-230,0.000000000000000000e+00
3.930354118347167969e-02,-3.242542153047978104e-03,9.536888685435229718e-04,-1.907288609411168234e-01,1.907288609411168234e-01,-2.861066605630568915e-03,5.722133211261137831e-04,-1.907061280613860654e-01,3.814122561227721309e-01,-3.556780000000000054e-04,5.793079999999999497e-04,-7.921190000000000175e-02,1.290050000000000086e-01,-9.339052509957638248e-01,1.765352710488089505e-01,-2.383310464833399978e-01,1.765352710488089505e-01,-9.054945054945058303e-01,-4.981684981684963986e-02,-3.269940000000000069e-01,0.000000000000000000e+00,4.344843037973603665e-230,0.000000000000000000e+00
