time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,pos_des1,pos_des2,vel_des1,vel_des2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2,tau_des1,tau_des2
0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.203664325725168460e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03,-3.217380000000000240e-01,0.000000000000000000e+00
5.719184875488281250e-03,1.907377737087045944e-04,1.907377737087045944e-04,6.670103445201888692e-02,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.372380000000000140e-06,7.122040000000000000e-06,-8.744699999999999349e-03,1.424399999999999972e-02,-4.208547613899528139e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,-2.930402930402919992e-03,-3.223719999999999919e-01,0.000000000000000000e+00
1.101469993591308594e-02,-1.907377737087045944e-04,1.907377737087045944e-04,-7.203747757575205968e-02,0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.749780000000000042e-05,2.850160000000000169e-05,-1.750590000000000132e-02,2.851470000000000046e-02,-5.183453232616104245e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.553113553113547596e-01,-2.930402930402919992e-03,-3.229929999999999746e-01,0.000000000000000000e+00
1.602983474731445312e-02,-5.722133211261137831e-04,5.722133211261137831e-04,-7.606486400927164881e-02,7.606486400927164881e-02,-5.722133211261137831e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.939229999999999891e-05,6.416440000000000522e-05,-2.628269999999999912e-02,4.281039999999999845e-02,-6.094665530554075339e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.725274725274733356e-01,-8.791208791208759976e-03,-3.236020000000000008e-01,0.000000000000000000e+00
2.122783660888671875e-02,-1.907377737087045944e-04,5.722133211261137831e-04,7.338888241606407459e-02,0.000000000000000000e+00,-1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-7.007080000000000003e-05,1.141350000000000041e-04,-3.507400000000000101e-02,5.712919999999999804e-02,-7.028773840793236527e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.897435897435901353e-01,2.051282051282043994e-02,-3.241990000000000149e-01,0.000000000000000000e+00
2.625608444213867188e-02,-5.722133211261137831e-04,5.722133211261137831e-04,-7.586649665410284682e-02,0.000000000000000000e+00,-5.722133211261137831e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.095470000000000000e-04,1.784339999999999928e-04,-4.387869999999999965e-02,7.146929999999999950e-02,-7.965881442887583486e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.186813186813186149e-01,2.930402930402919992e-03,-3.247829999999999884e-01,0.000000000000000000e+00
3.153419494628906250e-02,-5.722133211261137831e-04,9.536888685435229718e-04,0.000000000000000000e+00,7.227502097908704293e-02,-5.722133211261137831e-04,9.536888685435229718e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.578349999999999957e-04,2.570839999999999801e-04,-5.269589999999999691e-02,8.582879999999999676e-02,-8.910353403144624096e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.358974358974354146e-01,-2.930402930402919992e-03,-3.253550000000000053e-01,0.000000000000000000e+00
3.677177429199218750e-02,-1.716639963378341349e-03,1.335164415960932160e-03,-2.185029699246671120e-01,7.283432330822237066e-02,-1.716639963378341349e-03,1.335164415960932160e-03,-4.370059398493342240e-02,0.000000000000000000e+00,-2.149460000000000118e-04,3.501019999999999762e-04,-6.152450000000000280e-02,1.002060000000000034e-01,-1.143247707921041245e+00,0.000000000000000000e+00,-2.153780349244654169e-01,0.000000000000000000e+00,-7.296703296703288544e-01,-1.465201465201459996e-02,-3.259139999999999815e-01,0.000000000000000000e+00
4.096722602844238281e-02,-1.716639963378341349e-03,1.716639963378341349e-03,0.000000000000000000e+00,9.092597683895146943e-02,-1.716639963378341349e-03,1.716639963378341349e-03,-3.496047518794673931e-02,0.000000000000000000e+00,-2.808900000000000025e-04,4.575049999999999777e-04,-7.036349999999999549e-02,1.145990000000000064e-01,-1.220375863672016559e+00,0.000000000000000000e+00,-2.067866493653865156e-01,0.000000000000000000e+00,-8.175824175824182305e-01,-1.465201465201459996e-02,-3.264599999999999724e-01,0.000000000000000000e+00
4.439973831176757812e-02,-2.479591058213159727e-03,2.861066605630568915e-03,-2.222719197659275003e-01,3.334078796488912366e-01,-2.479591058213159727e-03,2.861066605630568915e-03,-7.242276410354289706e-02,6.668157592977824732e-02,-3.556780000000000054e-04,5.793079999999999497e-04,-7.921190000000000175e-02,1.290050000000000086e-01,-1.227355466799877837e+00,1.706993831376227011e-01,-2.294461513837062205e-01,1.706993831376227011e-01,-9.875457875457875900e-01,-3.223443223443211991e-02,-3.269940000000000069e-01,0.000000000000000000e+00
4.763078689575195312e-02,-3.242542153047978104e-03,3.624017700465387293e-03,-2.361311119296087835e-01,2.361311119296087835e-01,-3.242542153047978104e-03,3.624017700465387293e-03,-1.051644336687560799e-01,1.005714831297443573e-01,-4.393190000000000268e-04,7.155240000000000428e-04,-8.806849999999999401e-02,1.434239999999999959e-01,-1.233635724487667895e+00,1.767034093504185610e-01,-2.362639159478185924e-01,1.767034093504185610e-01,-1.087179487179486870e+00,-3.223443223443211991e-02,-3.275159999999999738e-01,0.000000000000000000e+00
5.029058456420898438e-02,-4.005493247882796481e-03,4.386968795300205670e-03,-2.868455386222712455e-01,2.868455386222712455e-01,-4.005493247882796481e-03,4.386968795300205670e-03,-1.415006546594591019e-01,1.378262942282497405e-01,-5.318200000000000141e-04,8.661639999999999964e-04,-9.693250000000000477e-02,1.578529999999999933e-01,-1.220353838118597878e+00,1.799420038254399556e-01,-2.401803130487079052e-01,1.799420038254399556e-01,-1.134065934065933590e+00,1.465201465201459996e-02,-3.280250000000000110e-01,0.000000000000000000e+00
5.289959907531738281e-02,-4.768444342717614859e-03,5.912870984969842425e-03,-2.924288429927860977e-01,5.848576859855721954e-01,-4.768444342717614859e-03,5.912870984969842425e-03,-1.716862923261245066e-01,2.272325725797142426e-01,-6.331880000000000234e-04,1.031240000000000108e-03,-1.058029999999999943e-01,1.722899999999999987e-01,-1.191805201331729513e+00,1.834452639599555845e-01,-2.421902930710332358e-01,1.834452639599555845e-01,-1.169230769230768630e+00,4.981684981684963986e-02,-3.285210000000000075e-01,0.000000000000000000e+00
5.582547187805175781e-02,-5.912870984969842425e-03,7.438773174639479180e-03,-3.911402577660598734e-01,5.215203436880798682e-01,-5.912870984969842425e-03,7.438773174639479180e-03,-2.155770854141115800e-01,2.860901268013874010e-01,-7.434300000000000023e-04,1.210750000000000021e-03,-1.146780000000000022e-01,1.867340000000000111e-01,-1.160509590041711281e+00,1.845888739467022588e-01,-2.441263668295896583e-01,1.845888739467022588e-01,-1.186813186813186149e+00,6.153846153846131983e-02,-3.290040000000000187e-01,0.000000000000000000e+00
5.832552909851074219e-02,-7.057297627222069991e-03,8.964675364309115935e-03,-4.577601796018583857e-01,6.103469061358112180e-01,-7.057297627222069991e-03,8.964675364309115935e-03,-2.640137042516609855e-01,3.509414826682721866e-01,-8.625479999999999823e-04,1.404709999999999986e-03,-1.235580000000000012e-01,2.011819999999999997e-01,-1.112603434236353994e+00,1.854280522204400095e-01,-2.455340301683863746e-01,1.854280522204400095e-01,-1.169230769230768630e+00,7.912087912087883979e-02,-3.294739999999999891e-01,0.000000000000000000e+00
6.082558631896972656e-02,-8.201724269474297557e-03,1.049057755397875269e-02,-4.577601796018583857e-01,6.103469061358112180e-01,-8.201724269474297557e-03,1.049057755397875269e-02,-3.027629993217004767e-01,4.028225673617800151e-01,-9.905479999999999494e-04,1.613120000000000005e-03,-1.324400000000000022e-01,2.156329999999999913e-01,-1.081478100342325943e+00,1.859200144331243088e-01,-2.463474341387554833e-01,1.859200144331243088e-01,-1.134065934065933590e+00,8.498168498168467977e-02,-3.299320000000000030e-01,0.000000000000000000e+00
6.332564353942871094e-02,-8.964675364309115935e-03,1.201647974364838944e-02,-3.051734530679056090e-01,6.103469061358112180e-01,-8.964675364309115935e-03,1.201647974364838944e-02,-3.032450900709415254e-01,4.443274351165862890e-01,-1.127430000000000012e-03,1.835980000000000077e-03,-1.413250000000000062e-01,2.300840000000000107e-01,-1.104518110844749712e+00,1.862396314781665785e-01,-2.463563084991995389e-01,1.862396314781665785e-01,-1.110622710622710230e+00,1.025641025641021997e-01,-3.303769999999999762e-01,0.000000000000000000e+00
