time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-3.186261470902000403e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,8.791208791208759976e-03
5.721569061279296875e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-4.208976694484046766e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.930402930402919992e-03,2.930402930402919992e-03
1.100373268127441406e-02,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-5.164391143720695743e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.494505494505489196e-01,2.930402930402919992e-03
1.655435562133789062e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,-6.872661889244573163e-02,-6.872661889244573163e-02,-1.907377737087045944e-04,-1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-6.212482957547142970e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.666666666666674956e-01,8.791208791208759976e-03
2.175021171569824219e-02,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,7.341919031042211385e-02,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-7.143707902651803554e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.014652014652018153e-01,8.791208791208759976e-03
2.683639526367187500e-02,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-8.074562528148796492e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.421245421245419749e-01,2.930402930402919992e-03
3.422188758850097656e-02,-5.722133211261137831e-04,1.907377737087045944e-04,-5.165201324967004515e-02,0.000000000000000000e+00,-5.722133211261137831e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-9.436547249820215200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.710622710622704545e-01,8.791208791208759976e-03
3.917622566223144531e-02,-9.536888685435229718e-04,1.907377737087045944e-04,-7.699828750890418128e-02,0.000000000000000000e+00,-9.536888685435229718e-04,1.907377737087045944e-04,0.000000000000000000e+00,0.000000000000000000e+00,-1.034703572445687003e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.589743589743598307e-01,2.930402930402919992e-03
4.297494888305664062e-02,-1.335164415960932160e-03,5.722133211261137831e-04,-1.004220432081233266e-01,1.004220432081233266e-01,-1.335164415960932160e-03,5.722133211261137831e-04,-2.008440864162466810e-02,2.008440864162466810e-02,-1.245033142706867935e+00,1.330798294123091696e-01,-1.774330777468650366e-01,1.330798294123091696e-01,-8.644688644688649504e-01,8.791208791208759976e-03
4.622626304626464844e-02,-1.716639963378341349e-03,1.907377737087045944e-04,-1.173296483416461922e-01,-1.173296483416461922e-01,-1.716639963378341349e-03,1.907377737087045944e-04,-3.953345658162897569e-02,-7.398402755029502564e-03,-1.322051793840693490e+00,-7.644345202572193354e-02,-2.117263873805096952e-01,-7.644345202572193354e-02,-9.523809523809525501e-01,2.930402930402919992e-03
4.932308197021484375e-02,-2.098115510795750538e-03,5.722133211261137831e-04,-1.231830329074623948e-01,1.231830329074623948e-01,-2.098115510795750538e-03,5.722133211261137831e-04,-5.626337184679566783e-02,1.871788437746887968e-02,-1.355521479853523559e+00,1.296339386798858462e-01,-2.232398887778624941e-01,1.296339386798858462e-01,-1.104761904761904390e+00,4.981684981684963986e-02
5.188608169555664062e-02,-2.479591058213159727e-03,5.722133211261137831e-04,-1.488394804125608428e-01,0.000000000000000000e+00,-2.479591058213159727e-03,5.722133211261137831e-04,-7.477859355994870283e-02,1.497430750197510478e-02,-1.383668520074963659e+00,1.178552438841972833e-01,-2.301318879341113233e-01,1.178552438841972833e-01,-1.198534798534797829e+00,2.930402930402919992e-03
5.438613891601562500e-02,-2.861066605630568915e-03,9.536888685435229718e-04,-1.525867265339528045e-01,1.525867265339528045e-01,-2.861066605630568915e-03,9.536888685435229718e-04,-9.034022015474953149e-02,4.249679130837064750e-02,-1.399144868139486908e+00,1.608051559009972264e-01,-2.337787345707521280e-01,1.608051559009972264e-01,-1.239560439560438709e+00,2.637362637362627993e-02
5.688619613647460938e-02,-3.624017700465387293e-03,1.335164415960932160e-03,-3.051734530679056090e-01,1.525867265339528045e-01,-3.624017700465387293e-03,1.335164415960932160e-03,-1.333068667373807636e-01,6.451477835348708167e-02,-1.381153228218201079e+00,1.701065377067984830e-01,-2.394807743826885549e-01,1.701065377067984830e-01,-1.286446886446887206e+00,4.981684981684963986e-02
5.938625335693359375e-02,-4.005493247882796481e-03,1.716639963378341349e-03,-1.525867265339528045e-01,1.525867265339528045e-01,-4.005493247882796481e-03,1.716639963378341349e-03,-1.371628386966951829e-01,8.212916798958022624e-02,-1.412053060758086787e+00,1.740381272971495974e-01,-2.398202099340506210e-01,1.740381272971495974e-01,-1.327472527472528085e+00,7.912087912087883979e-02
6.188631057739257812e-02,-4.768444342717614859e-03,2.479591058213159727e-03,-3.051734530679056090e-01,3.051734530679056090e-01,-4.768444342717614859e-03,2.479591058213159727e-03,-1.707649615709372903e-01,1.267380250052453083e-01,-1.393659363840487719e+00,1.791735229459608392e-01,-2.421392619774051791e-01,1.791735229459608392e-01,-1.339194139194139765e+00,7.912087912087883979e-02
6.438636779785156250e-02,-5.149919890135024048e-03,3.242542153047978104e-03,-1.525867265339528045e-01,3.051734530679056090e-01,-5.149919890135024048e-03,3.242542153047978104e-03,-1.671293145635404098e-01,1.624251106177773685e-01,-1.425742400208726002e+00,1.812792776450725951e-01,-2.419325164694674513e-01,1.812792776450725951e-01,-1.368498168498168965e+00,9.084249084249051975e-02
6.688642501831054688e-02,-6.294346532387251614e-03,4.005493247882796481e-03,-4.577601796018583857e-01,3.051734530679056090e-01,-6.294346532387251614e-03,4.005493247882796481e-03,-2.252554875712040050e-01,1.909747791078030277e-01,-1.378938539050368339e+00,1.824087152397279865e-01,-2.444542829633041536e-01,1.824087152397279865e-01,-1.356776556776557285e+00,1.025641025641021997e-01
6.938648223876953125e-02,-7.438773174639479180e-03,5.149919890135024048e-03,-4.577601796018583857e-01,4.577601796018583857e-01,-7.438773174639479180e-03,5.149919890135024048e-03,-2.717564259773349034e-01,2.443318592066140993e-01,-1.336696210363081283e+00,1.838312776912866264e-01,-2.457141987037137487e-01,1.838312776912866264e-01,-1.368498168498168965e+00,1.201465201465197197e-01
7.188653945922851562e-02,-8.583199816891706746e-03,6.294346532387251614e-03,-4.577601796018583857e-01,4.577601796018583857e-01,-8.583199816891706746e-03,6.294346532387251614e-03,-3.089571767022395998e-01,2.870175232856629899e-01,-1.309852886229411206e+00,1.846033378569469641e-01,-2.464594655388710198e-01,1.846033378569469641e-01,-1.345054945054945605e+00,1.142857142857138797e-01
7.438659667968750000e-02,-9.727626459143934312e-03,8.201724269474297557e-03,-4.577601796018583857e-01,7.629336326697639947e-01,-9.727626459143934312e-03,8.201724269474297557e-03,-3.387177772821634014e-01,3.822007451624832020e-01,-1.271703671194152063e+00,1.857387648115780554e-01,-2.469438051980767102e-01,1.857387648115780554e-01,-1.309890109890110566e+00,1.142857142857138797e-01
7.688665390014648438e-02,-1.125352864881357107e-02,9.727626459143934312e-03,-6.103469061358112180e-01,6.103469061358112180e-01,-1.125352864881357107e-02,9.727626459143934312e-03,-3.930436030528929869e-01,4.278299773571488385e-01,-1.218473368147094948e+00,1.861190472769519155e-01,-2.476505387496025223e-01,1.861190472769519155e-01,-1.239560439560438709e+00,1.260073260073255597e-01
7.938671112060546875e-02,-1.277943083848320782e-02,1.125352864881357107e-02,-6.103469061358112180e-01,6.103469061358112180e-01,-1.277943083848320782e-02,1.125352864881357107e-02,-4.365042636694766998e-01,4.643333631128813699e-01,-1.182499699362407952e+00,1.863759418593018413e-01,-2.480990722203184895e-01,1.863759418593018413e-01,-1.221978021978021189e+00,1.201465201465197197e-01
8.188676834106445312e-02,-1.430533302815284458e-02,1.354238193331802620e-02,-6.103469061358112180e-01,9.155203592037167715e-01,-1.430533302815284458e-02,1.354238193331802620e-02,-4.712727921627436478e-01,5.545707623310485168e-01,-1.136461009046107806e+00,1.868865287816609544e-01,-2.484041332247328704e-01,1.868865287816609544e-01,-1.233699633699632869e+00,1.142857142857138797e-01
8.438682556152343750e-02,-1.583123521782248133e-02,1.544975967040507214e-02,-6.103469061358112180e-01,7.629336326697639947e-01,-1.583123521782248133e-02,1.544975967040507214e-02,-4.990876149573572063e-01,5.962433363987916790e-01,-1.117078366281762936e+00,1.870793901186548758e-01,-2.486210788706869068e-01,1.870793901186548758e-01,-1.180952380952380310e+00,9.670329670329635974e-02
8.688688278198242188e-02,-1.773861295490952728e-02,1.812008850232693646e-02,-7.629336326697639947e-01,1.068107085737669548e+00,-1.773861295490952728e-02,1.812008850232693646e-02,-5.518568184998385862e-01,6.906160862665673417e-01,-1.042958949546853864e+00,1.874487177354630940e-01,-2.489802836138512443e-01,1.874487177354630940e-01,-1.163369963369962790e+00,7.912087912087883979e-02
