time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,pos_filt1,pos_filt2,vel_filt1,vel_filt2,tau_con1,tau_con2,tau_fric1,tau_fric2,tau_meas1,tau_meas2
0.000000000000000000e+00,1.907377737087045944e-04,5.722133211261137831e-04,5.494505494507251342e-03,5.494505494507251342e-03,1.907377737087045944e-04,5.722133211261137831e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.893402099609375000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.791208791208759976e-03,8.791208791208759976e-03
3.658056259155273438e-03,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-1.042836742771967029e-01,1.907377737087045944e-04,1.907377737087045944e-04,0.000000000000000000e+00,-2.085673485543934266e-02,4.760857582092285156e+00,-1.348665559200048769e-01,0.000000000000000000e+00,-1.348665559200048769e-01,8.791208791208759976e-03,2.930402930402919992e-03
6.781339645385742188e-03,2.098115510795750538e-03,5.722133211261137831e-04,6.106963413874156865e-01,1.221392682774831290e-01,2.098115510795750538e-03,5.722133211261137831e-04,1.221392682774831429e-01,7.742465771145155135e-03,5.000000000000000000e+00,7.906844540486132611e-02,2.383789049583637520e-01,7.906844540486132611e-02,2.358974358974359475e+00,2.930402930402919992e-03
1.036095619201660156e-02,8.964675364309115935e-03,1.907377737087045944e-04,1.918238940977122775e+00,-1.065688300542846079e-01,8.964675364309115935e-03,1.907377737087045944e-04,4.813592028174110693e-01,-1.511979339394079955e-02,5.000000000000000000e+00,-1.183902466078150945e-01,2.484853284683396224e-01,-1.183902466078150945e-01,3.331868131868132465e+00,-1.465201465201459996e-02
1.364946365356445312e-02,1.277943083848320782e-02,-3.242542153047978104e-03,1.160026400663401125e+00,-1.044023760597060813e+00,1.277943083848320782e-02,-3.242542153047978104e-03,6.170926423866091026e-01,-2.209005868345648160e-01,4.041348168908821314e+00,-1.832878581752861169e-01,2.493519282929766989e-01,-1.832878581752861169e-01,4.908424908424908750e+00,3.194139194139200555e-01
1.706814765930175781e-02,1.544975967040507214e-02,-8.583199816891706746e-03,7.810984657957460442e-01,-1.562196931591492088e+00,1.544975967040507214e-02,-8.583199816891706746e-03,6.498938070684364687e-01,-4.891598557859502816e-01,5.000000000000000000e+00,-1.865318749595774317e-01,2.495155596880904714e-01,-1.865318749595774317e-01,4.967032967032967150e+00,2.256410256410248394e-01
2.066493034362792969e-02,1.964599069199657322e-02,-1.659418631265729971e-02,1.166662372980599160e+00,-2.227264530235689488e+00,1.964599069199657322e-02,-1.659418631265729971e-02,7.532475202508690515e-01,-8.367807906758981673e-01,4.904713194838313584e+00,-1.878983409325895582e-01,2.499566488178059376e-01,-1.878983409325895582e-01,4.029304029304029200e+00,1.670329670329664395e-01
2.451276779174804688e-02,2.613107499809252943e-02,-2.651255054550993862e-02,1.685384165400303225e+00,-2.577646370612228566e+00,2.613107499809252943e-02,-2.651255054550993862e-02,9.396748492807559527e-01,-1.184953906663164247e+00,5.000000000000000000e+00,-1.886678395431123645e-01,2.505644347728162580e-01,-1.886678395431123645e-01,4.574358974358974095e+00,1.553113553113547596e-01
2.799534797668457031e-02,3.261615930418848563e-02,-3.833829251544962347e-02,1.862149315081501610e+00,-3.395684045148620545e+00,3.261615930418848563e-02,-3.833829251544962347e-02,1.124169742440905173e+00,-1.627099934360255684e+00,5.000000000000000000e+00,-1.893851599549243592e-01,2.510283469616320096e-01,-1.893851599549243592e-01,4.773626373626373542e+00,2.608058608058616556e-01
3.159427642822265625e-02,4.139009689478889698e-02,-5.092698558022412669e-02,2.437930542034161707e+00,-3.497900342918579319e+00,4.139009689478889698e-02,-5.092698558022412669e-02,1.386921902359556480e+00,-2.001260016071920500e+00,5.000000000000000000e+00,-1.898972019887719687e-01,2.515607203691366811e-01,-1.898972019887719687e-01,4.591941391941391615e+00,2.197802197802189994e-01
3.521156311035156250e-02,5.207141222247635426e-02,-6.580453192950308505e-02,2.952852860808121260e+00,-4.112902198982739677e+00,5.207141222247635426e-02,-6.580453192950308505e-02,1.700108094049269436e+00,-2.423588452654084513e+00,5.000000000000000000e+00,-1.904240169090087864e-01,2.520864146045533882e-01,-1.904240169090087864e-01,4.732600732600732663e+00,1.494505494505489196e-01
3.872442245483398438e-02,6.275272755016381154e-02,-8.335240711070390773e-02,3.040632795179911252e+00,-4.995325306366996898e+00,6.275272755016381154e-02,-8.335240711070390773e-02,1.968213034275398066e+00,-2.937935823396667256e+00,5.000000000000000000e+00,-1.910250465777016682e-01,2.524827121840758082e-01,-1.910250465777016682e-01,4.802930402930402742e+00,2.080586080586073194e-01
4.211688041687011719e-02,7.457846952010349639e-02,-1.012817578393221396e-01,3.485891970446686194e+00,-5.285062019709492631e+00,7.457846952010349639e-02,-1.012817578393221396e-01,2.271748821509655514e+00,-3.407361062659232331e+00,5.000000000000000000e+00,-1.915507425860801527e-01,2.528948624420706004e-01,-1.915507425860801527e-01,4.656410256410256743e+00,2.959706959706966956e-01
4.461693763732910156e-02,8.335240711070390773e-02,-1.138704509040966428e-01,3.509494710280914198e+00,-5.035361975620442188e+00,8.335240711070390773e-02,-1.138704509040966428e-01,2.519297999263907517e+00,-3.732961245251474658e+00,4.868554233101682449e+00,-1.919070606193217232e-01,2.532116160667700067e-01,-1.919070606193217232e-01,4.791208791208791062e+00,1.553113553113547596e-01
4.711699485778808594e-02,9.250782024872172826e-02,-1.264591439688711461e-01,3.662081436814867086e+00,-5.035361975620442188e+00,9.250782024872172826e-02,-1.264591439688711461e-01,2.747854686774099608e+00,-3.993441391325268430e+00,3.921463892891020819e+00,-1.921885085312819708e-01,2.534929971238088497e-01,-1.921885085312819708e-01,4.744322344322344343e+00,1.084249084249080397e-01
4.961705207824707031e-02,1.031891355764091855e-01,-1.428625925078197412e-01,4.272428342950678193e+00,-6.561229240959970177e+00,1.031891355764091855e-01,-1.428625925078197412e-01,3.052769418009415592e+00,-4.506998961252208780e+00,4.667712575662385177e+00,-1.927363060560726149e-01,2.538560693147288161e-01,-1.927363060560726149e-01,4.627106227106227543e+00,2.373626373626365194e-01
