time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.636120000000000019e-01
2.000000000000000042e-03,7.571476052609778728e-05,-1.475563550602852314e-04,7.571121212344956997e-02,-1.475496299604613093e-01,0.000000000000000000e+00,-5.370449474546427071e-01
4.000000000000000083e-03,2.992474772168297902e-04,-5.831893208856759030e-04,1.478110185088539752e-01,-2.880634614392570958e-01,0.000000000000000000e+00,-5.119922427746806948e-01
6.000000000000000125e-03,6.635377767329527637e-04,-1.293146056820124786e-03,2.164621596870524023e-01,-4.218608218714776648e-01,0.000000000000000000e+00,-4.883858701574013139e-01
8.000000000000000167e-03,1.161843391150778728e-03,-2.264297895167853222e-03,2.818199739024442319e-01,-5.492465054653461465e-01,0.000000000000000000e+00,-4.661608128202475720e-01
1.000000000000000021e-02,1.787725611161737095e-03,-3.484111780809794230e-03,3.440326603698350971e-01,-6.705112899967433648e-01,0.000000000000000000e+00,-4.452540574190490541e-01
1.200000000000000025e-02,2.535035162933351426e-03,-4.940622544156350604e-03,4.032414386104613002e-01,-7.859322512548509998e-01,0.000000000000000000e+00,-4.256045867536909499e-01
1.400000000000000029e-02,3.397898427146287849e-03,-6.622405848905804637e-03,4.595807304144153282e-01,-8.957731216803634933e-01,0.000000000000000000e+00,-4.071553850473408898e-01
1.600000000000000033e-02,4.370704310584721565e-03,-8.518552419613288976e-03,5.131786296936344804e-01,-1.000285210091159893e+00,0.000000000000000000e+00,-3.898534358707992364e-01
1.800000000000000211e-02,5.448092071980086687e-03,-1.061864413705669065e-02,5.641573862583773025e-01,-1.099708348531518665e+00,0.000000000000000000e+00,-3.736447365975105184e-01
2.000000000000000389e-02,6.624939456937813803e-03,-1.291273074400614562e-02,6.126332306513631032e-01,-1.194270554899827141e+00,0.000000000000000000e+00,-3.584792483713927225e-01
2.200000000000000566e-02,7.896351156098954313e-03,-1.539130718884524490e-02,6.587168721522791426e-01,-1.284189007395368787e+00,0.000000000000000000e+00,-3.443099842073192862e-01
