time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-3.788341857517480609e-04,7.382892212133616936e-04,-3.788163149583824718e-01,7.382553436975075600e-01,0.000000000000000000e+00,2.819998551646915264e+00
4.000000000000000083e-03,-1.515120853629615353e-03,2.952747526370438046e-03,-7.574152983927808780e-01,1.476098496374543156e+00,0.000000000000000000e+00,2.819998551646915264e+00
6.000000000000000125e-03,-3.408195012473333278e-03,6.642112817956563955e-03,-1.135562299703270606e+00,2.213083253462330813e+00,0.000000000000000000e+00,2.819998551646915264e+00
8.000000000000000167e-03,-6.056890735590668776e-03,1.180416846154404634e-02,-1.512988201414543710e+00,2.948695719668781745e+00,0.000000000000000000e+00,2.819998551646915264e+00
1.000000000000000021e-02,-9.459455376469562415e-03,1.843557481085306843e-02,-1.889372653832890103e+00,3.682321382738773519e+00,0.000000000000000000e+00,2.819998551646915264e+00
1.200000000000000025e-02,-1.361343086861489284e-02,2.653163608719296546e-02,-2.264327981151223579e+00,4.413213505180166862e+00,0.000000000000000000e+00,2.819998551646915264e+00
1.400000000000000029e-02,-1.851550383215013265e-02,3.608600599407084386e-02,-2.637384159852889542e+00,5.140463620168352676e+00,0.000000000000000000e+00,2.819998551646915264e+00
1.600000000000000033e-02,-2.416132714629300876e-02,4.709033728425070925e-02,-3.007975408569928177e+00,5.862975188844806063e+00,0.000000000000000000e+00,2.819998551646915264e+00
1.800000000000000211e-02,-3.054531687660181141e-02,5.953388290779110248e-02,-3.375429081039921897e+00,6.579441775023754602e+00,0.000000000000000000e+00,2.819998551646915264e+00
2.000000000000000389e-02,-3.766042998005382503e-02,7.340305937726591956e-02,-3.738957702052677856e+00,7.288331383819279807e+00,0.000000000000000000e+00,2.819998551646915264e+00
2.200000000000000566e-02,-4.549673642642421134e-02,8.867866049978787024e-02,-4.096462858004897178e+00,7.985555449141156892e+00,0.000000000000000000e+00,2.811040132759932142e+00
2.400000000000000744e-02,-5.404238799177880220e-02,1.053377416576436187e-01,-4.448123572096066347e+00,8.671461756372835339e+00,0.000000000000000000e+00,2.811040132759932142e+00
2.600000000000000921e-02,-6.328458456334842830e-02,1.233554991095900388e-01,-4.792811412896097245e+00,9.343848257464419049e+00,0.000000000000000000e+00,2.811040132759932142e+00
2.800000000000001099e-02,-7.320817124852009583e-02,1.427025324528524708e-01,-5.129302999175894051e+00,1.000032614965151190e+01,0.000000000000000000e+00,2.811040132759932142e+00
3.000000000000001277e-02,-8.379546873660349837e-02,1.633445107984244360e-01,-5.456301488750306738e+00,1.063836196726068728e+01,0.000000000000000000e+00,2.811040132759932142e+00
3.200000000000001454e-02,-9.502615394783203717e-02,1.852419374645729033e-01,-5.772465321344603773e+00,1.125533389959724850e+01,0.000000000000000000e+00,2.811040132759932142e+00
3.400000000000001632e-02,-1.068772049220552828e-01,2.083500405538468991e-01,-6.076443544882954129e+00,1.184860102271732174e+01,0.000000000000000000e+00,2.811040132759932142e+00
3.600000000000001810e-02,-1.193229218456794555e-01,2.326188127581222398e-01,-6.366916334601193661e+00,1.241558272218916237e+01,0.000000000000000000e+00,2.811040132759932142e+00
3.800000000000001987e-02,-1.323350326109882236e-01,2.579932168732319009e-01,-6.642638601569400336e+00,1.295384418711599217e+01,0.000000000000000000e+00,2.811040132759932142e+00
4.000000000000002165e-02,-1.458828864744484977e-01,2.844135640487045480e-01,-6.902483997107488278e+00,1.346118269901736930e+01,0.000000000000000000e+00,2.811040132759932142e+00
4.200000000000002343e-02,-1.596536230793501043e-01,3.112704504693033503e-01,-6.867025098773678948e+00,1.339333533534140308e+01,0.000000000000000000e+00,5.025390974724084359e-01
4.400000000000002520e-02,-1.733462799274408939e-01,3.379778305674968064e-01,-6.824506987374340916e+00,1.331187808685812790e+01,0.000000000000000000e+00,5.025390974724086579e-01
4.600000000000002698e-02,-1.869473604742866168e-01,3.645097054715422669e-01,-6.775553607910937082e+00,1.321803592322948084e+01,0.000000000000000000e+00,5.025390974724086579e-01
4.800000000000002875e-02,-2.004446238125883462e-01,3.908425415996615304e-01,-6.720794414339278156e+00,1.311304477773403754e+01,0.000000000000000000e+00,5.025390974724086579e-01
5.000000000000003053e-02,-2.138270828951115143e-01,4.169552675064703284e-01,-6.660851901885464166e+00,1.299812710722895126e+01,0.000000000000000000e+00,5.025390974724086579e-01
5.200000000000003231e-02,-2.270849798481532067e-01,4.428292258158597616e-01,-6.596331189269576178e+00,1.287447146577043888e+01,0.000000000000000000e+00,5.025390974724086579e-01
5.400000000000003408e-02,-2.402097425675306375e-01,4.684480884488793073e-01,-6.527811718459489043e+00,1.274321622504166207e+01,0.000000000000000000e+00,5.025390974724086579e-01
5.600000000000003586e-02,-2.531939267881593847e-01,4.937977433547166006e-01,-6.455841009128045371e+00,1.260543731916330046e+01,0.000000000000000000e+00,5.025390974724086579e-01
5.800000000000003764e-02,-2.660311475914722834e-01,5.188661605097827367e-01,-6.380930309694178959e+00,1.246213970472101096e+01,0.000000000000000000e+00,5.025390974724086579e-01
6.000000000000003941e-02,-2.787160039320318861e-01,5.436432442009080379e-01,-6.303551925543031231e+00,1.231425210669639725e+01,0.000000000000000000e+00,5.025390974724086579e-01
6.200000000000004119e-02,-2.913116651673001156e-01,5.682523156563111799e-01,-6.291294763240850685e+00,1.229326249786318570e+01,0.000000000000000000e+00,1.187384771836033082e+00
6.400000000000004297e-02,-3.038780605178289518e-01,5.928103343562819427e-01,-6.274353654186011653e+00,1.226333265350931434e+01,0.000000000000000000e+00,1.187384771836033082e+00
6.600000000000004474e-02,-3.164062240367741530e-01,6.173002123915585226e-01,-6.253128500412254986e+00,1.222525116140259982e+01,0.000000000000000000e+00,1.187384771836033082e+00
6.800000000000004652e-02,-3.288879761146920044e-01,6.417064128337109929e-01,-6.228005175204836874e+00,1.217977931245229506e+01,0.000000000000000000e+00,1.187384771836033082e+00
7.000000000000004829e-02,-3.413158923298399428e-01,6.660148890773727182e-01,-6.199352568123782881e+00,1.212764530539041807e+01,0.000000000000000000e+00,1.187384771836033082e+00
7.200000000000005007e-02,-3.536832671871552591e-01,6.902130141558940890e-01,-6.167520415602569805e+00,1.206953998998165645e+01,0.000000000000000000e+00,1.187384771836033082e+00
7.400000000000005185e-02,-3.659840742342169717e-01,7.142895029454440214e-01,-6.132837832362085351e+00,1.200611398297327703e+01,0.000000000000000000e+00,1.187384771836033082e+00
7.600000000000005362e-02,-3.782129238639671542e-01,7.382343298233141615e-01,-6.095612451041536595e+00,1.193797597559401247e+01,0.000000000000000000e+00,1.187384771836033082e+00
7.800000000000005540e-02,-3.903650199262525544e-01,7.620386439788177091e-01,-6.056130075834397886e+00,1.186569204820314027e+01,0.000000000000000000e+00,1.187384771836033082e+00
8.000000000000005718e-02,-4.024361160842195306e-01,7.856946842110240636e-01,-6.014654758965856551e+00,1.178978581361890043e+01,0.000000000000000000e+00,1.187384771836033082e+00
8.200000000000005895e-02,-4.144590499060588074e-01,8.092667135182978200e-01,-6.007725831958959262e+00,1.178120594438154001e+01,0.000000000000000000e+00,1.654259478553919527e+00
8.400000000000006073e-02,-4.264648968849234500e-01,8.328155375290450246e-01,-5.997612619358078767e+00,1.176666942046506037e+01,0.000000000000000000e+00,1.654259478553919527e+00
8.600000000000006251e-02,-4.384475519230743856e-01,8.563297671389957788e-01,-5.984576188728482293e+00,1.174669577600182357e+01,0.000000000000000000e+00,1.654259478553919527e+00
8.800000000000006428e-02,-4.504014174606988941e-01,8.797990239698078030e-01,-5.968862942351532475e+00,1.172177606969294850e+01,0.000000000000000000e+00,1.654259478553919527e+00
