time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,-1.253287067528064693e-05,2.998757484552233129e-05,-1.253249418824346414e-02,2.998640901969170519e-02,-3.851265741501653794e-01,0.000000000000000000e+00
4.000000000000000083e-03,-5.029911844871859405e-05,1.203482239749020680e-04,-2.523261911625892390e-02,6.037072715867924932e-02,-3.904167300155393927e-01,0.000000000000000000e+00
6.000000000000000125e-03,-1.136274035906903831e-04,2.718587556705547069e-04,-3.809376361995919780e-02,9.113391370548842851e-02,-3.956444127380733256e-01,0.000000000000000000e+00
8.000000000000000167e-03,-2.028331030487165877e-04,4.852577097911897511e-04,-5.110925587500433215e-02,1.222567420302388963e-01,-4.008095630873154125e-01,0.000000000000000000e+00
1.000000000000000021e-02,-3.182181925828753144e-04,7.612449958843865716e-04,-6.427236684896837915e-02,1.537198095219603211e-01,-4.059121668166886798e-01,0.000000000000000000e+00
1.200000000000000025e-02,-4.600711357931536790e-04,1.100481551123863718e-03,-7.757631374169225713e-02,1.855035474777297355e-01,-4.109522550206379798e-01,0.000000000000000000e+00
1.400000000000000029e-02,-6.286667800117469798e-04,1.503589017969444563e-03,-9.101426341054066893e-02,2.175882309382401736e-01,-4.159299042735555285e-01,0.000000000000000000e+00
1.600000000000000033e-02,-8.242662590275858783e-04,1.971149441439297174e-03,-1.045793357781098359e-01,2.499539884667537071e-01,-4.208452365612562751e-01,0.000000000000000000e+00
1.800000000000000211e-02,-1.047116902606246751e-03,2.503704985880150780e-03,-1.182646072207114152e-01,2.825808118705943617e-01,-4.256984190150790992e-01,0.000000000000000000e+00
2.000000000000000389e-02,-1.297452152765783250e-03,3.101757671121570768e-03,-1.320631139366827966e-01,3.154485658663904735e-01,-4.304896634580224202e-01,0.000000000000000000e+00
2.200000000000000566e-02,-1.575491486767792351e-03,3.765769127904711969e-03,-1.459678552942446084e-01,3.485369976921756097e-01,-4.352192257716827606e-01,0.000000000000000000e+00
2.400000000000000744e-02,-1.881440346783090807e-03,4.496160372483948113e-03,-1.599717971592408416e-01,3.818257466711985071e-01,-4.398874050921884327e-01,0.000000000000000000e+00
2.600000000000000921e-02,-2.215490076192613497e-03,5.293311600311066678e-03,-1.740678752036542154e-01,4.152943537338681934e-01,-4.444945428427543588e-01,0.000000000000000000e+00
2.800000000000001099e-02,-2.577817862486432576e-03,6.157561998726014847e-03,-1.882489981962878201e-01,4.489222709056697180e-01,-4.490410216099767760e-01,0.000000000000000000e+00
3.000000000000001277e-02,-2.968586686727032499e-03,7.089209578595088469e-03,-2.025080512774445063e-01,4.826888707701222914e-01,-4.535272638705258874e-01,0.000000000000000000e+00
3.200000000000001454e-02,-3.387945279547018192e-03,8.088511024856716997e-03,-2.168378992198153332e-01,5.165734559169142814e-01,-4.579537305744569298e-01,0.000000000000000000e+00
3.400000000000001632e-02,-3.836028083656190055e-03,9.155681565956143644e-03,-2.312313896781080791e-01,5.505552683862354746e-01,-4.623209195909834812e-01,0.000000000000000000e+00
3.600000000000001810e-02,-4.312955222838246380e-03,1.029089486217310383e-02,-2.456813564302071651e-01,5.846134991210358844e-01,-4.666293640222217154e-01,0.000000000000000000e+00
3.800000000000001987e-02,-4.818832477423169898e-03,1.149428291287058618e-02,-2.601806226128559607e-01,6.187272974394679714e-01,-4.708796303901199853e-01,0.000000000000000000e+00
4.000000000000002165e-02,-5.353751266227473569e-03,1.276593598271769450e-02,-2.747220039549912451e-01,6.528757805401196324e-01,-4.750723167015200032e-01,0.000000000000000000e+00
4.200000000000002343e-02,-5.917788634960844535e-03,1.410590254696498548e-02,-2.892983120119403395e-01,6.870380430528157945e-01,-4.792080503961208549e-01,0.000000000000000000e+00
4.400000000000002520e-02,-6.511007251104160114e-03,1.551418925587628485e-02,-3.039023574037118536e-01,7.211931666477582326e-01,-4.832874861819059786e-01,0.000000000000000000e+00
4.600000000000002698e-02,-7.133455405270302044e-03,1.699076091844632999e-02,-3.185269530605736588e-01,7.553202297155887646e-01,-4.873113037625110278e-01,0.000000000000000000e+00
4.800000000000002875e-02,-7.785167019065470512e-03,1.853554050555845240e-02,-3.331649174790169976e-01,7.893983171306017121e-01,-4.912802054608844116e-01,0.000000000000000000e+00
5.000000000000003053e-02,-8.466161659474785370e-03,2.014840917276044044e-02,-3.478090779910548713e-01,8.234065301088001609e-01,-4.951949137435666115e-01,0.000000000000000000e+00
5.200000000000003231e-02,-9.176444559801637951e-03,2.182920630285944963e-02,-3.624522740495972895e-01,8.573239961717924462e-01,-4.990561686498909966e-01,0.000000000000000000e+00
5.400000000000003408e-02,-9.916006647195508769e-03,2.357772956855799448e-02,-3.770873605323878386e-01,8.911298792266604263e-01,-5.028647251304249055e-01,0.000000000000000000e+00
5.600000000000003586e-02,-1.068482457680761978e-02,2.539373501537230821e-02,-3.917072110666757756e-01,9.248033897709093676e-01,-5.066213502990315476e-01,0.000000000000000000e+00
5.800000000000003764e-02,-1.148286077261780405e-02,2.727693716509143468e-02,-4.063047213764396925e-01,9.583237952304347607e-01,-5.103268206029971665e-01,0.000000000000000000e+00
6.000000000000003941e-02,-1.231006347497919790e-02,2.922700914004999762e-02,-4.208728126535733471e-01,9.916704304371168899e-01,-5.139819189157976975e-01,0.000000000000000000e+00
6.200000000000004119e-02,-1.316636679492975102e-02,3.124358280849936359e-02,-4.354044349539940018e-01,1.024822708251195369e+00,-5.175874315571861173e-01,0.000000000000000000e+00
6.400000000000004297e-02,-1.405169077532096751e-02,3.332624895137065862e-02,-4.498925706191435614e-01,1.057760130331980575e+00,-5.211441452454552703e-01,0.000000000000000000e+00
6.600000000000004474e-02,-1.496594145881475178e-02,3.547455745072853467e-02,-4.643302377228238909e-01,1.090462298058747059e+00,-5.246528439868944904e-01,0.000000000000000000e+00
6.800000000000004652e-02,-1.590901096279850185e-02,3.768801750021643499e-02,-4.787104935427432539e-01,1.122908923601825260e+00,-5.281143059076452984e-01,0.000000000000000000e+00
7.000000000000004829e-02,-1.688077756126680345e-02,3.996609783779225128e-02,-4.930264380555567927e-01,1.155079841141983588e+00,-5.315293000333680684e-01,0.000000000000000000e+00
7.200000000000005007e-02,-1.788110577371501697e-02,4.230822700104749229e-02,-5.072712174535620733e-01,1.186955018234174153e+00,-5.348985830223341731e-01,0.000000000000000000e+00
7.400000000000005185e-02,-1.890984646108571574e-02,4.471379360539305681e-02,-5.214380276805653525e-01,1.218514567309623375e+00,-5.382228958577830458e-01,0.000000000000000000e+00
7.600000000000005362e-02,-1.996683692880332067e-02,4.718214664538059044e-02,-5.355201179837717484e-01,1.249738757308094028e+00,-5.415029605056014272e-01,0.000000000000000000e+00
7.800000000000005540e-02,-2.105190103692531484e-02,4.971259581940989936e-02,-5.495107944778745424e-01,1.280608025429937458e+00,-5.447394765435876751e-01,0.000000000000000000e+00
8.000000000000005718e-02,-2.216484931743007217e-02,5.230441187804979464e-02,-5.634034237168337178e-01,1.311102988995320295e+00,-5.479331177688078203e-01,0.000000000000000000e+00
8.200000000000005895e-02,-2.330547909865162901e-02,5.495682699617238098e-02,-5.771914362681447308e-01,1.341204457395751115e+00,-5.510845287897251366e-01,0.000000000000000000e+00
8.400000000000006073e-02,-2.447357463686066631e-02,5.766903516906865534e-02,-5.908683302837078877e-01,1.370893444120776294e+00,-5.541943216100071457e-01,0.000000000000000000e+00
8.600000000000006251e-02,-2.566890725497847359e-02,6.044019263267697700e-02,-6.044276750607321391e-01,1.400151178840473021e+00,-5.572630722110862855e-01,0.000000000000000000e+00
8.800000000000006428e-02,-2.689123548839689876e-02,6.326941830801477429e-02,-6.178631145854355244e-01,1.428959119522156040e+00,-5.602913171407122306e-01,0.000000000000000000e+00
9.000000000000006606e-02,-2.814030523786210589e-02,6.615579426985875033e-02,-6.311683710516561296e-01,1.457298964557562693e+00,-5.632795501148950557e-01,0.000000000000000000e+00
