time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,1.952532674758334968e-04,-4.671852177602920102e-04,1.952473860525215099e-01,-4.671670035236240581e-01,6.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,7.809423040791730469e-04,-1.868521693833219118e-03,3.904238168030641498e-01,-9.341142210455679606e-01,6.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.756852532351147909e-03,-4.203344570315120134e-03,5.854560559194821323e-01,-1.400614536602933669e+00,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-03,3.122618732692132408e-03,-7.470521357661607728e-03,7.802663230117250492e-01,-1.866426230222305582e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,4.877713721874246677e-03,-1.166841554469116859e-02,9.747700683709984437e-01,-2.331285821118449064e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000025e-02,7.021432637756999315e-03,-1.679483607100111173e-02,1.168873808678468906e+00,-2.794901100056219612e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000029e-02,9.552872979410423002e-03,-2.284697312454140802e-02,1.362473051905703780e+00,-3.256944438240159112e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.247091061447321882e-02,-2.982132092084011088e-02,1.555450346013126373e+00,-3.717046479748033594e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.577417204208542839e-02,-3.771358835688011502e-02,1.747673493496441743e+00,-4.174790347443292582e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.946100329184453220e-02,-4.651859871716441941e-02,1.938993981900468011e+00,-4.629706517155438128e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000566e-02,2.352943594763523202e-02,-5.623017994423593763e-02,2.129245688531652636e+00,-5.081268539914644222e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000744e-02,2.797715090924058484e-02,-6.684104736891050003e-02,2.318243925005565309e+00,-5.528889814866092323e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000921e-02,3.280144064205178789e-02,-7.834268121968718246e-02,2.505784893047017459e+00,-5.971921633352978986e+00,6.000000000000000000e+00,0.000000000000000000e+00
2.800000000000001099e-02,3.799917081166596933e-02,-9.072520168306176525e-02,2.691645626054282925e+00,-6.409652724274812030e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001277e-02,4.356674234917067706e-02,-1.039772447467607747e-01,2.875584490185654651e+00,-6.841310528634321209e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.200000000000001454e-02,4.950005513559192771e-02,-1.180858424989998101e-01,3.057342312960354302e+00,-7.266064413596149407e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.400000000000001632e-02,5.579447461922719398e-02,-1.330363119446476006e-01,3.236644195544142288e+00,-7.683031000185831516e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.600000000000001810e-02,6.244480277446911448e-02,-1.488121566939231699e-01,3.413202046260549682e+00,-8.091281721641582436e+00,6.000000000000000000e+00,0.000000000000000000e+00
3.800000000000001987e-02,6.944525486126601477e-02,-1.653949860379896331e-01,3.586717847159764272e+00,-8.489852650553409319e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.000000000000002165e-02,7.678944343667488959e-02,-1.827644559058404505e-01,3.756887633087182099e+00,-8.877756533502108027e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.200000000000002343e-02,8.447037099175566666e-02,-2.008982359604148393e-01,3.923406124844964094e+00,-9.253996855695246992e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.400000000000002520e-02,9.248043242938683295e-02,-2.197720066113989790e-01,4.085971916855745789e+00,-9.617583631606226646e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.600000000000002698e-02,1.008114283576323073e-01,-2.393594889858669528e-01,4.244293078199728342e+00,-9.967550490012124342e+00,6.000000000000000000e+00,0.000000000000000000e+00
4.800000000000002875e-02,1.094545898519125732e-01,-2.596325099144979331e-01,4.398092987654936614e+00,-1.030297250430556133e+01,6.000000000000000000e+00,0.000000000000000000e+00
5.000000000000003053e-02,1.184006149479794323e-01,-2.805611027928963108e-01,4.547116192398147128e+00,-1.062298412372373946e+01,6.000000000000000000e+00,0.000000000000000000e+00
5.200000000000003231e-02,1.276397166849901066e-01,-3.021136438210623720e-01,4.691134060140213613e+00,-1.092679649991949375e+01,6.000000000000000000e+00,0.000000000000000000e+00
5.400000000000003408e-02,1.371616820492834454e-01,-3.242570216874097189e-01,4.829949988795107174e+00,-1.121371348567161519e+01,6.000000000000000000e+00,0.000000000000000000e+00
5.600000000000003586e-02,1.469559407053374900e-01,-3.469568373406525796e-01,4.963403948215397321e+00,-1.148314561431466885e+01,6.000000000000000000e+00,0.000000000000000000e+00
5.800000000000003764e-02,1.570116419736181101e-01,-3.701776291839422028e-01,5.091376155344686794e+00,-1.173462145049927763e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.000000000000003941e-02,1.673177381571546440e-01,-3.938831179275375516e-01,5.213789725812073783e+00,-1.196779583047051432e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.200000000000004119e-02,1.778630720564370049e-01,-4.180364645309894156e-01,5.330612198285243686e+00,-1.218245467321980868e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.400000000000004297e-02,1.886364663644482242e-01,-4.426005342109601282e-01,5.441855888224225168e+00,-1.237851622855408351e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.600000000000004474e-02,1.996268126091277351e-01,-4.675381594132685392e-01,5.547577089700051367e+00,-1.255602881796122006e+01,6.000000000000000000e+00,0.000000000000000000e+00
6.800000000000004652e-02,2.108231574072575443e-01,-4.928123949411649107e-01,5.647874202275161792e+00,-1.271516530262226397e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.000000000000004829e-02,2.222147839993959262e-01,-5.183867590584565477e-01,5.742884909840842766e+00,-1.285621466550008662e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.200000000000005007e-02,2.337912873294002714e-01,-5.442254552825815939e-01,5.832782576225030269e+00,-1.297957121028150773e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.400000000000005185e-02,2.455426412880397924e-01,-5.702935706686386164e-01,5.917772046307848477e+00,-1.308572195293320384e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.600000000000005362e-02,2.574592571295490351e-01,-5.965572475730098745e-01,5.998085050909632621e+00,-1.317523281056114470e+01,6.000000000000000000e+00,0.000000000000000000e+00
7.800000000000005540e-02,2.695320324647506594e-01,-6.229838270890456497e-01,6.073975409895696842e+00,-1.324873418039392448e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.000000000000005718e-02,2.817523906098994835e-01,-6.495419634919122887e-01,6.145714212938099053e+00,-1.330690645570675201e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.200000000000005895e-02,2.941123104070749172e-01,-6.762017100553961990e-01,6.213585134037723279e+00,-1.335046595411866122e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.400000000000006073e-02,3.066043469162015866e-01,-7.029345774689187420e-01,6.277880007338693780e+00,-1.338015164642762045e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.600000000000006251e-02,3.192216436031531379e-01,-7.297135667657138614e-01,6.338894760927749950e+00,-1.339671298007327849e+01,6.000000000000000000e+00,0.000000000000000000e+00
8.800000000000006428e-02,3.319579368109979445e-01,-7.565131791674982731e-01,6.396925774758563499e+00,-1.340089899823787434e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.000000000000006606e-02,3.448075534049304669e-01,-7.833094055653687660e-01,6.452266700554572409e+00,-1.339344886954389580e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.200000000000006783e-02,3.577654025317890119e-01,-8.100796985095589653e-01,6.505205756872205036e+00,-1.337508386837653518e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.400000000000006961e-02,3.708269624403549569e-01,-8.368029295968660852e-01,6.556023492197294189e+00,-1.334650078430426312e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.600000000000007139e-02,3.839882632779007543e-01,-8.634593350516835963e-01,6.604990993236095953e+00,-1.330836669157893049e+01,6.000000000000000000e+00,0.000000000000000000e+00
9.800000000000007316e-02,3.972458667207949268e-01,-8.900304521224284837e-01,6.652368504288354245e+00,-1.326131497574949059e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000749e-01,4.105968432208553232e-01,-9.164990486855845164e-01,6.698404416321171340e+00,-1.320594249267678144e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.020000000000000767e-01,4.240387475620119861e-01,-9.428490481872239259e-01,6.743334580508419940e+00,-1.314280772386868534e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.040000000000000785e-01,4.375695933298700546e-01,-9.690654517754818675e-01,6.787381899905677862e+00,-1.307242978905146202e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.060000000000000803e-01,4.511878268048175600e-01,-9.951342592017533573e-01,6.830756153945203302e+00,-1.299528818026215227e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.080000000000000820e-01,4.648923007010127839e-01,-1.021042389804249773e+00,6.873654012961959658e+00,-1.291182308966231140e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000838e-01,4.786822480914009192e-01,-1.046777604642455950e+00,6.916259203482904461e+00,-1.282243621415648072e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.120000000000000856e-01,4.925572567843995442e-01,-1.072328430629565288e+00,6.958742789102045911e+00,-1.272749193245360821e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.140000000000000874e-01,5.065172443518476397e-01,-1.097684087314418688e+00,7.001263536089644468e+00,-1.262731876342247084e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.160000000000000892e-01,5.205624339504405507e-01,-1.122834416795356116e+00,7.043968337196813145e+00,-1.252221102770943162e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.180000000000000909e-01,5.346933310299635256e-01,-1.147769817104961287e+00,7.086992671242226649e+00,-1.241243064708099553e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000927e-01,5.489107009806913906e-01,-1.172481179285311592e+00,7.130461079892365106e+00,-1.229820902748335776e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.220000000000000945e-01,5.632155477386679987e-01,-1.196959828275904636e+00,7.174487646505978589e+00,-1.217974898218245627e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.240000000000000963e-01,5.776090933404526284e-01,-1.221197467658498903e+00,7.219176464979299546e+00,-1.205722666047837066e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.260000000000000842e-01,5.920927583975291730e-01,-1.245186128242186108e+00,7.264622089199648691e+00,-1.193079345537501723e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.280000000000000859e-01,6.066681434441446585e-01,-1.268918120425660323e+00,7.310909956008321053e+00,-1.180057787028240313e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000877e-01,6.213370111001418339e-01,-1.292385990239573790e+00,7.358116776517496405e+00,-1.166668733042131478e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.320000000000000895e-01,6.361012689817223675e-01,-1.315582478947960654e+00,7.406310892255206113e+00,-1.152920992919538179e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.340000000000000913e-01,6.509629532874176006e-01,-1.338500486072087048e+00,7.455552593964692498e+00,-1.138821610350710323e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.360000000000000930e-01,6.659242129833471413e-01,-1.361133035691103332e+00,7.505894401997369236e+00,-1.124376023493668519e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.380000000000000948e-01,6.809872945106657527e-01,-1.383473245870093793e+00,7.557381308147845367e+00,-1.109588217598451720e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000966e-01,6.961545269385572832e-01,-1.405514301066327132e+00,7.610050979518080183e+00,-1.094460870230039440e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.420000000000000984e-01,7.114283074879311775e-01,-1.427249427367684786e+00,7.663933925595165064e+00,-1.078995489307600586e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.440000000000001001e-01,7.268110873538411454e-01,-1.448671870422518992e+00,7.719053630209235628e+00,-1.063192544264201977e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.460000000000001019e-01,7.423053577583852425e-01,-1.469774875926868507e+00,7.775426650426643604e+00,-1.047051590685729927e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.480000000000001037e-01,7.579136361702788482e-01,-1.490551672542462569e+00,7.833062684747170046e+00,-1.030571388816547440e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.500000000000001055e-01,7.736384526322926947e-01,-1.510995457126805386e+00,7.891964613227815839e+00,-1.013750016327484005e+01,6.000000000000000000e+00,0.000000000000000000e+00
1.520000000000001072e-01,7.894823361432077302e-01,-1.531099382164485823e+00,7.952128512361644752e+00,-9.965849757334803272e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.540000000000001090e-01,8.054478010467669424e-01,-1.550856545296412703e+00,8.013543647707511042e+00,-9.790732968272656933e+00,6.000000000000000000e+00,0.000000000000000000e+00
1.560000000000001108e-01,8.215336445798281373e-01,-1.570256278138477679e+00,8.072503721858653947e+00,-9.608458032201715682e+00,5.801066755657249274e+00,0.000000000000000000e+00
1.580000000000001126e-01,8.377346372201458502e-01,-1.589284305042164780e+00,8.128687142874897020e+00,-9.419067786746541771e+00,5.586217940838902329e+00,0.000000000000000000e+00
1.600000000000001144e-01,8.540451528322938746e-01,-1.607926710014854210e+00,8.182018933802339689e+00,-9.222876131464763816e+00,5.369523299966505903e+00,0.000000000000000000e+00
1.620000000000001161e-01,8.704594090229852421e-01,-1.626170206485378023e+00,8.232417922288860268e+00,-9.020198739067824434e+00,5.151392069483703651e+00,0.000000000000000000e+00
1.640000000000001179e-01,8.869714569419833161e-01,-1.644002142441191916e+00,8.279798944107506387e+00,-8.811354614468035251e+00,4.932311751857320736e+00,0.000000000000000000e+00
1.660000000000001197e-01,9.035751736352414243e-01,-1.661410506683567156e+00,8.324073190954109691e+00,-8.596665674656366107e+00,4.712743429932768180e+00,0.000000000000000000e+00
1.680000000000001215e-01,9.202642551528285031e-01,-1.678383934244185971e+00,8.365148616301089746e+00,-8.376456328464266576e+00,4.493120813067681851e+00,0.000000000000000000e+00
1.700000000000001232e-01,9.370322118414485812e-01,-1.694911712045412244e+00,8.402931713699334892e+00,-8.151054124485389352e+00,4.273920249086489598e+00,0.000000000000000000e+00
1.720000000000001250e-01,9.538723651530129910e-01,-1.710983783950645432e+00,8.437327252409275502e+00,-7.920788516009675817e+00,4.055547755767612728e+00,0.000000000000000000e+00
1.740000000000001268e-01,9.707778455002751272e-01,-1.726590754654208082e+00,8.468239588241216254e+00,-7.685990917900289432e+00,3.838421026419341242e+00,0.000000000000000000e+00
1.760000000000001286e-01,9.877415937988522909e-01,-1.741723894332136036e+00,8.495575038645998944e+00,-7.446995399866481513e+00,3.623023739453315351e+00,0.000000000000000000e+00
1.780000000000001303e-01,1.004756366211549068e+00,-1.756375143227232094e+00,8.519242707616880850e+00,-7.204137945388062292e+00,3.409820564141965882e+00,0.000000000000000000e+00
1.800000000000001321e-01,1.021814738455333105e+00,-1.770537113196569035e+00,8.539153220160585533e+00,-6.957754177782248028e+00,3.199145312842884614e+00,0.000000000000000000e+00
1.820000000000001339e-01,1.038909112173401761e+00,-1.784203088195986275e+00,8.555222054698679912e+00,-6.708180523347319735e+00,2.991445365991148631e+00,0.000000000000000000e+00
1.840000000000001357e-01,1.056031724376351510e+00,-1.797367024244774125e+00,8.567369275558720076e+00,-6.455752567775427941e+00,2.787090155878089170e+00,0.000000000000000000e+00
1.860000000000001374e-01,1.073174659152446253e+00,-1.810023548106165725e+00,8.575522070195152224e+00,-6.200805387934600788e+00,2.586520491536362432e+00,0.000000000000000000e+00
1.880000000000001392e-01,1.090329859932742895e+00,-1.822167953466085288e+00,8.579612761548121469e+00,-5.943670765624034402e+00,2.390011129454452377e+00,0.000000000000000000e+00
1.900000000000001410e-01,1.107489144558941874e+00,-1.833796196201490591e+00,8.579583602545309162e+00,-5.684678996729465972e+00,2.198030138837292924e+00,0.000000000000000000e+00
1.920000000000001428e-01,1.124644222285418271e+00,-1.844904888055299397e+00,8.575383907962601526e+00,-5.424155566616152058e+00,2.010838026921876409e+00,0.000000000000000000e+00
1.940000000000001446e-01,1.141786711165075241e+00,-1.855491287835896452e+00,8.566973310233391814e+00,-5.162421940134389153e+00,1.828812673341617900e+00,0.000000000000000000e+00
1.960000000000001463e-01,1.158908157765470515e+00,-1.865553291476707898e+00,8.554320829232109347e+00,-4.899793674013192657e+00,1.652233217895654693e+00,0.000000000000000000e+00
1.980000000000001481e-01,1.176000057678042943e+00,-1.875089420094343318e+00,8.537406596808336801e+00,-4.636580278785203291e+00,1.481422742933577341e+00,0.000000000000000000e+00
2.000000000000001499e-01,1.193053877742976887e+00,-1.884098806740161836e+00,8.516221845592637507e+00,-4.373084068073973540e+00,1.316661772363566518e+00,0.000000000000000000e+00
2.020000000000001517e-01,1.210061076957545056e+00,-1.892581180279149233e+00,8.490767602117843538e+00,-4.109598448890467992e+00,1.158126192028006152e+00,0.000000000000000000e+00
2.040000000000001534e-01,1.227013130441894084e+00,-1.900536849184599086e+00,8.461059054990558437e+00,-3.846409496945504269e+00,1.006185256901650060e+00,0.000000000000000000e+00
2.060000000000001552e-01,1.243901552556594847e+00,-1.907966683099647787e+00,8.427120330987074581e+00,-3.583792234871260085e+00,8.609106497484032561e-01,0.000000000000000000e+00
2.080000000000001570e-01,1.260717920747078447e+00,-1.914872093412518073e+00,8.388990453956941096e+00,-3.322013269167056748e+00,7.226583255957838015e-01,0.000000000000000000e+00
2.100000000000001588e-01,1.277453899608195664e+00,-1.921255012688539265e+00,8.346717597861166738e+00,-3.061327112647952653e+00,5.914704244328670146e-01,0.000000000000000000e+00
2.120000000000001605e-01,1.294101264302090826e+00,-1.927117872849735125e+00,8.300364194659517025e+00,-2.801978516290267507e+00,4.676380672018838891e-01,0.000000000000000000e+00
2.140000000000001623e-01,1.310651924742325170e+00,-1.932463583002033136e+00,8.250002586958331108e+00,-2.544199865277651185e+00,3.512206737583916660e-01,0.000000000000000000e+00
2.160000000000001641e-01,1.327097947003472944e+00,-1.937295505419945885e+00,8.195716605221500473e+00,-2.288211890184902675e+00,2.423543438131125494e-01,0.000000000000000000e+00
2.180000000000001659e-01,1.343431577066002136e+00,-1.941617432528802034e+00,8.137602325658955138e+00,-2.034223960897188377e+00,1.412134251405175456e-01,0.000000000000000000e+00
2.200000000000001676e-01,1.359645261509515146e+00,-1.945433562326859933e+00,8.075764259466305717e+00,-1.782432267840491136e+00,4.778185923550239134e-02,0.000000000000000000e+00
2.220000000000001694e-01,1.375731667342991127e+00,-1.948748473721916286e+00,8.010318304581957705e+00,-1.533021501560212663e+00,-3.779865550308260380e-02,0.000000000000000000e+00
2.240000000000001712e-01,1.391683703215160550e+00,-1.951567102974260948e+00,7.941390172715092177e+00,-1.286164314750991577e+00,-1.154560450031029417e-01,0.000000000000000000e+00
2.260000000000001730e-01,1.407494536577291067e+00,-1.953894718811147735e+00,7.869112915808686992e+00,-1.042020536689417076e+00,-1.852301625620941805e-01,0.000000000000000000e+00
2.280000000000001747e-01,1.423157611041373505e+00,-1.955736898556266423e+00,7.793629597381605656e+00,-8.007389354757590283e-01,-2.470091819069035743e-01,0.000000000000000000e+00
2.300000000000001765e-01,1.438666662588156120e+00,-1.957099504680652968e+00,7.715089470242889824e+00,-5.624559237172674919e-01,-3.008567698863165440e-01,0.000000000000000000e+00
2.320000000000001783e-01,1.454015732628148871e+00,-1.957988661076804471e+00,7.633648654017728852e+00,-3.272965424878963026e-01,-3.467819319581200155e-01,0.000000000000000000e+00
2.340000000000001801e-01,1.469199181171477075e+00,-1.958410730720239856e+00,7.549469566973651347e+00,-9.537487332187374878e-02,-3.848007373906283668e-01,0.000000000000000000e+00
2.360000000000001819e-01,1.484211698661125789e+00,-1.958372294112693979e+00,7.462720158479201338e+00,1.332055915326056383e-01,-4.149452038931146225e-01,0.000000000000000000e+00
2.380000000000001836e-01,1.499048317301102884e+00,-1.957880128990187263e+00,7.373574172271688099e+00,3.583510617421397093e-01,-4.372102158665138183e-01,0.000000000000000000e+00
2.400000000000001854e-01,1.513704418350035885e+00,-1.956941189704741291e+00,7.282206849798367188e+00,5.799786346783992741e-01,-4.517837616030414560e-01,0.000000000000000000e+00
2.420000000000001872e-01,1.528175739037959335e+00,-1.955562588187198303e+00,7.188798850456874945e+00,7.980135811350010933e-01,-4.586307507634385106e-01,0.000000000000000000e+00
2.440000000000001890e-01,1.542458378598480895e+00,-1.953751576154824310e+00,7.093531448044048560e+00,1.012390760980461879e+00,-4.579346628415172926e-01,0.000000000000000000e+00
2.460000000000001907e-01,1.556548801648741875e+00,-1.951515527870258504e+00,6.996588682123712211e+00,1.223052699523404563e+00,-4.497456588937470690e-01,0.000000000000000000e+00
2.480000000000001925e-01,1.570443841620840164e+00,-1.948861924677495638e+00,6.898155259234250991e+00,1.429949708915553730e+00,-4.341962939975713698e-01,0.000000000000000000e+00
