time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
2.000000000000000042e-03,1.627110575955501904e-04,-3.893210192241071507e-04,1.627061605058041094e-01,-3.893058538596091411e-01,5.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-03,6.437988395935239413e-04,-1.540385013469929617e-03,3.183670395482933735e-01,-7.617129712299636202e-01,4.785308837890625000e+00,0.000000000000000000e+00
6.000000000000000125e-03,1.439099967186216206e-03,-3.443106603168159113e-03,4.769096342038047220e-01,-1.140932830442123791e+00,4.877449035644531250e+00,0.000000000000000000e+00
8.000000000000000167e-03,2.548819074313542210e-03,-6.097767718684005134e-03,6.327746506238902668e-01,-1.513620284504936020e+00,4.800628662109375000e+00,0.000000000000000000e+00
1.000000000000000021e-02,3.970313034879619646e-03,-9.497747376605974665e-03,7.886735009100371840e-01,-1.886217164652053135e+00,4.809089660644531250e+00,0.000000000000000000e+00
1.200000000000000025e-02,5.706909572562392056e-03,-1.365061556119087985e-02,9.478651568926617088e-01,-2.266471128887888931e+00,4.919819355010986328e+00,0.000000000000000000e+00
1.400000000000000029e-02,7.758579967343023215e-03,-1.855580625554591190e-02,1.103734359072114035e+00,-2.638499011808263628e+00,4.829569339752197266e+00,0.000000000000000000e+00
1.600000000000000033e-02,1.012223671161651718e-02,-2.420531939623217846e-02,1.259837257265799426e+00,-3.010748876272633545e+00,4.851117134094238281e+00,0.000000000000000000e+00
1.800000000000000211e-02,1.280098486890083806e-02,-3.060584252655379478e-02,1.418809698954149434e+00,-3.389458435994862739e+00,4.956489086151123047e+00,0.000000000000000000e+00
2.000000000000000389e-02,1.579688794377352018e-02,-3.776142667231081190e-02,1.576974617478255958e+00,-3.765754553881726086e+00,4.951924800872802734e+00,0.000000000000000000e+00
2.200000000000000566e-02,1.910928716388306942e-02,-4.566944899624954257e-02,1.735286379509727306e+00,-4.141835114617129499e+00,4.980129241943359375e+00,0.000000000000000000e+00
