time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000000000000000000e+00
2.000000000000000042e-03,8.060302924072737475e-04,-1.570828340546067715e-03,8.059913582335012094e-01,-1.570754471645588346e+00,0.000000000000000000e+00,-6.000000000000000000e+00
4.000000000000000083e-03,3.223639969198578530e-03,-6.282399463841052516e-03,1.611487529036315092e+00,-3.140567580506730572e+00,0.000000000000000000e+00,-6.000000000000000000e+00
6.000000000000000125e-03,7.251217661248936588e-03,-1.413164225613088368e-02,2.415825698286233614e+00,-4.708168823725294772e+00,0.000000000000000000e+00,-6.000000000000000000e+00
8.000000000000000167e-03,1.288552054360866603e-02,-2.511234409539203627e-02,3.218010031752496225e+00,-6.271633801701643307e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.000000000000000021e-02,2.012084758672368773e-02,-3.921352749278098765e-02,4.016552505505676329e+00,-7.828071671730945091e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.200000000000000025e-02,2.894790647476597895e-02,-5.641722518874135728e-02,4.809327330763181862e+00,-9.373339262309483999e+00,0.000000000000000000e+00,-6.000000000000000000e+00
1.400000000000000029e-02,3.935241254019831991e-02,-7.669572890168657731e-02,5.593450970327785043e+00,-1.090180536473741135e+01,0.000000000000000000e+00,-6.000000000000000000e+00
1.600000000000000033e-02,5.131348714324909105e-02,-1.000084439260129493e-01,6.365204798989799961e+00,-1.240619862556581587e+01,0.000000000000000000e+00,-6.000000000000000000e+00
1.800000000000000211e-02,6.480196139707800063e-02,-1.262985571834993048e-01,7.120021498837161289e+00,-1.387758037969871339e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.000000000000000389e-02,7.977873496381925056e-02,-1.554898122349268885e-01,7.852557202565368932e+00,-1.530548557604133819e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.200000000000000566e-02,9.619338018329567919e-02,-1.874837642325159759e-01,8.556866806651537871e+00,-1.667826595942395684e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.400000000000000744e-02,1.139832060232169597e-01,-2.221579353285878522e-01,9.226687983567936513e+00,-1.798364637988855108e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.600000000000000921e-02,1.330729893796531171e-01,-2.593652775023825297e-01,9.855820395823901237e+00,-1.920946782912306361e+01,0.000000000000000000e+00,-6.000000000000000000e+00
2.800000000000001099e-02,1.533755315857962820e-01,-2.989352525387176662e-01,1.043856377286236636e+01,-2.034454605028548002e+01,0.000000000000000000e+00,-6.000000000000000000e+00
