time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000042e-03,-6.716920097010571156e-04,1.309023812064242544e-03,-6.716598623552936242e-01,1.308962839349999019e+00,0.000000000000000000e+00,3.385555696654041213e-02
4.000000000000000083e-03,-2.019240604580297121e-03,3.935207696647262908e-03,-6.758246704856589737e-01,1.317099566705895342e+00,0.000000000000000000e+00,3.682035471771707980e-02
6.000000000000000125e-03,-3.375131862248975309e-03,6.577710712635617685e-03,-6.800020947521746573e-01,1.325281152030603593e+00,0.000000000000000000e+00,3.980429583524965065e-02
8.000000000000000167e-03,-4.739390987756019781e-03,9.236622642749003215e-03,-6.841921062727256420e-01,1.333507658717804301e+00,0.000000000000000000e+00,4.280750538970919811e-02
1.000000000000000021e-02,-6.112043128325356581e-03,1.191203339538188764e-02,-6.883946761294558181e-01,1.341779149097927615e+00,0.000000000000000000e+00,4.583010921525546705e-02
1.200000000000000025e-02,-7.493113373281461327e-03,1.460403300247245170e-02,-6.926097753666335954e-01,1.350095684435276500e+00,0.000000000000000000e+00,4.887223391377455706e-02
1.400000000000000029e-02,-8.882626753970395903e-03,1.731271161736563924e-02,-6.968373749882803558e-01,1.358457324925044674e+00,0.000000000000000000e+00,5.193400685893706514e-02
1.600000000000000033e-02,-1.028060824367584176e-02,2.003815951267010412e-02,-7.010774459555553229e-01,1.366864129690223084e+00,0.000000000000000000e+00,5.501555620018740850e-02
1.800000000000000211e-02,-1.168708275752965327e-02,2.278046707810885141e-02,-7.053299591838937399e-01,1.375316156778390031e+00,0.000000000000000000e+00,5.811701086663052102e-02
2.000000000000000389e-02,-1.310207515241641058e-02,2.553972481836328662e-02,-7.095948855398899191e-01,1.383813463158373835e+00,0.000000000000000000e+00,6.123850057084063297e-02
2.200000000000000566e-02,-1.452561022687147430e-02,2.831602335091044226e-02,-7.138721958379208310e-01,1.392356104716785836e+00,0.000000000000000000e+00,6.438015581256731346e-02
2.400000000000000744e-02,-1.595771272097201363e-02,3.110945340385311286e-02,-7.181618608365043510e-01,1.400944136254413497e+00,0.000000000000000000e+00,6.754210788233995510e-02
2.600000000000000921e-02,-1.739840731622046069e-02,3.392010581374262090e-02,-7.224638512343863894e-01,1.409577611482467185e+00,0.000000000000000000e+00,7.072448886496154885e-02
2.800000000000001099e-02,-1.884771863541985851e-02,3.674807152339387012e-02,-7.267781376663501325e-01,1.418256583018673078e+00,0.000000000000000000e+00,7.392743164288914648e-02
3.000000000000001277e-02,-2.030567124254053363e-02,3.959344157969242606e-02,-7.311046906987421767e-01,1.426981102383203970e+00,0.000000000000000000e+00,7.715106989949577221e-02
3.200000000000001454e-02,-2.177228964257750879e-02,4.245630713139326995e-02,-7.354434808247086730e-01,1.435751219994442218e+00,0.000000000000000000e+00,8.039553812219375761e-02
3.400000000000001632e-02,-2.324759828139810400e-02,4.533675942691085814e-02,-7.397944784591352629e-01,1.444566985164562389e+00,0.000000000000000000e+00,8.366097160543602140e-02
3.600000000000001810e-02,-2.473162154557908762e-02,4.823488981210017484e-02,-7.441576539332847018e-01,1.453428446094929383e+00,0.000000000000000000e+00,8.694750645356405516e-02
3.800000000000001987e-02,-2.622438376223278772e-02,5.115078972802834106e-02,-7.485329774891248400e-01,1.462335649871300935e+00,0.000000000000000000e+00,9.025527958351112212e-02
4.000000000000002165e-02,-2.772590919882154253e-02,5.408455070873640497e-02,-7.529204192733406353e-01,1.471288642458826734e+00,0.000000000000000000e+00,9.358442872735127371e-02
4.200000000000002343e-02,-2.923622206295983447e-02,5.703626437899093210e-02,-7.573199493310239783e-01,1.480287468696835473e+00,0.000000000000000000e+00,9.693509243467579584e-02
4.400000000000002520e-02,-3.075534650220347610e-02,6.000602245202490276e-02,-7.617315375990328929e-01,1.489332172293398093e+00,0.000000000000000000e+00,1.003074100748055364e-01
4.600000000000002698e-02,-3.228330660382515427e-02,6.299391672726747937e-02,-7.661551538990147847e-01,1.498422795819662090e+00,0.000000000000000000e+00,1.037015218388152582e-01
4.800000000000002875e-02,-3.382012639457569053e-02,6.600003908806224839e-02,-7.705907679300847413e-01,1.507559380703942908e+00,0.000000000000000000e+00,1.071175687413713079e-01
5.000000000000003053e-02,-3.536582984043028233e-02,6.902448149937329136e-02,-7.750383492611530034e-01,1.516741967225563759e+00,0.000000000000000000e+00,1.105556926223736774e-01
5.200000000000003231e-02,-3.692044084631903450e-02,7.206733600547871044e-02,-7.794978673228930566e-01,1.525970594508436529e+00,0.000000000000000000e+00,1.140160361483875812e-01
5.400000000000003408e-02,-3.848398325584107688e-02,7.512869472765106027e-02,-7.839692913993439038e-01,1.535245300514368250e+00,0.000000000000000000e+00,1.174987428138589279e-01
5.600000000000003586e-02,-4.005648085096148031e-02,7.820864986182404777e-02,-7.884525906191373057e-01,1.544566122036086675e+00,0.000000000000000000e+00,1.210039569421061389e-01
5.800000000000003764e-02,-4.163795735169025652e-02,8.130729367624499326e-02,-7.929477339463429919e-01,1.553933094689972094e+00,0.000000000000000000e+00,1.245318236860785133e-01
6.000000000000003941e-02,-4.322843641574263679e-02,8.442471850911244247e-02,-7.974546901709241853e-01,1.563346252908485168e+00,0.000000000000000000e+00,1.280824890288631279e-01
6.200000000000004119e-02,-4.482794163817988009e-02,8.756101676619833241e-02,-8.019734278987945553e-01,1.572805629932277904e+00,0.000000000000000000e+00,1.316560997839390235e-01
6.400000000000004297e-02,-4.643649655102978502e-02,9.071628091845403141e-02,-8.065039155414677197e-01,1.582311257801978011e+00,0.000000000000000000e+00,1.352528035951719443e-01
6.600000000000004474e-02,-4.805412462288605191e-02,9.389060349959957308e-02,-8.110461213052929663e-01,1.591863167349633734e+00,0.000000000000000000e+00,1.388727489365215728e-01
6.800000000000004652e-02,-4.968084925848573891e-02,9.708407710369547361e-02,-8.156000131802664255e-01,1.601461388189807433e+00,0.000000000000000000e+00,1.425160851114647687e-01
7.000000000000004829e-02,-5.131669379826386823e-02,1.002967943826963276e-01,-8.201655589284096992e-01,1.611105948710303881e+00,0.000000000000000000e+00,1.461829622521228500e-01
7.200000000000005007e-02,-5.296168151788436390e-02,1.035288480439855441e-01,-8.247427260717075104e-01,1.620796876062523983e+00,0.000000000000000000e+00,1.498735313180762641e-01
7.400000000000005185e-02,-5.461583562774640493e-02,1.067803308478903063e-01,-8.293314818795951560e-01,1.630534196151428805e+00,0.000000000000000000e+00,1.535879440948504648e-01
7.600000000000005362e-02,-5.627917927246531976e-02,1.100513356051761454e-01,-8.339317933559861062e-01,1.640317933625099922e+00,0.000000000000000000e+00,1.573263531920723046e-01
7.800000000000005540e-02,-5.795173553032704344e-02,1.133419551745201564e-01,-8.385436272258307566e-01,1.650148111863884992e+00,0.000000000000000000e+00,1.610889120412778153e-01
8.000000000000005718e-02,-5.963352741271521484e-02,1.166522824599621339e-01,-8.431669499211967844e-01,1.660024752969114337e+00,0.000000000000000000e+00,1.648757748933537270e-01
8.200000000000005895e-02,-6.132457786350997003e-02,1.199824104083326709e-01,-8.478017275668620067e-01,1.669947877751372767e+00,0.000000000000000000e+00,1.686870968156089778e-01
8.400000000000006073e-02,-6.302490975845741195e-02,1.233324320066573609e-01,-8.524479259654087482e-01,1.679917505718315551e+00,0.000000000000000000e+00,1.725230336884578386e-01
8.600000000000006251e-02,-6.473454590450877788e-02,1.267024402795361715e-01,-8.571055105818115027e-01,1.689933655062012319e+00,0.000000000000000000e+00,1.763837422016935330e-01
8.800000000000006428e-02,-6.645350903912826401e-02,1.300925282864969779e-01,-8.617744465275057886e-01,1.699996342645804681e+00,0.000000000000000000e+00,1.802693798503539058e-01
9.000000000000006606e-02,-6.818182182956844528e-02,1.335027891193224792e-01,-8.664546985439299798e-01,1.710105583990662037e+00,0.000000000000000000e+00,1.841801049301512172e-01
